Intersection,T_Statistic,P_Value,Pre_Volume,Post_Volume,Combined_Volume
Vernon & 5th St,12.345769746071731,1.2928601743343425e-27,43357,49779,93136
Menlo & 43rd St,-11.578019559355711,6.663355585860606e-25,48930,61063,109993
Romaine St & St Andrews,1.9838734710649097,0.047595463285652624,315139,271040,586179
Hoover & 110th Pl,41.80233502912447,1.4194221984309722e-151,415715,416978,832693
Orhpis & Kelton St,-51.67567912223141,7.046585750544423e-184,127977,153383,281360
Clinton & Seirra Bonita,9.157614371891889,1.8291207835854487e-19,430649,444246,874895
77th & Standford,-3.0852038415581977,0.002274655400071359,14061,17900,31961
Reno & 2nd St,-43.54170989886186,1.7448892159095268e-217,366433,499990,866423
Yosemite Dr to Vincent St,214.4786518575031,0.0,5797238,3550154,9347392
Euclid & Oregon St,40.69874757381857,5.776557965530489e-147,365803,326284,692087
