Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),5th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 1,0.126,yes,90,yes,2021-01,0: All Days (M-Su),0: All Day (12am-12am),214,14,33,19.523,0.715,26.99,0.55,4.000,19.000,21.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 1,0.126,yes,90,yes,2021-01,0: All Days (M-Su),1: Early AM (12am-6am),17,15,31,19.523,0.744,2.19,0.04,2.000,19.000,31.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 1,0.126,yes,90,yes,2021-01,0: All Days (M-Su),2: Peak AM (6am-10am),32,14,31,19.523,0.739,4.04,0.07,3.000,19.000,20.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 1,0.126,yes,90,yes,2021-01,0: All Days (M-Su),3: Mid-Day (10am-3pm),73,14,33,19.523,0.699,9.25,0.20,4.000,20.000,23.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 1,0.126,yes,90,yes,2021-01,0: All Days (M-Su),4: Peak PM (3pm-7pm),59,14,34,19.523,0.693,7.48,0.17,4.000,19.000,21.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 1,0.126,yes,90,yes,2021-01,0: All Days (M-Su),5: Late PM (7pm-12am),32,15,31,19.523,0.751,4.03,0.07,5.000,18.000,19.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 1,0.126,yes,90,yes,2021-01,1: Weekday (M-Th),0: All Day (12am-12am),269,14,32,19.523,0.724,33.94,0.66,4.000,19.000,23.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 1,0.126,yes,90,yes,2021-01,1: Weekday (M-Th),1: Early AM (12am-6am),21,14,32,19.523,0.720,2.60,0.05,5.000,17.000,31.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 1,0.126,yes,90,yes,2021-01,1: Weekday (M-Th),2: Peak AM (6am-10am),41,14,33,19.523,0.715,5.11,0.10,4.000,19.000,20.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 1,0.126,yes,90,yes,2021-01,1: Weekday (M-Th),3: Mid-Day (10am-3pm),96,14,33,19.523,0.707,12.17,0.26,4.000,20.000,23.000
