Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),5th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 1,0.126,yes,90,yes,2019-01,0: All Days (M-Su),0: All Day (12am-12am),898,16,29,28.600,0.547,113.26,3.28,4.000,22.000,26.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 1,0.126,yes,90,yes,2019-01,0: All Days (M-Su),1: Early AM (12am-6am),55,16,28,28.600,0.557,6.92,0.19,2.000,16.000,25.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 1,0.126,yes,90,yes,2019-01,0: All Days (M-Su),2: Peak AM (6am-10am),219,16,28,28.600,0.572,27.59,0.72,3.000,23.000,25.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 1,0.126,yes,90,yes,2019-01,0: All Days (M-Su),3: Mid-Day (10am-3pm),234,16,28,28.600,0.572,29.57,0.77,4.000,23.000,27.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 1,0.126,yes,90,yes,2019-01,0: All Days (M-Su),4: Peak PM (3pm-7pm),230,15,30,28.600,0.528,29.00,0.91,4.000,21.000,27.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 1,0.126,yes,90,yes,2019-01,0: All Days (M-Su),5: Late PM (7pm-12am),160,15,31,28.600,0.508,20.19,0.68,5.000,21.000,25.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 1,0.126,yes,90,yes,2019-01,1: Weekday (M-Th),0: All Day (12am-12am),979,15,30,28.600,0.538,123.43,3.71,3.000,22.000,26.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 1,0.126,yes,90,yes,2019-01,1: Weekday (M-Th),1: Early AM (12am-6am),53,16,29,28.600,0.551,6.71,0.19,N/A,N/A,N/A
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 1,0.126,yes,90,yes,2019-01,1: Weekday (M-Th),2: Peak AM (6am-10am),289,16,28,28.600,0.570,36.39,0.96,3.000,23.000,27.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 1,0.126,yes,90,yes,2019-01,1: Weekday (M-Th),3: Mid-Day (10am-3pm),245,16,28,28.600,0.560,30.92,0.85,3.000,21.000,26.000
