Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),5th Speed Percentile,15th Speed Percentile,50th Speed Percentile,75th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2022-06,0: All Days (M-Su),0: All Day (12am-12am),1313,14,16,18.360,0.742,78.09,1.48,8.000,10.000,14.000,15.000,17.000,20.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2022-06,0: All Days (M-Su),1: Early AM (12am-6am),23,15,14,18.360,0.816,1.38,0.02,9.000,12.000,15.000,18.000,20.000,22.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2022-06,0: All Days (M-Su),2: Peak AM (6am-10am),157,14,16,18.360,0.746,9.34,0.17,7.000,10.000,14.000,15.000,17.000,21.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2022-06,0: All Days (M-Su),3: Mid-Day (10am-3pm),406,14,16,18.360,0.740,24.12,0.46,8.000,10.000,14.000,15.000,17.000,20.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2022-06,0: All Days (M-Su),4: Peak PM (3pm-7pm),504,13,16,18.360,0.734,29.97,0.59,8.000,10.000,14.000,15.000,16.000,20.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2022-06,0: All Days (M-Su),5: Late PM (7pm-12am),223,14,16,18.360,0.752,13.28,0.24,8.000,10.000,14.000,15.000,17.000,20.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2022-06,1: Monday (M-M),0: All Day (12am-12am),1114,14,15,18.360,0.760,66.24,1.14,9.000,11.000,14.000,15.000,17.000,20.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2022-06,1: Monday (M-M),1: Early AM (12am-6am),23,16,13,18.360,0.896,1.35,0.01,11.000,11.000,18.000,20.000,22.000,23.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2022-06,1: Monday (M-M),2: Peak AM (6am-10am),161,14,16,18.360,0.747,9.56,0.18,9.000,11.000,14.000,15.000,17.000,20.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2022-06,1: Monday (M-M),3: Mid-Day (10am-3pm),335,14,15,18.360,0.777,19.92,0.31,9.000,11.000,14.000,15.000,17.000,20.000
