Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),5th Speed Percentile,75th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jan 01, 2021 - Nov 30, 2021",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 7,0.057,yes,270,yes,2021-01,0: All Days (M-Su),0: All Day (12am-12am),1026,16,13,23.912,0.677,58.83,1.18,9.000,19.000,20.000,23.000
"Jan 01, 2021 - Nov 30, 2021",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 7,0.057,yes,270,yes,2021-01,0: All Days (M-Su),1: Early AM (12am-6am),13,17,12,23.912,0.714,0.74,0.01,10.000,17.000,18.000,20.000
"Jan 01, 2021 - Nov 30, 2021",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 7,0.057,yes,270,yes,2021-01,0: All Days (M-Su),2: Peak AM (6am-10am),68,17,12,23.912,0.698,3.91,0.07,10.000,19.000,21.000,25.000
"Jan 01, 2021 - Nov 30, 2021",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 7,0.057,yes,270,yes,2021-01,0: All Days (M-Su),3: Mid-Day (10am-3pm),425,16,13,23.912,0.672,24.33,0.50,9.000,19.000,20.000,23.000
"Jan 01, 2021 - Nov 30, 2021",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 7,0.057,yes,270,yes,2021-01,0: All Days (M-Su),4: Peak PM (3pm-7pm),411,16,13,23.912,0.666,23.53,0.49,9.000,18.000,20.000,23.000
"Jan 01, 2021 - Nov 30, 2021",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 7,0.057,yes,270,yes,2021-01,0: All Days (M-Su),5: Late PM (7pm-12am),110,17,12,23.912,0.714,6.32,0.11,9.000,19.000,20.000,24.000
"Jan 01, 2021 - Nov 30, 2021",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 7,0.057,yes,270,yes,2021-01,1: Monday (M-M),0: All Day (12am-12am),989,17,12,23.912,0.697,56.68,1.03,10.000,19.000,20.000,24.000
"Jan 01, 2021 - Nov 30, 2021",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 7,0.057,yes,270,yes,2021-01,1: Monday (M-M),1: Early AM (12am-6am),12,17,12,23.912,0.718,0.68,0.01,N/A,N/A,N/A,N/A
"Jan 01, 2021 - Nov 30, 2021",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 7,0.057,yes,270,yes,2021-01,1: Monday (M-M),2: Peak AM (6am-10am),70,16,13,23.912,0.682,4.00,0.08,10.000,18.000,20.000,22.000
"Jan 01, 2021 - Nov 30, 2021",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 7,0.057,yes,270,yes,2021-01,1: Monday (M-M),3: Mid-Day (10am-3pm),424,16,13,23.912,0.675,24.29,0.49,9.000,19.000,20.000,22.000
"Jan 01, 2021 - Nov 30, 2021",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 7,0.057,yes,270,yes,2021-01,1: Monday (M-M),4: Peak PM (3pm-7pm),359,17,12,23.912,0.694,20.58,0.38,9.000,19.000,20.000,26.000
"Jan 01, 2021 - Nov 30, 2021",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 7,0.057,yes,270,yes,2021-01,1: Monday (M-M),5: Late PM (7pm-12am),124,19,11,23.912,0.789,7.12,0.08,13.000,20.000,22.000,30.000
"Jan 01, 2021 - Nov 30, 2021",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 7,0.057,yes,270,yes,2021-01,2: Tuesday (Tu-Tu),0: All Day (12am-12am),1076,16,13,23.912,0.684,61.65,1.19,9.000,19.000,20.000,23.000
"Jan 01, 2021 - Nov 30, 2021",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 7,0.057,yes,270,yes,2021-01,2: Tuesday (Tu-Tu),2: Peak AM (6am-10am),97,17,12,23.912,0.717,5.56,0.09,10.000,19.000,21.000,24.000
"Jan 01, 2021 - Nov 30, 2021",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 7,0.057,yes,270,yes,2021-01,2: Tuesday (Tu-Tu),3: Mid-Day (10am-3pm),465,16,13,23.912,0.689,26.63,0.50,9.000,19.000,20.000,25.000
"Jan 01, 2021 - Nov 30, 2021",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 7,0.057,yes,270,yes,2021-01,2: Tuesday (Tu-Tu),4: Peak PM (3pm-7pm),415,16,13,23.912,0.671,23.80,0.49,9.000,18.000,20.000,23.000
"Jan 01, 2021 - Nov 30, 2021",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 7,0.057,yes,270,yes,2021-01,2: Tuesday (Tu-Tu),5: Late PM (7pm-12am),92,16,13,23.912,0.684,5.27,0.10,10.000,19.000,20.000,21.000
