Data Periods,Mode of Travel,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Spot Traffic (StL Volume),Avg Spot Speed (mph),Free Flow Speed (mph),Free Flow Factor,5th Speed Percentile,75th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,Clinton Street,yes,269,yes,2022-06,0: All Days (M-Su),0: All Day (12am-12am),1309,14,18.360,0.742,8.000,15.000,17.000,20.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,Clinton Street,yes,269,yes,2022-06,0: All Days (M-Su),1: Early AM (12am-6am),23,15,18.360,0.816,9.000,18.000,20.000,22.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,Clinton Street,yes,269,yes,2022-06,0: All Days (M-Su),2: Peak AM (6am-10am),157,14,18.360,0.746,7.000,15.000,17.000,21.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,Clinton Street,yes,269,yes,2022-06,0: All Days (M-Su),3: Mid-Day (10am-3pm),404,14,18.360,0.740,8.000,15.000,17.000,20.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,Clinton Street,yes,269,yes,2022-06,0: All Days (M-Su),4: Peak PM (3pm-7pm),502,13,18.360,0.734,8.000,15.000,16.000,20.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,Clinton Street,yes,269,yes,2022-06,0: All Days (M-Su),5: Late PM (7pm-12am),223,14,18.360,0.752,8.000,15.000,17.000,20.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,Clinton Street,yes,269,yes,2022-06,1: Monday (M-M),0: All Day (12am-12am),1112,14,18.360,0.760,9.000,15.000,17.000,20.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,Clinton Street,yes,269,yes,2022-06,1: Monday (M-M),1: Early AM (12am-6am),23,16,18.360,0.896,11.000,20.000,22.000,23.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,Clinton Street,yes,269,yes,2022-06,1: Monday (M-M),2: Peak AM (6am-10am),160,14,18.360,0.747,9.000,15.000,17.000,20.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,Clinton Street,yes,269,yes,2022-06,1: Monday (M-M),3: Mid-Day (10am-3pm),334,14,18.360,0.777,9.000,15.000,17.000,20.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,Clinton Street,yes,269,yes,2022-06,1: Monday (M-M),4: Peak PM (3pm-7pm),419,14,18.360,0.750,9.000,15.000,17.000,19.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,Clinton Street,yes,269,yes,2022-06,1: Monday (M-M),5: Late PM (7pm-12am),176,14,18.360,0.748,8.000,15.000,17.000,20.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,Clinton Street,yes,269,yes,2022-06,2: Tuesday (Tu-Tu),0: All Day (12am-12am),1119,14,18.360,0.763,9.000,15.000,17.000,20.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,Clinton Street,yes,269,yes,2022-06,2: Tuesday (Tu-Tu),1: Early AM (12am-6am),17,16,18.360,0.881,N/A,N/A,N/A,N/A
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,Clinton Street,yes,269,yes,2022-06,2: Tuesday (Tu-Tu),2: Peak AM (6am-10am),147,15,18.360,0.841,10.000,17.000,20.000,22.000
