Data Periods,Mode of Travel,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Spot Traffic (StL Volume),Avg Spot Speed (mph),Free Flow Speed (mph),Free Flow Factor,5th Speed Percentile,75th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,Clinton Street,yes,269,yes,2019-06,0: All Days (M-Su),0: All Day (12am-12am),2061,14,18.330,0.762,8.000,16.000,17.000,19.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,Clinton Street,yes,269,yes,2019-06,0: All Days (M-Su),1: Early AM (12am-6am),32,15,18.330,0.812,10.000,17.000,18.000,20.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,Clinton Street,yes,269,yes,2019-06,0: All Days (M-Su),2: Peak AM (6am-10am),144,15,18.330,0.823,7.000,17.000,18.000,21.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,Clinton Street,yes,269,yes,2019-06,0: All Days (M-Su),3: Mid-Day (10am-3pm),570,14,18.330,0.767,7.000,16.000,18.000,20.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,Clinton Street,yes,269,yes,2019-06,0: All Days (M-Su),4: Peak PM (3pm-7pm),1007,14,18.330,0.749,9.000,16.000,17.000,19.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,Clinton Street,yes,269,yes,2019-06,0: All Days (M-Su),5: Late PM (7pm-12am),307,14,18.330,0.759,7.000,16.000,18.000,20.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,Clinton Street,yes,269,yes,2019-06,1: Monday (M-M),0: All Day (12am-12am),1799,14,18.330,0.770,8.000,16.000,17.000,19.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,Clinton Street,yes,269,yes,2019-06,1: Monday (M-M),1: Early AM (12am-6am),33,17,18.330,0.939,N/A,N/A,N/A,N/A
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,Clinton Street,yes,269,yes,2019-06,1: Monday (M-M),2: Peak AM (6am-10am),200,15,18.330,0.814,9.000,17.000,18.000,20.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,Clinton Street,yes,269,yes,2019-06,1: Monday (M-M),3: Mid-Day (10am-3pm),401,14,18.330,0.751,8.000,16.000,17.000,19.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,Clinton Street,yes,269,yes,2019-06,1: Monday (M-M),4: Peak PM (3pm-7pm),971,14,18.330,0.761,9.000,16.000,17.000,19.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,Clinton Street,yes,269,yes,2019-06,1: Monday (M-M),5: Late PM (7pm-12am),193,14,18.330,0.777,7.000,17.000,18.000,21.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,Clinton Street,yes,269,yes,2019-06,2: Tuesday (Tu-Tu),0: All Day (12am-12am),2323,14,18.330,0.775,8.000,16.000,17.000,20.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,Clinton Street,yes,269,yes,2019-06,2: Tuesday (Tu-Tu),1: Early AM (12am-6am),14,14,18.330,0.785,N/A,N/A,N/A,N/A
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,Clinton Street,yes,269,yes,2019-06,2: Tuesday (Tu-Tu),2: Peak AM (6am-10am),212,15,18.330,0.794,7.000,17.000,18.000,19.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,Clinton Street,yes,269,yes,2019-06,2: Tuesday (Tu-Tu),3: Mid-Day (10am-3pm),494,15,18.330,0.805,6.000,17.000,18.000,21.000
