Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),5th Speed Percentile,15th Speed Percentile,50th Speed Percentile,75th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2019-06,0: All Days (M-Su),0: All Day (12am-12am),2031,14,15,18.330,0.762,120.77,2.06,8.000,11.000,14.000,16.000,17.000,19.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2019-06,0: All Days (M-Su),1: Early AM (12am-6am),31,15,14,18.330,0.812,1.86,0.02,10.000,11.000,15.000,17.000,18.000,20.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2019-06,0: All Days (M-Su),2: Peak AM (6am-10am),142,15,14,18.330,0.823,8.46,0.10,7.000,11.000,16.000,17.000,18.000,21.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2019-06,0: All Days (M-Su),3: Mid-Day (10am-3pm),561,14,15,18.330,0.767,33.36,0.55,7.000,10.000,14.000,16.000,18.000,20.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2019-06,0: All Days (M-Su),4: Peak PM (3pm-7pm),993,14,16,18.330,0.749,59.06,1.08,9.000,11.000,14.000,16.000,17.000,19.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2019-06,0: All Days (M-Su),5: Late PM (7pm-12am),303,14,15,18.330,0.759,18.02,0.31,7.000,10.000,14.000,16.000,18.000,20.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2019-06,1: Monday (M-M),0: All Day (12am-12am),1780,14,15,18.330,0.770,105.86,1.73,8.000,11.000,14.000,16.000,17.000,19.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2019-06,1: Monday (M-M),1: Early AM (12am-6am),33,17,12,18.330,0.939,1.97,0.01,N/A,N/A,N/A,N/A,N/A,N/A
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2019-06,1: Monday (M-M),2: Peak AM (6am-10am),198,15,14,18.330,0.814,11.79,0.15,9.000,12.000,15.000,17.000,18.000,20.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2019-06,1: Monday (M-M),3: Mid-Day (10am-3pm),397,14,16,18.330,0.751,23.59,0.43,8.000,10.000,14.000,16.000,17.000,19.000
