Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),5th Speed Percentile,75th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 7,0.057,yes,270,yes,2022-01,0: All Days (M-Su),0: All Day (12am-12am),1282,16,13,19.961,0.820,73.45,0.81,10.000,19.000,20.000,24.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 7,0.057,yes,270,yes,2022-01,0: All Days (M-Su),1: Early AM (12am-6am),23,17,12,19.961,0.846,1.33,0.01,7.000,19.000,21.000,24.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 7,0.057,yes,270,yes,2022-01,0: All Days (M-Su),2: Peak AM (6am-10am),131,18,12,19.961,0.881,7.51,0.05,11.000,20.000,21.000,25.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 7,0.057,yes,270,yes,2022-01,0: All Days (M-Su),3: Mid-Day (10am-3pm),447,16,13,19.961,0.813,25.64,0.29,10.000,19.000,20.000,24.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 7,0.057,yes,270,yes,2022-01,0: All Days (M-Su),4: Peak PM (3pm-7pm),508,16,13,19.961,0.802,29.09,0.36,10.000,18.000,19.000,23.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 7,0.057,yes,270,yes,2022-01,0: All Days (M-Su),5: Late PM (7pm-12am),172,17,12,19.961,0.843,9.88,0.09,10.000,19.000,20.000,24.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 7,0.057,yes,270,yes,2022-01,1: Monday (M-M),0: All Day (12am-12am),1142,17,12,19.961,0.838,65.44,0.64,10.000,19.000,20.000,24.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 7,0.057,yes,270,yes,2022-01,1: Monday (M-M),1: Early AM (12am-6am),17,19,11,19.961,0.943,0.99,0.00,N/A,N/A,N/A,N/A
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 7,0.057,yes,270,yes,2022-01,1: Monday (M-M),2: Peak AM (6am-10am),169,18,12,19.961,0.892,9.68,0.06,11.000,20.000,21.000,25.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 7,0.057,yes,270,yes,2022-01,1: Monday (M-M),3: Mid-Day (10am-3pm),434,17,12,19.961,0.841,24.87,0.24,10.000,19.000,20.000,26.000
