Data Periods,Mode of Travel,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Spot Traffic (StL Volume),Avg Spot Speed (mph),Free Flow Speed (mph),Free Flow Factor,5th Speed Percentile,50th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Euclid Avenue,yes,208,yes,2023-06,0: All Days (M-Su),0: All Day (12am-12am),3945,18,23.662,0.760,9.000,18.000,24.000,27.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Euclid Avenue,yes,208,yes,2023-06,0: All Days (M-Su),1: Early AM (12am-6am),215,20,23.662,0.852,12.000,20.000,26.000,29.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Euclid Avenue,yes,208,yes,2023-06,0: All Days (M-Su),2: Peak AM (6am-10am),658,18,23.662,0.753,6.000,18.000,25.000,28.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Euclid Avenue,yes,208,yes,2023-06,0: All Days (M-Su),3: Mid-Day (10am-3pm),1098,18,23.662,0.753,8.000,18.000,24.000,27.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Euclid Avenue,yes,208,yes,2023-06,0: All Days (M-Su),4: Peak PM (3pm-7pm),1148,18,23.662,0.743,9.000,17.000,23.000,26.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Euclid Avenue,yes,208,yes,2023-06,0: All Days (M-Su),5: Late PM (7pm-12am),827,18,23.662,0.776,10.000,18.000,24.000,27.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Euclid Avenue,yes,208,yes,2023-06,1: Monday (M-M),0: All Day (12am-12am),3659,18,23.662,0.766,8.000,18.000,24.000,27.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Euclid Avenue,yes,208,yes,2023-06,1: Monday (M-M),1: Early AM (12am-6am),188,21,23.662,0.867,12.000,20.000,26.000,31.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Euclid Avenue,yes,208,yes,2023-06,1: Monday (M-M),2: Peak AM (6am-10am),669,17,23.662,0.732,5.000,17.000,24.000,27.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Euclid Avenue,yes,208,yes,2023-06,1: Monday (M-M),3: Mid-Day (10am-3pm),1009,18,23.662,0.757,6.000,18.000,24.000,28.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Euclid Avenue,yes,208,yes,2023-06,1: Monday (M-M),4: Peak PM (3pm-7pm),1078,18,23.662,0.761,10.000,18.000,23.000,26.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Euclid Avenue,yes,208,yes,2023-06,1: Monday (M-M),5: Late PM (7pm-12am),715,19,23.662,0.793,11.000,18.000,24.000,27.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Euclid Avenue,yes,208,yes,2023-06,2: Tuesday (Tu-Tu),0: All Day (12am-12am),3887,18,23.662,0.755,8.000,18.000,24.000,27.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Euclid Avenue,yes,208,yes,2023-06,2: Tuesday (Tu-Tu),1: Early AM (12am-6am),163,20,23.662,0.852,13.000,19.000,26.000,32.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Euclid Avenue,yes,208,yes,2023-06,2: Tuesday (Tu-Tu),2: Peak AM (6am-10am),721,18,23.662,0.751,5.000,18.000,25.000,28.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Euclid Avenue,yes,208,yes,2023-06,2: Tuesday (Tu-Tu),3: Mid-Day (10am-3pm),1033,18,23.662,0.752,8.000,18.000,24.000,27.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Euclid Avenue,yes,208,yes,2023-06,2: Tuesday (Tu-Tu),4: Peak PM (3pm-7pm),1201,17,23.662,0.728,9.000,17.000,23.000,25.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Euclid Avenue,yes,208,yes,2023-06,2: Tuesday (Tu-Tu),5: Late PM (7pm-12am),770,18,23.662,0.782,10.000,18.000,24.000,27.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Euclid Avenue,yes,208,yes,2023-06,3: Wednesday (W-W),0: All Day (12am-12am),4132,18,23.662,0.748,9.000,17.000,24.000,27.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Euclid Avenue,yes,208,yes,2023-06,3: Wednesday (W-W),1: Early AM (12am-6am),180,20,23.662,0.829,11.000,19.000,26.000,30.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Euclid Avenue,yes,208,yes,2023-06,3: Wednesday (W-W),2: Peak AM (6am-10am),741,18,23.662,0.751,5.000,18.000,24.000,27.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Euclid Avenue,yes,208,yes,2023-06,3: Wednesday (W-W),3: Mid-Day (10am-3pm),1105,18,23.662,0.740,8.000,17.000,24.000,27.000
