Data Periods,Mode of Travel,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Spot Traffic (StL Volume),Avg Spot Speed (mph),Free Flow Speed (mph),Free Flow Factor,5th Speed Percentile,50th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,Euclid Avenue,yes,208,yes,2019-06,0: All Days (M-Su),0: All Day (12am-12am),4590,19,24.914,0.763,9.000,19.000,25.000,28.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,Euclid Avenue,yes,208,yes,2019-06,0: All Days (M-Su),1: Early AM (12am-6am),276,20,24.914,0.809,11.000,20.000,26.000,30.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,Euclid Avenue,yes,208,yes,2019-06,0: All Days (M-Su),2: Peak AM (6am-10am),962,20,24.914,0.811,8.000,21.000,26.000,29.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,Euclid Avenue,yes,208,yes,2019-06,0: All Days (M-Su),3: Mid-Day (10am-3pm),1129,19,24.914,0.764,9.000,19.000,25.000,28.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,Euclid Avenue,yes,208,yes,2019-06,0: All Days (M-Su),4: Peak PM (3pm-7pm),1317,18,24.914,0.729,9.000,18.000,25.000,27.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,Euclid Avenue,yes,208,yes,2019-06,0: All Days (M-Su),5: Late PM (7pm-12am),906,19,24.914,0.747,10.000,18.000,25.000,28.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,Euclid Avenue,yes,208,yes,2019-06,1: Monday (M-M),0: All Day (12am-12am),4655,19,24.914,0.765,9.000,19.000,25.000,28.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,Euclid Avenue,yes,208,yes,2019-06,1: Monday (M-M),1: Early AM (12am-6am),249,20,24.914,0.804,12.000,19.000,27.000,31.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,Euclid Avenue,yes,208,yes,2019-06,1: Monday (M-M),2: Peak AM (6am-10am),1200,21,24.914,0.825,7.000,22.000,27.000,29.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,Euclid Avenue,yes,208,yes,2019-06,1: Monday (M-M),3: Mid-Day (10am-3pm),974,19,24.914,0.774,10.000,19.000,25.000,28.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,Euclid Avenue,yes,208,yes,2019-06,1: Monday (M-M),4: Peak PM (3pm-7pm),1345,18,24.914,0.719,8.000,17.000,24.000,28.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,Euclid Avenue,yes,208,yes,2019-06,1: Monday (M-M),5: Late PM (7pm-12am),887,18,24.914,0.735,9.000,18.000,25.000,27.000
