Data Periods,Mode of Travel,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Spot Traffic (StL Volume),Avg Spot Speed (mph),Free Flow Speed (mph),Free Flow Factor,5th Speed Percentile,75th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,Altura Street,yes,269,yes,2024-01,0: All Days (M-Su),0: All Day (12am-12am),1027,18,23.832,0.759,8.000,22.000,27.000,33.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,Altura Street,yes,269,yes,2024-01,0: All Days (M-Su),1: Early AM (12am-6am),54,18,23.832,0.745,8.000,21.000,27.000,33.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,Altura Street,yes,269,yes,2024-01,0: All Days (M-Su),2: Peak AM (6am-10am),232,18,23.832,0.756,9.000,21.000,26.000,33.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,Altura Street,yes,269,yes,2024-01,0: All Days (M-Su),3: Mid-Day (10am-3pm),271,18,23.832,0.750,7.000,22.000,26.000,32.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,Altura Street,yes,269,yes,2024-01,0: All Days (M-Su),4: Peak PM (3pm-7pm),288,18,23.832,0.765,8.000,23.000,27.000,33.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,Altura Street,yes,269,yes,2024-01,0: All Days (M-Su),5: Late PM (7pm-12am),182,18,23.832,0.772,8.000,23.000,27.000,33.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,Altura Street,yes,269,yes,2024-01,1: Monday (M-M),0: All Day (12am-12am),1016,18,23.832,0.742,7.000,21.000,26.000,33.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,Altura Street,yes,269,yes,2024-01,1: Monday (M-M),1: Early AM (12am-6am),71,17,23.832,0.723,9.000,20.000,23.000,37.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,Altura Street,yes,269,yes,2024-01,1: Monday (M-M),2: Peak AM (6am-10am),231,18,23.832,0.745,7.000,21.000,26.000,33.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,Altura Street,yes,269,yes,2024-01,1: Monday (M-M),3: Mid-Day (10am-3pm),234,17,23.832,0.708,5.000,20.000,24.000,31.000
