Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),5th Speed Percentile,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2021-01,0: All Days (M-Su),0: All Day (12am-12am),620,15,9,23.729,0.617,23.75,0.62,5.000,9.000,20.000,23.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2021-01,0: All Days (M-Su),1: Early AM (12am-6am),22,14,10,23.729,0.594,0.82,0.02,2.000,3.000,20.000,22.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2021-01,0: All Days (M-Su),2: Peak AM (6am-10am),93,16,9,23.729,0.655,3.57,0.08,6.000,10.000,21.000,25.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2021-01,0: All Days (M-Su),3: Mid-Day (10am-3pm),178,15,9,23.729,0.626,6.80,0.17,5.000,9.000,21.000,23.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2021-01,0: All Days (M-Su),4: Peak PM (3pm-7pm),201,14,10,23.729,0.605,7.69,0.21,4.000,9.000,20.000,23.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2021-01,0: All Days (M-Su),5: Late PM (7pm-12am),127,14,10,23.729,0.600,4.86,0.14,4.000,8.000,20.000,23.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2021-01,1: Monday (M-M),0: All Day (12am-12am),689,15,9,23.729,0.634,26.38,0.64,5.000,9.000,21.000,23.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2021-01,1: Monday (M-M),1: Early AM (12am-6am),23,15,9,23.729,0.636,0.87,0.02,N/A,N/A,N/A,N/A
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2021-01,1: Monday (M-M),2: Peak AM (6am-10am),116,16,8,23.729,0.693,4.46,0.08,5.000,10.000,20.000,22.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2021-01,1: Monday (M-M),3: Mid-Day (10am-3pm),219,15,9,23.729,0.645,8.37,0.19,5.000,9.000,21.000,24.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2021-01,1: Monday (M-M),4: Peak PM (3pm-7pm),208,14,10,23.729,0.591,7.97,0.23,5.000,9.000,20.000,23.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2021-01,1: Monday (M-M),5: Late PM (7pm-12am),123,15,9,23.729,0.631,4.72,0.12,3.000,9.000,21.000,23.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2021-01,2: Tuesday (Tu-Tu),0: All Day (12am-12am),651,15,9,23.729,0.621,24.90,0.64,4.000,9.000,21.000,24.000
