Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),5th Speed Percentile,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-04,0: All Days (M-Su),0: All Day (12am-12am),660,14,10,20.693,0.672,25.28,0.60,5.000,9.000,19.000,22.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-04,0: All Days (M-Su),1: Early AM (12am-6am),42,14,10,20.693,0.673,1.62,0.04,4.000,7.000,21.000,23.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-04,0: All Days (M-Su),2: Peak AM (6am-10am),96,15,9,20.693,0.712,3.68,0.07,7.000,11.000,19.000,22.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-04,0: All Days (M-Su),3: Mid-Day (10am-3pm),144,14,10,20.693,0.686,5.52,0.12,5.000,9.000,19.000,22.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-04,0: All Days (M-Su),4: Peak PM (3pm-7pm),207,14,10,20.693,0.668,7.93,0.19,6.000,9.000,18.000,21.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-04,0: All Days (M-Su),5: Late PM (7pm-12am),171,13,10,20.693,0.644,6.54,0.17,4.000,8.000,18.000,21.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-04,1: Monday (M-M),0: All Day (12am-12am),567,14,10,20.693,0.673,21.72,0.51,5.000,9.000,18.000,21.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-04,1: Monday (M-M),1: Early AM (12am-6am),42,14,10,20.693,0.671,1.61,0.04,4.000,6.000,20.000,23.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-04,1: Monday (M-M),2: Peak AM (6am-10am),89,14,10,20.693,0.672,3.41,0.08,6.000,9.000,19.000,21.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-04,1: Monday (M-M),3: Mid-Day (10am-3pm),115,14,10,20.693,0.690,4.40,0.10,4.000,9.000,18.000,22.000
