Data Periods,Mode of Travel,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Spot Traffic (StL Volume),Avg Spot Speed (mph),Free Flow Speed (mph),Free Flow Factor,5th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-01,0: All Days (M-Su),0: All Day (12am-12am),4739,19,23.099,0.813,10.000,24.000,28.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-01,0: All Days (M-Su),1: Early AM (12am-6am),330,21,23.099,0.899,12.000,26.000,32.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-01,0: All Days (M-Su),2: Peak AM (6am-10am),882,19,23.099,0.834,11.000,24.000,29.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-01,0: All Days (M-Su),3: Mid-Day (10am-3pm),1272,19,23.099,0.819,11.000,24.000,28.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-01,0: All Days (M-Su),4: Peak PM (3pm-7pm),1430,18,23.099,0.769,10.000,23.000,26.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-01,0: All Days (M-Su),5: Late PM (7pm-12am),825,19,23.099,0.823,11.000,24.000,29.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-01,1: Monday (M-M),0: All Day (12am-12am),4526,19,23.099,0.818,11.000,23.000,28.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-01,1: Monday (M-M),1: Early AM (12am-6am),406,21,23.099,0.919,12.000,26.000,37.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-01,1: Monday (M-M),2: Peak AM (6am-10am),866,19,23.099,0.830,11.000,23.000,28.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-01,1: Monday (M-M),3: Mid-Day (10am-3pm),1138,19,23.099,0.819,11.000,24.000,28.000
