Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume)
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-01,0: All Days (M-Su),0: All Day (12am-12am),4544,29,38,31.421,0.916,1370.00,3.98
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-01,0: All Days (M-Su),1: Early AM (12am-6am),270,30,36,31.421,0.952,81.43,0.13
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-01,0: All Days (M-Su),2: Peak AM (6am-10am),827,29,37,31.421,0.939,249.43,0.52
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-01,0: All Days (M-Su),3: Mid-Day (10am-3pm),1323,29,38,31.421,0.914,398.76,1.19
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-01,0: All Days (M-Su),4: Peak PM (3pm-7pm),1378,28,38,31.421,0.903,415.58,1.42
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-01,0: All Days (M-Su),5: Late PM (7pm-12am),746,29,38,31.421,0.908,224.81,0.72
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-01,1: Monday (M-M),0: All Day (12am-12am),4646,29,37,31.421,0.926,1400.71,3.57
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-01,1: Monday (M-M),1: Early AM (12am-6am),285,31,36,31.421,0.972,85.94,0.08
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-01,1: Monday (M-M),2: Peak AM (6am-10am),974,30,37,31.421,0.943,293.66,0.56
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-01,1: Monday (M-M),3: Mid-Day (10am-3pm),1420,29,38,31.421,0.920,428.17,1.18
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-01,1: Monday (M-M),4: Peak PM (3pm-7pm),1345,29,38,31.421,0.917,405.54,1.17
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-01,1: Monday (M-M),5: Late PM (7pm-12am),622,29,38,31.421,0.910,187.42,0.59
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-01,2: Tuesday (Tu-Tu),0: All Day (12am-12am),5410,29,38,31.421,0.916,1630.94,4.75
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-01,2: Tuesday (Tu-Tu),1: Early AM (12am-6am),244,30,36,31.421,0.947,73.70,0.13
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-01,2: Tuesday (Tu-Tu),2: Peak AM (6am-10am),1105,30,37,31.421,0.941,333.06,0.67
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-01,2: Tuesday (Tu-Tu),3: Mid-Day (10am-3pm),1563,29,38,31.421,0.912,471.35,1.45
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-01,2: Tuesday (Tu-Tu),4: Peak PM (3pm-7pm),1704,28,38,31.421,0.902,513.70,1.79
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-01,2: Tuesday (Tu-Tu),5: Late PM (7pm-12am),793,29,38,31.421,0.912,239.14,0.73
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-01,3: Wednesday (W-W),0: All Day (12am-12am),5140,29,38,31.421,0.916,1549.64,4.51
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-01,3: Wednesday (W-W),1: Early AM (12am-6am),303,30,36,31.421,0.950,91.41,0.15
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-01,3: Wednesday (W-W),2: Peak AM (6am-10am),1052,29,37,31.421,0.933,317.26,0.73
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-01,3: Wednesday (W-W),3: Mid-Day (10am-3pm),1348,28,38,31.421,0.904,406.35,1.37
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-01,3: Wednesday (W-W),4: Peak PM (3pm-7pm),1600,29,38,31.421,0.911,482.24,1.50
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-01,3: Wednesday (W-W),5: Late PM (7pm-12am),837,29,38,31.421,0.912,252.39,0.78
