Data Periods,Mode of Travel,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Spot Traffic (StL Volume),Avg Spot Speed (mph),Free Flow Speed (mph),Free Flow Factor,5th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2022-01,0: All Days (M-Su),0: All Day (12am-12am),4631,32,34.507,0.931,19.000,38.000,42.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2022-01,0: All Days (M-Su),1: Early AM (12am-6am),270,33,34.507,0.961,20.000,39.000,44.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2022-01,0: All Days (M-Su),2: Peak AM (6am-10am),853,33,34.507,0.961,19.000,40.000,43.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2022-01,0: All Days (M-Su),3: Mid-Day (10am-3pm),1351,32,34.507,0.936,19.000,39.000,42.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2022-01,0: All Days (M-Su),4: Peak PM (3pm-7pm),1394,32,34.507,0.914,19.000,38.000,41.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2022-01,0: All Days (M-Su),5: Late PM (7pm-12am),763,31,34.507,0.911,19.000,37.000,41.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2022-01,1: Monday (M-M),0: All Day (12am-12am),4748,32,34.507,0.939,20.000,39.000,42.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2022-01,1: Monday (M-M),1: Early AM (12am-6am),280,34,34.507,0.986,23.000,40.000,44.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2022-01,1: Monday (M-M),2: Peak AM (6am-10am),1012,33,34.507,0.961,19.000,40.000,43.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2022-01,1: Monday (M-M),3: Mid-Day (10am-3pm),1451,33,34.507,0.945,20.000,39.000,42.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2022-01,1: Monday (M-M),4: Peak PM (3pm-7pm),1363,32,34.507,0.922,20.000,37.000,41.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2022-01,1: Monday (M-M),5: Late PM (7pm-12am),642,31,34.507,0.906,19.000,37.000,42.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2022-01,2: Tuesday (Tu-Tu),0: All Day (12am-12am),5514,32,34.507,0.931,18.000,38.000,42.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2022-01,2: Tuesday (Tu-Tu),1: Early AM (12am-6am),243,33,34.507,0.970,18.000,40.000,45.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2022-01,2: Tuesday (Tu-Tu),2: Peak AM (6am-10am),1134,33,34.507,0.964,18.000,40.000,43.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2022-01,2: Tuesday (Tu-Tu),3: Mid-Day (10am-3pm),1604,32,34.507,0.929,17.000,39.000,43.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2022-01,2: Tuesday (Tu-Tu),4: Peak PM (3pm-7pm),1707,32,34.507,0.915,19.000,37.000,40.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2022-01,2: Tuesday (Tu-Tu),5: Late PM (7pm-12am),825,31,34.507,0.911,19.000,37.000,41.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2022-01,3: Wednesday (W-W),0: All Day (12am-12am),5255,32,34.507,0.929,19.000,38.000,42.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2022-01,3: Wednesday (W-W),1: Early AM (12am-6am),302,34,34.507,0.972,21.000,40.000,44.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2022-01,3: Wednesday (W-W),2: Peak AM (6am-10am),1096,33,34.507,0.953,19.000,39.000,43.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2022-01,3: Wednesday (W-W),3: Mid-Day (10am-3pm),1393,32,34.507,0.919,18.000,38.000,42.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2022-01,3: Wednesday (W-W),4: Peak PM (3pm-7pm),1610,32,34.507,0.917,19.000,38.000,41.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2022-01,3: Wednesday (W-W),5: Late PM (7pm-12am),855,32,34.507,0.919,21.000,37.000,40.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2022-01,4: Thursday (Th-Th),0: All Day (12am-12am),5688,32,34.507,0.930,19.000,38.000,42.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2022-01,4: Thursday (Th-Th),1: Early AM (12am-6am),370,33,34.507,0.955,20.000,39.000,42.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2022-01,4: Thursday (Th-Th),2: Peak AM (6am-10am),1146,33,34.507,0.959,19.000,40.000,43.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2022-01,4: Thursday (Th-Th),3: Mid-Day (10am-3pm),1452,32,34.507,0.936,19.000,39.000,42.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2022-01,4: Thursday (Th-Th),4: Peak PM (3pm-7pm),1765,31,34.507,0.908,19.000,37.000,40.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2022-01,4: Thursday (Th-Th),5: Late PM (7pm-12am),954,32,34.507,0.918,19.000,37.000,41.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2022-01,5: Friday (F-F),0: All Day (12am-12am),5819,32,34.507,0.930,19.000,38.000,42.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2022-01,5: Friday (F-F),1: Early AM (12am-6am),323,33,34.507,0.952,18.000,40.000,44.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2022-01,5: Friday (F-F),2: Peak AM (6am-10am),1096,33,34.507,0.964,18.000,40.000,43.000
