Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume)
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-01,0: All Days (M-Su),0: All Day (12am-12am),4705,23,47,25.300,0.921,1418.44,4.84
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-01,0: All Days (M-Su),1: Early AM (12am-6am),325,25,44,25.300,0.981,98.05,0.08
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-01,0: All Days (M-Su),2: Peak AM (6am-10am),873,23,46,25.300,0.923,263.10,0.86
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-01,0: All Days (M-Su),3: Mid-Day (10am-3pm),1269,23,47,25.300,0.920,382.58,1.32
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-01,0: All Days (M-Su),4: Peak PM (3pm-7pm),1425,23,48,25.300,0.901,429.55,1.87
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-01,0: All Days (M-Su),5: Late PM (7pm-12am),813,24,46,25.300,0.930,245.16,0.73
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-01,1: Monday (M-M),0: All Day (12am-12am),4495,23,47,25.300,0.919,1355.08,4.75
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-01,1: Monday (M-M),1: Early AM (12am-6am),404,25,44,25.300,0.977,121.69,0.11
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-01,1: Monday (M-M),2: Peak AM (6am-10am),849,23,47,25.300,0.917,256.07,0.92
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-01,1: Monday (M-M),3: Mid-Day (10am-3pm),1138,23,47,25.300,0.914,343.17,1.27
