Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),5th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Menlo Avenue / 165328408 / 6,0.064,yes,180,yes,2022-01,0: All Days (M-Su),0: All Day (12am-12am),1050,17,14,22.711,0.736,67.21,1.06,8.000,22.000,24.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Menlo Avenue / 165328408 / 6,0.064,yes,180,yes,2022-01,0: All Days (M-Su),1: Early AM (12am-6am),38,17,13,22.711,0.757,2.40,0.03,9.000,23.000,24.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Menlo Avenue / 165328408 / 6,0.064,yes,180,yes,2022-01,0: All Days (M-Su),2: Peak AM (6am-10am),171,18,13,22.711,0.786,10.92,0.13,9.000,23.000,26.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Menlo Avenue / 165328408 / 6,0.064,yes,180,yes,2022-01,0: All Days (M-Su),3: Mid-Day (10am-3pm),272,17,14,22.711,0.750,17.40,0.26,8.000,22.000,24.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Menlo Avenue / 165328408 / 6,0.064,yes,180,yes,2022-01,0: All Days (M-Su),4: Peak PM (3pm-7pm),407,16,14,22.711,0.707,26.08,0.48,9.000,21.000,23.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Menlo Avenue / 165328408 / 6,0.064,yes,180,yes,2022-01,0: All Days (M-Su),5: Late PM (7pm-12am),162,17,14,22.711,0.731,10.40,0.17,7.000,22.000,26.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Menlo Avenue / 165328408 / 6,0.064,yes,180,yes,2022-01,1: Weekday (M-Th),0: All Day (12am-12am),1167,17,14,22.711,0.740,74.74,1.16,8.000,22.000,25.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Menlo Avenue / 165328408 / 6,0.064,yes,180,yes,2022-01,1: Weekday (M-Th),1: Early AM (12am-6am),33,18,13,22.711,0.778,2.12,0.03,6.000,22.000,23.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Menlo Avenue / 165328408 / 6,0.064,yes,180,yes,2022-01,1: Weekday (M-Th),2: Peak AM (6am-10am),226,18,13,22.711,0.796,14.44,0.16,8.000,23.000,28.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Menlo Avenue / 165328408 / 6,0.064,yes,180,yes,2022-01,1: Weekday (M-Th),3: Mid-Day (10am-3pm),283,17,14,22.711,0.747,18.15,0.27,8.000,23.000,24.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Menlo Avenue / 165328408 / 6,0.064,yes,180,yes,2022-01,1: Weekday (M-Th),4: Peak PM (3pm-7pm),469,16,14,22.711,0.702,30.05,0.56,9.000,21.000,23.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Menlo Avenue / 165328408 / 6,0.064,yes,180,yes,2022-01,1: Weekday (M-Th),5: Late PM (7pm-12am),156,17,13,22.711,0.754,9.99,0.14,7.000,22.000,42.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Menlo Avenue / 165328408 / 6,0.064,yes,180,yes,2022-01,2: Weekend (Sa-Su),0: All Day (12am-12am),709,17,14,22.711,0.730,45.37,0.74,8.000,22.000,24.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Menlo Avenue / 165328408 / 6,0.064,yes,180,yes,2022-01,2: Weekend (Sa-Su),1: Early AM (12am-6am),45,17,14,22.711,0.744,2.86,0.04,9.000,22.000,23.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Menlo Avenue / 165328408 / 6,0.064,yes,180,yes,2022-01,2: Weekend (Sa-Su),2: Peak AM (6am-10am),66,17,13,22.711,0.756,4.21,0.06,10.000,23.000,24.000
