Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),5th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Menlo Avenue / 165328408 / 6,0.064,yes,180,yes,2019-01,0: All Days (M-Su),0: All Day (12am-12am),1684,18,13,59.652,0.298,107.79,4.26,8.000,24.000,29.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Menlo Avenue / 165328408 / 6,0.064,yes,180,yes,2019-01,0: All Days (M-Su),1: Early AM (12am-6am),53,18,13,59.652,0.302,3.40,0.13,5.000,21.000,24.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Menlo Avenue / 165328408 / 6,0.064,yes,180,yes,2019-01,0: All Days (M-Su),2: Peak AM (6am-10am),429,18,13,59.652,0.298,27.47,1.08,8.000,24.000,29.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Menlo Avenue / 165328408 / 6,0.064,yes,180,yes,2019-01,0: All Days (M-Su),3: Mid-Day (10am-3pm),388,18,13,59.652,0.304,24.86,0.95,9.000,24.000,29.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Menlo Avenue / 165328408 / 6,0.064,yes,180,yes,2019-01,0: All Days (M-Su),4: Peak PM (3pm-7pm),473,18,13,59.652,0.309,30.31,1.14,8.000,25.000,29.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Menlo Avenue / 165328408 / 6,0.064,yes,180,yes,2019-01,0: All Days (M-Su),5: Late PM (7pm-12am),339,16,14,59.652,0.276,21.74,0.96,6.000,23.000,27.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Menlo Avenue / 165328408 / 6,0.064,yes,180,yes,2019-01,1: Weekday (M-Th),0: All Day (12am-12am),1959,18,13,59.652,0.294,125.45,5.04,8.000,24.000,29.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Menlo Avenue / 165328408 / 6,0.064,yes,180,yes,2019-01,1: Weekday (M-Th),1: Early AM (12am-6am),66,19,12,59.652,0.313,4.24,0.16,10.000,21.000,22.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Menlo Avenue / 165328408 / 6,0.064,yes,180,yes,2019-01,1: Weekday (M-Th),2: Peak AM (6am-10am),629,18,13,59.652,0.295,40.26,1.62,8.000,23.000,29.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Menlo Avenue / 165328408 / 6,0.064,yes,180,yes,2019-01,1: Weekday (M-Th),3: Mid-Day (10am-3pm),450,18,13,59.652,0.307,28.82,1.09,9.000,25.000,30.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Menlo Avenue / 165328408 / 6,0.064,yes,180,yes,2019-01,1: Weekday (M-Th),4: Peak PM (3pm-7pm),483,18,13,59.652,0.309,30.94,1.16,9.000,25.000,30.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Menlo Avenue / 165328408 / 6,0.064,yes,180,yes,2019-01,1: Weekday (M-Th),5: Late PM (7pm-12am),331,15,15,59.652,0.251,21.19,1.06,6.000,21.000,23.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Menlo Avenue / 165328408 / 6,0.064,yes,180,yes,2019-01,2: Weekend (Sa-Su),0: All Day (12am-12am),935,18,13,59.652,0.296,59.84,2.39,8.000,24.000,28.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Menlo Avenue / 165328408 / 6,0.064,yes,180,yes,2019-01,2: Weekend (Sa-Su),1: Early AM (12am-6am),25,16,15,59.652,0.265,1.61,0.07,N/A,N/A,N/A
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Menlo Avenue / 165328408 / 6,0.064,yes,180,yes,2019-01,2: Weekend (Sa-Su),2: Peak AM (6am-10am),28,18,13,59.652,0.297,1.77,0.07,N/A,N/A,N/A
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Menlo Avenue / 165328408 / 6,0.064,yes,180,yes,2019-01,2: Weekend (Sa-Su),3: Mid-Day (10am-3pm),224,18,13,59.652,0.294,14.32,0.58,9.000,23.000,28.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Menlo Avenue / 165328408 / 6,0.064,yes,180,yes,2019-01,2: Weekend (Sa-Su),4: Peak PM (3pm-7pm),357,18,13,59.652,0.303,22.84,0.88,8.000,25.000,28.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Menlo Avenue / 165328408 / 6,0.064,yes,180,yes,2019-01,2: Weekend (Sa-Su),5: Late PM (7pm-12am),301,17,13,59.652,0.291,19.30,0.79,6.000,25.000,28.000
