Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),5th Speed Percentile,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2020-06,0: All Days (M-Su),0: All Day (12am-12am),1005,19,10,26.408,0.706,50.55,0.80,10.000,15.000,22.000,26.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2020-06,0: All Days (M-Su),1: Early AM (12am-6am),18,20,9,26.408,0.748,0.91,0.01,14.000,14.000,25.000,25.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2020-06,0: All Days (M-Su),2: Peak AM (6am-10am),168,20,9,26.408,0.742,8.46,0.11,13.000,16.000,23.000,26.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2020-06,0: All Days (M-Su),3: Mid-Day (10am-3pm),333,19,10,26.408,0.711,16.73,0.26,11.000,15.000,22.000,26.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2020-06,0: All Days (M-Su),4: Peak PM (3pm-7pm),328,19,10,26.408,0.704,16.48,0.26,9.000,14.000,22.000,26.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2020-06,0: All Days (M-Su),5: Late PM (7pm-12am),158,17,10,26.408,0.661,7.96,0.15,10.000,14.000,21.000,23.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2020-06,1: Monday (M-M),0: All Day (12am-12am),1165,19,10,26.408,0.713,58.55,0.89,12.000,15.000,22.000,26.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2020-06,1: Monday (M-M),1: Early AM (12am-6am),33,21,9,26.408,0.794,1.64,0.02,N/A,N/A,N/A,N/A
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2020-06,1: Monday (M-M),2: Peak AM (6am-10am),212,19,10,26.408,0.720,10.65,0.16,14.000,16.000,24.000,28.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2020-06,1: Monday (M-M),3: Mid-Day (10am-3pm),399,19,9,26.408,0.735,20.06,0.27,13.000,15.000,23.000,27.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2020-06,1: Monday (M-M),4: Peak PM (3pm-7pm),330,19,10,26.408,0.716,16.58,0.25,11.000,16.000,22.000,23.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2020-06,1: Monday (M-M),5: Late PM (7pm-12am),191,17,11,26.408,0.644,9.62,0.20,9.000,14.000,21.000,24.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2020-06,2: Tuesday (Tu-Tu),0: All Day (12am-12am),998,19,10,26.408,0.701,50.16,0.81,8.000,14.000,22.000,25.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2020-06,2: Tuesday (Tu-Tu),1: Early AM (12am-6am),8,N/A,N/A,N/A,N/A,0.41,N/A,N/A,N/A,N/A,N/A
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2020-06,2: Tuesday (Tu-Tu),2: Peak AM (6am-10am),183,20,9,26.408,0.742,9.21,0.12,13.000,14.000,23.000,25.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2020-06,2: Tuesday (Tu-Tu),3: Mid-Day (10am-3pm),334,19,10,26.408,0.709,16.79,0.26,12.000,14.000,22.000,26.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2020-06,2: Tuesday (Tu-Tu),4: Peak PM (3pm-7pm),342,19,10,26.408,0.703,17.20,0.28,8.000,14.000,22.000,25.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2020-06,2: Tuesday (Tu-Tu),5: Late PM (7pm-12am),130,16,11,26.408,0.625,6.55,0.15,2.000,12.000,20.000,22.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2020-06,3: Wednesday (W-W),0: All Day (12am-12am),1110,19,10,26.408,0.721,55.79,0.82,11.000,15.000,22.000,26.000
