Data Periods,Mode of Travel,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Spot Traffic (StL Volume),Avg Spot Speed (mph),Free Flow Speed (mph),Free Flow Factor,5th Speed Percentile,75th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jan 01, 2022 - Mar 01, 2022",All Vehicles - StL All Vehicles Volume,,Oakdale Avenue,yes,0,yes,2022-01,0: All Days (M-Su),0: All Day (12am-12am),591,18,20.770,0.849,10.000,20.000,22.000,25.000
"Jan 01, 2022 - Mar 01, 2022",All Vehicles - StL All Vehicles Volume,,Oakdale Avenue,yes,0,yes,2022-01,0: All Days (M-Su),1: Early AM (12am-6am),18,17,20.770,0.796,10.000,19.000,22.000,29.000
"Jan 01, 2022 - Mar 01, 2022",All Vehicles - StL All Vehicles Volume,,Oakdale Avenue,yes,0,yes,2022-01,0: All Days (M-Su),2: Peak AM (6am-10am),96,18,20.770,0.863,9.000,21.000,22.000,25.000
"Jan 01, 2022 - Mar 01, 2022",All Vehicles - StL All Vehicles Volume,,Oakdale Avenue,yes,0,yes,2022-01,0: All Days (M-Su),3: Mid-Day (10am-3pm),189,18,20.770,0.857,10.000,20.000,22.000,25.000
"Jan 01, 2022 - Mar 01, 2022",All Vehicles - StL All Vehicles Volume,,Oakdale Avenue,yes,0,yes,2022-01,0: All Days (M-Su),4: Peak PM (3pm-7pm),198,18,20.770,0.853,10.000,20.000,22.000,25.000
"Jan 01, 2022 - Mar 01, 2022",All Vehicles - StL All Vehicles Volume,,Oakdale Avenue,yes,0,yes,2022-01,0: All Days (M-Su),5: Late PM (7pm-12am),90,17,20.770,0.821,8.000,20.000,21.000,23.000
"Jan 01, 2022 - Mar 01, 2022",All Vehicles - StL All Vehicles Volume,,Oakdale Avenue,yes,0,yes,2022-01,1: Monday (M-M),0: All Day (12am-12am),558,18,20.770,0.863,11.000,21.000,22.000,25.000
"Jan 01, 2022 - Mar 01, 2022",All Vehicles - StL All Vehicles Volume,,Oakdale Avenue,yes,0,yes,2022-01,1: Monday (M-M),1: Early AM (12am-6am),16,16,20.770,0.783,N/A,N/A,N/A,N/A
"Jan 01, 2022 - Mar 01, 2022",All Vehicles - StL All Vehicles Volume,,Oakdale Avenue,yes,0,yes,2022-01,1: Monday (M-M),2: Peak AM (6am-10am),105,19,20.770,0.910,11.000,22.000,24.000,26.000
"Jan 01, 2022 - Mar 01, 2022",All Vehicles - StL All Vehicles Volume,,Oakdale Avenue,yes,0,yes,2022-01,1: Monday (M-M),3: Mid-Day (10am-3pm),175,18,20.770,0.859,12.000,20.000,21.000,24.000
