Data Periods,Mode of Travel,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Spot Traffic (StL Volume),Avg Spot Speed (mph),Free Flow Speed (mph),Free Flow Factor,5th Speed Percentile,75th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jan 01, 2021 - Mar 01, 2021",All Vehicles - StL All Vehicles Volume,,Oakdale Avenue,yes,0,yes,2021-01,0: All Days (M-Su),0: All Day (12am-12am),656,20,28.869,0.686,12.000,22.000,24.000,28.000
"Jan 01, 2021 - Mar 01, 2021",All Vehicles - StL All Vehicles Volume,,Oakdale Avenue,yes,0,yes,2021-01,0: All Days (M-Su),1: Early AM (12am-6am),11,21,28.869,0.740,15.000,24.000,40.000,40.000
"Jan 01, 2021 - Mar 01, 2021",All Vehicles - StL All Vehicles Volume,,Oakdale Avenue,yes,0,yes,2021-01,0: All Days (M-Su),2: Peak AM (6am-10am),115,20,28.869,0.707,13.000,23.000,25.000,29.000
"Jan 01, 2021 - Mar 01, 2021",All Vehicles - StL All Vehicles Volume,,Oakdale Avenue,yes,0,yes,2021-01,0: All Days (M-Su),3: Mid-Day (10am-3pm),227,20,28.869,0.690,13.000,23.000,24.000,28.000
"Jan 01, 2021 - Mar 01, 2021",All Vehicles - StL All Vehicles Volume,,Oakdale Avenue,yes,0,yes,2021-01,0: All Days (M-Su),4: Peak PM (3pm-7pm),211,20,28.869,0.678,12.000,22.000,24.000,29.000
"Jan 01, 2021 - Mar 01, 2021",All Vehicles - StL All Vehicles Volume,,Oakdale Avenue,yes,0,yes,2021-01,0: All Days (M-Su),5: Late PM (7pm-12am),92,19,28.869,0.662,12.000,21.000,24.000,28.000
"Jan 01, 2021 - Mar 01, 2021",All Vehicles - StL All Vehicles Volume,,Oakdale Avenue,yes,0,yes,2021-01,1: Monday (M-M),0: All Day (12am-12am),697,20,28.869,0.684,13.000,22.000,24.000,28.000
"Jan 01, 2021 - Mar 01, 2021",All Vehicles - StL All Vehicles Volume,,Oakdale Avenue,yes,0,yes,2021-01,1: Monday (M-M),1: Early AM (12am-6am),8,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Jan 01, 2021 - Mar 01, 2021",All Vehicles - StL All Vehicles Volume,,Oakdale Avenue,yes,0,yes,2021-01,1: Monday (M-M),2: Peak AM (6am-10am),149,20,28.869,0.704,13.000,23.000,25.000,29.000
"Jan 01, 2021 - Mar 01, 2021",All Vehicles - StL All Vehicles Volume,,Oakdale Avenue,yes,0,yes,2021-01,1: Monday (M-M),3: Mid-Day (10am-3pm),245,20,28.869,0.678,14.000,22.000,24.000,28.000
"Jan 01, 2021 - Mar 01, 2021",All Vehicles - StL All Vehicles Volume,,Oakdale Avenue,yes,0,yes,2021-01,1: Monday (M-M),4: Peak PM (3pm-7pm),201,20,28.869,0.678,12.000,22.000,24.000,30.000
"Jan 01, 2021 - Mar 01, 2021",All Vehicles - StL All Vehicles Volume,,Oakdale Avenue,yes,0,yes,2021-01,1: Monday (M-M),5: Late PM (7pm-12am),94,20,28.869,0.680,14.000,20.000,21.000,24.000
"Jan 01, 2021 - Mar 01, 2021",All Vehicles - StL All Vehicles Volume,,Oakdale Avenue,yes,0,yes,2021-01,2: Tuesday (Tu-Tu),0: All Day (12am-12am),736,19,28.869,0.674,11.000,22.000,24.000,29.000
"Jan 01, 2021 - Mar 01, 2021",All Vehicles - StL All Vehicles Volume,,Oakdale Avenue,yes,0,yes,2021-01,2: Tuesday (Tu-Tu),1: Early AM (12am-6am),11,27,28.869,0.944,N/A,N/A,N/A,N/A
