Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),5th Speed Percentile,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2022-06,0: All Days (M-Su),0: All Day (12am-12am),624,18,10,22.125,0.819,31.36,0.31,10.000,14.000,22.000,26.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2022-06,0: All Days (M-Su),1: Early AM (12am-6am),17,18,10,22.125,0.793,0.88,0.01,10.000,14.000,23.000,30.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2022-06,0: All Days (M-Su),2: Peak AM (6am-10am),107,18,10,22.125,0.823,5.36,0.05,10.000,14.000,22.000,26.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2022-06,0: All Days (M-Su),3: Mid-Day (10am-3pm),199,18,10,22.125,0.836,10.03,0.09,11.000,14.000,23.000,27.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2022-06,0: All Days (M-Su),4: Peak PM (3pm-7pm),180,18,10,22.125,0.828,9.03,0.09,11.000,14.000,23.000,26.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2022-06,0: All Days (M-Su),5: Late PM (7pm-12am),121,17,11,22.125,0.778,6.07,0.08,10.000,13.000,21.000,24.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2022-06,1: Monday (M-M),0: All Day (12am-12am),590,18,10,22.125,0.807,29.64,0.32,11.000,14.000,22.000,25.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2022-06,1: Monday (M-M),1: Early AM (12am-6am),25,17,11,22.125,0.777,1.24,0.02,12.000,13.000,19.000,32.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2022-06,1: Monday (M-M),2: Peak AM (6am-10am),85,18,10,22.125,0.812,4.27,0.04,9.000,13.000,22.000,27.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2022-06,1: Monday (M-M),3: Mid-Day (10am-3pm),206,19,10,22.125,0.837,10.35,0.09,13.000,15.000,22.000,26.000
