Data Periods,Mode of Travel,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Spot Traffic (StL Volume),Avg Spot Speed (mph),Free Flow Speed (mph),Free Flow Factor,5th Speed Percentile,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,Oakdale Avenue,yes,0,no,2022-06,0: All Days (M-Su),0: All Day (12am-12am),312,17,17.680,0.943,10.000,13.000,20.000,24.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,Oakdale Avenue,yes,0,no,2022-06,0: All Days (M-Su),1: Early AM (12am-6am),10,16,17.680,0.891,10.000,12.000,18.000,22.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,Oakdale Avenue,yes,0,no,2022-06,0: All Days (M-Su),2: Peak AM (6am-10am),50,17,17.680,0.939,8.000,13.000,20.000,24.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,Oakdale Avenue,yes,0,no,2022-06,0: All Days (M-Su),3: Mid-Day (10am-3pm),98,17,17.680,0.966,10.000,13.000,21.000,24.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,Oakdale Avenue,yes,0,no,2022-06,0: All Days (M-Su),4: Peak PM (3pm-7pm),90,17,17.680,0.957,10.000,13.000,21.000,24.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,Oakdale Avenue,yes,0,no,2022-06,0: All Days (M-Su),5: Late PM (7pm-12am),63,16,17.680,0.899,9.000,12.000,19.000,22.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,Oakdale Avenue,yes,0,no,2022-06,1: Monday (M-M),0: All Day (12am-12am),281,17,17.680,0.940,10.000,13.000,20.000,24.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,Oakdale Avenue,yes,0,no,2022-06,1: Monday (M-M),1: Early AM (12am-6am),16,16,17.680,0.911,N/A,N/A,N/A,N/A
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,Oakdale Avenue,yes,0,no,2022-06,1: Monday (M-M),2: Peak AM (6am-10am),32,16,17.680,0.877,9.000,12.000,19.000,20.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,Oakdale Avenue,yes,0,no,2022-06,1: Monday (M-M),3: Mid-Day (10am-3pm),104,17,17.680,0.987,12.000,14.000,21.000,25.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,Oakdale Avenue,yes,0,no,2022-06,1: Monday (M-M),4: Peak PM (3pm-7pm),72,17,17.680,0.936,9.000,12.000,20.000,23.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,Oakdale Avenue,yes,0,no,2022-06,1: Monday (M-M),5: Late PM (7pm-12am),57,16,17.680,0.903,10.000,13.000,19.000,22.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,Oakdale Avenue,yes,0,no,2022-06,2: Tuesday (Tu-Tu),0: All Day (12am-12am),328,17,17.680,0.936,10.000,13.000,20.000,23.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,Oakdale Avenue,yes,0,no,2022-06,2: Tuesday (Tu-Tu),1: Early AM (12am-6am),6,13,17.680,0.763,N/A,N/A,N/A,N/A
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,Oakdale Avenue,yes,0,no,2022-06,2: Tuesday (Tu-Tu),2: Peak AM (6am-10am),68,16,17.680,0.888,4.000,13.000,19.000,20.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,Oakdale Avenue,yes,0,no,2022-06,2: Tuesday (Tu-Tu),3: Mid-Day (10am-3pm),92,17,17.680,0.960,10.000,13.000,20.000,26.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,Oakdale Avenue,yes,0,no,2022-06,2: Tuesday (Tu-Tu),4: Peak PM (3pm-7pm),101,17,17.680,0.971,12.000,14.000,20.000,23.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,Oakdale Avenue,yes,0,no,2022-06,2: Tuesday (Tu-Tu),5: Late PM (7pm-12am),62,16,17.680,0.913,12.000,13.000,19.000,21.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,Oakdale Avenue,yes,0,no,2022-06,3: Wednesday (W-W),0: All Day (12am-12am),278,17,17.680,0.945,10.000,13.000,20.000,23.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,Oakdale Avenue,yes,0,no,2022-06,3: Wednesday (W-W),1: Early AM (12am-6am),6,15,17.680,0.843,N/A,N/A,N/A,N/A
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,Oakdale Avenue,yes,0,no,2022-06,3: Wednesday (W-W),2: Peak AM (6am-10am),55,17,17.680,0.949,11.000,13.000,21.000,23.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,Oakdale Avenue,yes,0,no,2022-06,3: Wednesday (W-W),3: Mid-Day (10am-3pm),79,17,17.680,0.970,11.000,13.000,21.000,24.000
