Data Periods,Mode of Travel,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Spot Traffic (StL Volume),Avg Spot Speed (mph),Free Flow Speed (mph),Free Flow Factor,5th Speed Percentile,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,,Oakdale Avenue,yes,0,no,2020-06,0: All Days (M-Su),0: All Day (12am-12am),413,18,21.282,0.845,10.000,15.000,22.000,24.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,,Oakdale Avenue,yes,0,no,2020-06,0: All Days (M-Su),1: Early AM (12am-6am),6,19,21.282,0.871,N/A,N/A,N/A,N/A
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,,Oakdale Avenue,yes,0,no,2020-06,0: All Days (M-Su),2: Peak AM (6am-10am),61,19,21.282,0.880,13.000,15.000,22.000,24.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,,Oakdale Avenue,yes,0,no,2020-06,0: All Days (M-Su),3: Mid-Day (10am-3pm),135,18,21.282,0.858,12.000,15.000,22.000,24.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,,Oakdale Avenue,yes,0,no,2020-06,0: All Days (M-Su),4: Peak PM (3pm-7pm),138,18,21.282,0.853,9.000,15.000,22.000,26.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,,Oakdale Avenue,yes,0,no,2020-06,0: All Days (M-Su),5: Late PM (7pm-12am),73,17,21.282,0.776,8.000,14.000,20.000,21.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,,Oakdale Avenue,yes,0,no,2020-06,1: Monday (M-M),0: All Day (12am-12am),495,18,21.282,0.850,12.000,15.000,22.000,24.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,,Oakdale Avenue,yes,0,no,2020-06,1: Monday (M-M),1: Early AM (12am-6am),14,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,,Oakdale Avenue,yes,0,no,2020-06,1: Monday (M-M),2: Peak AM (6am-10am),85,18,21.282,0.852,13.000,15.000,22.000,24.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,,Oakdale Avenue,yes,0,no,2020-06,1: Monday (M-M),3: Mid-Day (10am-3pm),160,19,21.282,0.875,13.000,15.000,22.000,27.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,,Oakdale Avenue,yes,0,no,2020-06,1: Monday (M-M),4: Peak PM (3pm-7pm),147,19,21.282,0.879,14.000,16.000,21.000,23.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,,Oakdale Avenue,yes,0,no,2020-06,1: Monday (M-M),5: Late PM (7pm-12am),89,16,21.282,0.747,12.000,14.000,20.000,21.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,,Oakdale Avenue,yes,0,no,2020-06,2: Tuesday (Tu-Tu),0: All Day (12am-12am),419,18,21.282,0.830,6.000,13.000,22.000,23.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,,Oakdale Avenue,yes,0,no,2020-06,2: Tuesday (Tu-Tu),2: Peak AM (6am-10am),75,20,21.282,0.923,13.000,14.000,23.000,24.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,,Oakdale Avenue,yes,0,no,2020-06,2: Tuesday (Tu-Tu),3: Mid-Day (10am-3pm),136,18,21.282,0.828,6.000,13.000,22.000,23.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,,Oakdale Avenue,yes,0,no,2020-06,2: Tuesday (Tu-Tu),4: Peak PM (3pm-7pm),136,18,21.282,0.848,7.000,14.000,21.000,26.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,,Oakdale Avenue,yes,0,no,2020-06,2: Tuesday (Tu-Tu),5: Late PM (7pm-12am),72,15,21.282,0.702,1.000,12.000,19.000,23.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,,Oakdale Avenue,yes,0,no,2020-06,3: Wednesday (W-W),0: All Day (12am-12am),448,18,21.282,0.851,7.000,16.000,21.000,26.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,,Oakdale Avenue,yes,0,no,2020-06,3: Wednesday (W-W),1: Early AM (12am-6am),9,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,,Oakdale Avenue,yes,0,no,2020-06,3: Wednesday (W-W),2: Peak AM (6am-10am),64,18,21.282,0.860,N/A,N/A,N/A,N/A
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,,Oakdale Avenue,yes,0,no,2020-06,3: Wednesday (W-W),3: Mid-Day (10am-3pm),136,18,21.282,0.843,7.000,16.000,21.000,23.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,,Oakdale Avenue,yes,0,no,2020-06,3: Wednesday (W-W),4: Peak PM (3pm-7pm),175,18,21.282,0.855,6.000,12.000,25.000,26.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,,Oakdale Avenue,yes,0,no,2020-06,3: Wednesday (W-W),5: Late PM (7pm-12am),64,17,21.282,0.810,N/A,N/A,N/A,N/A
