Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),5th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Kelton Avenue / 13432171 / 1,0.143,yes,174,yes,2022-01,0: All Days (M-Su),0: All Day (12am-12am),871,15,35,16.917,0.867,124.51,1.13,2.000,22.000,27.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Kelton Avenue / 13432171 / 1,0.143,yes,174,yes,2022-01,0: All Days (M-Su),1: Early AM (12am-6am),60,15,35,16.917,0.866,8.60,0.08,2.000,22.000,27.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Kelton Avenue / 13432171 / 1,0.143,yes,174,yes,2022-01,0: All Days (M-Su),2: Peak AM (6am-10am),71,16,32,16.917,0.961,10.14,0.02,4.000,23.000,28.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Kelton Avenue / 13432171 / 1,0.143,yes,174,yes,2022-01,0: All Days (M-Su),3: Mid-Day (10am-3pm),253,15,33,16.917,0.909,36.11,0.21,2.000,23.000,27.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Kelton Avenue / 13432171 / 1,0.143,yes,174,yes,2022-01,0: All Days (M-Su),4: Peak PM (3pm-7pm),237,14,36,16.917,0.850,33.91,0.35,2.000,22.000,27.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Kelton Avenue / 13432171 / 1,0.143,yes,174,yes,2022-01,0: All Days (M-Su),5: Late PM (7pm-12am),250,14,37,16.917,0.814,35.75,0.48,2.000,21.000,26.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Kelton Avenue / 13432171 / 1,0.143,yes,174,yes,2022-01,1: Monday (M-M),0: All Day (12am-12am),776,15,34,16.917,0.885,110.90,0.85,3.000,22.000,27.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Kelton Avenue / 13432171 / 1,0.143,yes,174,yes,2022-01,1: Monday (M-M),1: Early AM (12am-6am),56,14,37,16.917,0.825,8.07,0.10,2.000,20.000,23.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Kelton Avenue / 13432171 / 1,0.143,yes,174,yes,2022-01,1: Monday (M-M),2: Peak AM (6am-10am),77,18,29,16.917,1.000,11.06,0.00,4.000,24.000,29.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Kelton Avenue / 13432171 / 1,0.143,yes,174,yes,2022-01,1: Monday (M-M),3: Mid-Day (10am-3pm),263,15,33,16.917,0.913,37.54,0.21,3.000,23.000,27.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Kelton Avenue / 13432171 / 1,0.143,yes,174,yes,2022-01,1: Monday (M-M),4: Peak PM (3pm-7pm),196,15,35,16.917,0.857,28.01,0.28,2.000,22.000,27.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Kelton Avenue / 13432171 / 1,0.143,yes,174,yes,2022-01,1: Monday (M-M),5: Late PM (7pm-12am),183,14,37,16.917,0.829,26.22,0.32,2.000,21.000,25.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Kelton Avenue / 13432171 / 1,0.143,yes,174,yes,2022-01,2: Tuesday (Tu-Tu),0: All Day (12am-12am),791,15,35,16.917,0.874,113.09,0.97,3.000,22.000,26.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Kelton Avenue / 13432171 / 1,0.143,yes,174,yes,2022-01,2: Tuesday (Tu-Tu),1: Early AM (12am-6am),39,13,39,16.917,0.776,5.64,0.10,2.000,21.000,23.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Kelton Avenue / 13432171 / 1,0.143,yes,174,yes,2022-01,2: Tuesday (Tu-Tu),2: Peak AM (6am-10am),65,17,31,16.917,0.982,9.24,0.01,3.000,22.000,26.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Kelton Avenue / 13432171 / 1,0.143,yes,174,yes,2022-01,2: Tuesday (Tu-Tu),3: Mid-Day (10am-3pm),244,15,33,16.917,0.914,34.89,0.20,3.000,22.000,27.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Kelton Avenue / 13432171 / 1,0.143,yes,174,yes,2022-01,2: Tuesday (Tu-Tu),4: Peak PM (3pm-7pm),221,14,36,16.917,0.852,31.54,0.32,3.000,22.000,26.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Kelton Avenue / 13432171 / 1,0.143,yes,174,yes,2022-01,2: Tuesday (Tu-Tu),5: Late PM (7pm-12am),222,14,36,16.917,0.837,31.77,0.37,3.000,20.000,23.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Kelton Avenue / 13432171 / 1,0.143,yes,174,yes,2022-01,3: Wednesday (W-W),0: All Day (12am-12am),885,14,36,16.917,0.850,126.62,1.32,2.000,22.000,26.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Kelton Avenue / 13432171 / 1,0.143,yes,174,yes,2022-01,3: Wednesday (W-W),1: Early AM (12am-6am),36,15,35,16.917,0.872,5.09,0.04,7.000,24.000,29.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Kelton Avenue / 13432171 / 1,0.143,yes,174,yes,2022-01,3: Wednesday (W-W),2: Peak AM (6am-10am),76,17,30,16.917,1.000,10.91,0.00,4.000,23.000,28.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Kelton Avenue / 13432171 / 1,0.143,yes,174,yes,2022-01,3: Wednesday (W-W),3: Mid-Day (10am-3pm),241,15,35,16.917,0.867,34.47,0.31,2.000,23.000,27.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Kelton Avenue / 13432171 / 1,0.143,yes,174,yes,2022-01,3: Wednesday (W-W),4: Peak PM (3pm-7pm),277,14,37,16.917,0.832,39.59,0.47,2.000,21.000,25.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Kelton Avenue / 13432171 / 1,0.143,yes,174,yes,2022-01,3: Wednesday (W-W),5: Late PM (7pm-12am),256,14,38,16.917,0.803,36.57,0.53,2.000,20.000,25.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Kelton Avenue / 13432171 / 1,0.143,yes,174,yes,2022-01,4: Thursday (Th-Th),0: All Day (12am-12am),972,15,35,16.917,0.872,138.98,1.20,2.000,22.000,27.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Kelton Avenue / 13432171 / 1,0.143,yes,174,yes,2022-01,4: Thursday (Th-Th),1: Early AM (12am-6am),49,15,35,16.917,0.878,7.02,0.06,6.000,22.000,28.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Kelton Avenue / 13432171 / 1,0.143,yes,174,yes,2022-01,4: Thursday (Th-Th),2: Peak AM (6am-10am),97,17,31,16.917,0.979,13.87,0.02,4.000,24.000,32.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Kelton Avenue / 13432171 / 1,0.143,yes,174,yes,2022-01,4: Thursday (Th-Th),3: Mid-Day (10am-3pm),251,15,34,16.917,0.902,35.82,0.23,2.000,23.000,27.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Kelton Avenue / 13432171 / 1,0.143,yes,174,yes,2022-01,4: Thursday (Th-Th),4: Peak PM (3pm-7pm),268,14,36,16.917,0.852,38.27,0.39,2.000,21.000,25.000
