Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),5th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Ophir Drive / 22744683,0.221,yes,276,yes,2019-01,0: All Days (M-Su),0: All Day (12am-12am),2089,11,70,13.873,0.817,461.37,7.44,5.000,16.000,18.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Ophir Drive / 22744683,0.221,yes,276,yes,2019-01,0: All Days (M-Su),1: Early AM (12am-6am),209,12,67,13.873,0.855,46.26,0.57,5.000,16.000,19.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Ophir Drive / 22744683,0.221,yes,276,yes,2019-01,0: All Days (M-Su),2: Peak AM (6am-10am),267,12,68,13.873,0.839,59.03,0.82,5.000,16.000,19.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Ophir Drive / 22744683,0.221,yes,276,yes,2019-01,0: All Days (M-Su),3: Mid-Day (10am-3pm),531,12,67,13.873,0.859,117.23,1.39,5.000,16.000,19.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Ophir Drive / 22744683,0.221,yes,276,yes,2019-01,0: All Days (M-Su),4: Peak PM (3pm-7pm),465,11,71,13.873,0.803,102.68,1.81,4.000,15.000,18.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Ophir Drive / 22744683,0.221,yes,276,yes,2019-01,0: All Days (M-Su),5: Late PM (7pm-12am),617,11,74,13.873,0.769,136.18,2.94,5.000,15.000,17.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Ophir Drive / 22744683,0.221,yes,276,yes,2019-01,1: Monday (M-M),0: All Day (12am-12am),2362,11,69,13.873,0.826,521.72,7.95,5.000,16.000,18.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Ophir Drive / 22744683,0.221,yes,276,yes,2019-01,1: Monday (M-M),1: Early AM (12am-6am),167,12,69,13.873,0.831,36.91,0.54,4.000,17.000,20.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Ophir Drive / 22744683,0.221,yes,276,yes,2019-01,1: Monday (M-M),2: Peak AM (6am-10am),349,11,71,13.873,0.805,77.18,1.35,5.000,16.000,18.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Ophir Drive / 22744683,0.221,yes,276,yes,2019-01,1: Monday (M-M),3: Mid-Day (10am-3pm),642,12,66,13.873,0.865,141.74,1.59,4.000,16.000,19.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Ophir Drive / 22744683,0.221,yes,276,yes,2019-01,1: Monday (M-M),4: Peak PM (3pm-7pm),624,11,70,13.873,0.821,137.90,2.17,5.000,16.000,18.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Ophir Drive / 22744683,0.221,yes,276,yes,2019-01,1: Monday (M-M),5: Late PM (7pm-12am),580,11,72,13.873,0.798,127.98,2.34,5.000,14.000,17.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Ophir Drive / 22744683,0.221,yes,276,yes,2019-01,2: Tuesday (Tu-Tu),0: All Day (12am-12am),2049,12,69,13.873,0.836,452.45,6.41,5.000,16.000,18.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Ophir Drive / 22744683,0.221,yes,276,yes,2019-01,2: Tuesday (Tu-Tu),1: Early AM (12am-6am),167,13,61,13.873,0.934,36.82,0.19,7.000,18.000,20.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Ophir Drive / 22744683,0.221,yes,276,yes,2019-01,2: Tuesday (Tu-Tu),2: Peak AM (6am-10am),278,12,66,13.873,0.863,61.33,0.70,5.000,16.000,19.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Ophir Drive / 22744683,0.221,yes,276,yes,2019-01,2: Tuesday (Tu-Tu),3: Mid-Day (10am-3pm),503,12,64,13.873,0.897,111.03,0.92,5.000,16.000,19.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Ophir Drive / 22744683,0.221,yes,276,yes,2019-01,2: Tuesday (Tu-Tu),4: Peak PM (3pm-7pm),519,11,72,13.873,0.799,114.55,2.08,4.000,15.000,18.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Ophir Drive / 22744683,0.221,yes,276,yes,2019-01,2: Tuesday (Tu-Tu),5: Late PM (7pm-12am),583,11,74,13.873,0.775,128.71,2.70,4.000,15.000,17.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Ophir Drive / 22744683,0.221,yes,276,yes,2019-01,3: Wednesday (W-W),0: All Day (12am-12am),2239,11,70,13.873,0.815,494.43,8.07,5.000,15.000,18.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Ophir Drive / 22744683,0.221,yes,276,yes,2019-01,3: Wednesday (W-W),1: Early AM (12am-6am),106,13,62,13.873,0.918,23.39,0.15,7.000,17.000,18.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Ophir Drive / 22744683,0.221,yes,276,yes,2019-01,3: Wednesday (W-W),2: Peak AM (6am-10am),318,11,71,13.873,0.813,70.12,1.16,4.000,15.000,18.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Ophir Drive / 22744683,0.221,yes,276,yes,2019-01,3: Wednesday (W-W),3: Mid-Day (10am-3pm),652,12,66,13.873,0.868,143.98,1.58,5.000,16.000,18.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Ophir Drive / 22744683,0.221,yes,276,yes,2019-01,3: Wednesday (W-W),4: Peak PM (3pm-7pm),518,11,73,13.873,0.790,114.48,2.19,5.000,15.000,17.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Ophir Drive / 22744683,0.221,yes,276,yes,2019-01,3: Wednesday (W-W),5: Late PM (7pm-12am),645,11,75,13.873,0.768,142.47,3.11,5.000,15.000,17.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Ophir Drive / 22744683,0.221,yes,276,yes,2019-01,4: Thursday (Th-Th),0: All Day (12am-12am),2150,11,70,13.873,0.813,474.82,7.86,5.000,15.000,19.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Ophir Drive / 22744683,0.221,yes,276,yes,2019-01,4: Thursday (Th-Th),1: Early AM (12am-6am),135,12,66,13.873,0.863,29.91,0.34,6.000,16.000,18.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Ophir Drive / 22744683,0.221,yes,276,yes,2019-01,4: Thursday (Th-Th),2: Peak AM (6am-10am),385,11,69,13.873,0.826,84.99,1.29,5.000,16.000,19.000
