Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),5th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Kelton Avenue / 13432171 / 1,0.143,yes,174,yes,2019-01,0: All Days (M-Su),0: All Day (12am-12am),1784,11,46,22.366,0.498,255.10,11.50,3.000,16.000,20.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Kelton Avenue / 13432171 / 1,0.143,yes,174,yes,2019-01,0: All Days (M-Su),1: Early AM (12am-6am),159,11,46,22.366,0.496,22.74,1.03,3.000,16.000,20.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Kelton Avenue / 13432171 / 1,0.143,yes,174,yes,2019-01,0: All Days (M-Su),2: Peak AM (6am-10am),234,12,43,22.366,0.530,33.45,1.33,4.000,17.000,20.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Kelton Avenue / 13432171 / 1,0.143,yes,174,yes,2019-01,0: All Days (M-Su),3: Mid-Day (10am-3pm),473,12,43,22.366,0.533,67.63,2.65,3.000,17.000,21.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Kelton Avenue / 13432171 / 1,0.143,yes,174,yes,2019-01,0: All Days (M-Su),4: Peak PM (3pm-7pm),397,11,46,22.366,0.499,56.84,2.55,3.000,17.000,20.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Kelton Avenue / 13432171 / 1,0.143,yes,174,yes,2019-01,0: All Days (M-Su),5: Late PM (7pm-12am),521,10,51,22.366,0.452,74.44,4.04,3.000,15.000,18.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Kelton Avenue / 13432171 / 1,0.143,yes,174,yes,2019-01,1: Monday (M-M),0: All Day (12am-12am),1972,11,46,22.366,0.499,281.93,12.64,3.000,16.000,20.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Kelton Avenue / 13432171 / 1,0.143,yes,174,yes,2019-01,1: Monday (M-M),1: Early AM (12am-6am),160,12,45,22.366,0.515,22.90,0.97,1.000,16.000,20.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Kelton Avenue / 13432171 / 1,0.143,yes,174,yes,2019-01,1: Monday (M-M),2: Peak AM (6am-10am),310,12,42,22.366,0.550,44.38,1.62,4.000,19.000,21.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Kelton Avenue / 13432171 / 1,0.143,yes,174,yes,2019-01,1: Monday (M-M),3: Mid-Day (10am-3pm),563,11,45,22.366,0.508,80.52,3.49,3.000,16.000,19.000
