Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),5th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Ophir Drive / 22744683,0.221,yes,276,yes,2022-01,0: All Days (M-Su),0: All Day (12am-12am),1607,13,61,14.628,0.895,354.95,2.85,5.000,17.000,20.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Ophir Drive / 22744683,0.221,yes,276,yes,2022-01,0: All Days (M-Su),1: Early AM (12am-6am),128,14,59,14.628,0.924,28.27,0.16,5.000,18.000,21.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Ophir Drive / 22744683,0.221,yes,276,yes,2022-01,0: All Days (M-Su),2: Peak AM (6am-10am),135,14,57,14.628,0.955,29.76,0.09,6.000,18.000,21.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Ophir Drive / 22744683,0.221,yes,276,yes,2022-01,0: All Days (M-Su),3: Mid-Day (10am-3pm),432,13,59,14.628,0.918,95.47,0.58,6.000,18.000,21.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Ophir Drive / 22744683,0.221,yes,276,yes,2022-01,0: All Days (M-Su),4: Peak PM (3pm-7pm),433,13,62,14.628,0.875,95.60,0.94,5.000,17.000,20.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Ophir Drive / 22744683,0.221,yes,276,yes,2022-01,0: All Days (M-Su),5: Late PM (7pm-12am),479,13,63,14.628,0.868,105.85,1.10,5.000,17.000,20.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Ophir Drive / 22744683,0.221,yes,276,yes,2022-01,1: Monday (M-M),0: All Day (12am-12am),1384,13,59,14.628,0.915,305.68,1.93,6.000,17.000,20.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Ophir Drive / 22744683,0.221,yes,276,yes,2022-01,1: Monday (M-M),1: Early AM (12am-6am),116,14,58,14.628,0.942,25.53,0.11,5.000,18.000,21.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Ophir Drive / 22744683,0.221,yes,276,yes,2022-01,1: Monday (M-M),2: Peak AM (6am-10am),139,15,54,14.628,1.000,30.68,0.00,7.000,18.000,21.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Ophir Drive / 22744683,0.221,yes,276,yes,2022-01,1: Monday (M-M),3: Mid-Day (10am-3pm),421,14,59,14.628,0.926,92.98,0.51,6.000,18.000,21.000
