Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),5th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 1,0.121,yes,208,yes,2022-01,0: All Days (M-Su),0: All Day (12am-12am),2083,17,26,20.753,0.818,252.78,2.70,7.000,23.000,27.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 1,0.121,yes,208,yes,2022-01,0: All Days (M-Su),1: Early AM (12am-6am),94,18,24,20.753,0.877,11.44,0.08,7.000,24.000,28.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 1,0.121,yes,208,yes,2022-01,0: All Days (M-Su),2: Peak AM (6am-10am),374,18,24,20.753,0.860,45.36,0.36,8.000,24.000,28.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 1,0.121,yes,208,yes,2022-01,0: All Days (M-Su),3: Mid-Day (10am-3pm),565,17,25,20.753,0.840,68.62,0.63,7.000,23.000,26.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 1,0.121,yes,208,yes,2022-01,0: All Days (M-Su),4: Peak PM (3pm-7pm),670,16,27,20.753,0.778,81.29,1.12,7.000,22.000,26.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 1,0.121,yes,208,yes,2022-01,0: All Days (M-Su),5: Late PM (7pm-12am),380,17,26,20.753,0.802,46.08,0.55,6.000,22.000,25.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 1,0.121,yes,208,yes,2022-01,1: Monday (M-M),0: All Day (12am-12am),2102,17,26,20.753,0.818,255.14,2.74,7.000,23.000,27.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 1,0.121,yes,208,yes,2022-01,1: Monday (M-M),1: Early AM (12am-6am),112,19,23,20.753,0.931,13.53,0.05,8.000,24.000,28.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 1,0.121,yes,208,yes,2022-01,1: Monday (M-M),2: Peak AM (6am-10am),433,17,25,20.753,0.829,52.52,0.52,8.000,23.000,27.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 1,0.121,yes,208,yes,2022-01,1: Monday (M-M),3: Mid-Day (10am-3pm),610,18,25,20.753,0.848,74.03,0.64,8.000,23.000,26.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 1,0.121,yes,208,yes,2022-01,1: Monday (M-M),4: Peak PM (3pm-7pm),640,16,27,20.753,0.768,77.61,1.13,7.000,22.000,26.000
