Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),5th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 1,0.121,yes,208,yes,2020-01,0: All Days (M-Su),0: All Day (12am-12am),3546,17,26,23.889,0.717,430.37,7.12,6.000,25.000,28.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 1,0.121,yes,208,yes,2020-01,0: All Days (M-Su),1: Early AM (12am-6am),136,18,24,23.889,0.772,16.55,0.20,5.000,27.000,30.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 1,0.121,yes,208,yes,2020-01,0: All Days (M-Su),2: Peak AM (6am-10am),660,19,23,23.889,0.791,80.06,0.89,7.000,27.000,30.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 1,0.121,yes,208,yes,2020-01,0: All Days (M-Su),3: Mid-Day (10am-3pm),885,18,25,23.889,0.733,107.46,1.64,6.000,25.000,28.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 1,0.121,yes,208,yes,2020-01,0: All Days (M-Su),4: Peak PM (3pm-7pm),1256,16,27,23.889,0.679,152.43,3.02,6.000,24.000,27.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 1,0.121,yes,208,yes,2020-01,0: All Days (M-Su),5: Late PM (7pm-12am),609,16,27,23.889,0.679,73.88,1.46,5.000,24.000,27.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 1,0.121,yes,208,yes,2020-01,1: Monday (M-M),0: All Day (12am-12am),3122,17,26,23.889,0.717,378.87,6.26,6.000,25.000,28.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 1,0.121,yes,208,yes,2020-01,1: Monday (M-M),1: Early AM (12am-6am),100,19,23,23.889,0.790,12.19,0.14,4.000,27.000,30.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 1,0.121,yes,208,yes,2020-01,1: Monday (M-M),2: Peak AM (6am-10am),722,18,24,23.889,0.754,87.63,1.20,6.000,26.000,29.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 1,0.121,yes,208,yes,2020-01,1: Monday (M-M),3: Mid-Day (10am-3pm),713,18,25,23.889,0.735,86.57,1.31,6.000,25.000,29.000
