Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),5th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Romaine Street / 509102257 / 1,0.069,yes,270,yes,2022-01,0: All Days (M-Su),0: All Day (12am-12am),1440,15,16,19.357,0.788,99.33,1.38,6.000,20.000,24.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Romaine Street / 509102257 / 1,0.069,yes,270,yes,2022-01,0: All Days (M-Su),1: Early AM (12am-6am),73,17,15,19.357,0.865,5.07,0.04,7.000,23.000,26.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Romaine Street / 509102257 / 1,0.069,yes,270,yes,2022-01,0: All Days (M-Su),2: Peak AM (6am-10am),192,15,16,19.357,0.785,13.25,0.19,5.000,21.000,24.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Romaine Street / 509102257 / 1,0.069,yes,270,yes,2022-01,0: All Days (M-Su),3: Mid-Day (10am-3pm),449,15,16,19.357,0.787,30.94,0.43,5.000,20.000,24.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Romaine Street / 509102257 / 1,0.069,yes,270,yes,2022-01,0: All Days (M-Su),4: Peak PM (3pm-7pm),445,15,17,19.357,0.774,30.67,0.46,5.000,20.000,24.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Romaine Street / 509102257 / 1,0.069,yes,270,yes,2022-01,0: All Days (M-Su),5: Late PM (7pm-12am),281,15,16,19.357,0.792,19.41,0.26,6.000,20.000,24.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Romaine Street / 509102257 / 1,0.069,yes,270,yes,2022-01,1: Monday (M-M),0: All Day (12am-12am),1421,15,17,19.357,0.773,98.02,1.48,5.000,20.000,24.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Romaine Street / 509102257 / 1,0.069,yes,270,yes,2022-01,1: Monday (M-M),1: Early AM (12am-6am),73,16,16,19.357,0.816,5.04,0.06,2.000,26.000,27.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Romaine Street / 509102257 / 1,0.069,yes,270,yes,2022-01,1: Monday (M-M),2: Peak AM (6am-10am),231,15,16,19.357,0.780,15.94,0.23,4.000,21.000,25.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Romaine Street / 509102257 / 1,0.069,yes,270,yes,2022-01,1: Monday (M-M),3: Mid-Day (10am-3pm),495,15,16,19.357,0.781,34.17,0.50,6.000,20.000,24.000
