Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),5th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,Romaine Street / 509102257 / 1,0.069,yes,270,yes,2020-01,0: All Days (M-Su),0: All Day (12am-12am),2644,14,18,21.709,0.649,182.38,4.55,4.000,22.000,25.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,Romaine Street / 509102257 / 1,0.069,yes,270,yes,2020-01,0: All Days (M-Su),1: Early AM (12am-6am),118,14,18,21.709,0.632,8.14,0.22,4.000,22.000,26.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,Romaine Street / 509102257 / 1,0.069,yes,270,yes,2020-01,0: All Days (M-Su),2: Peak AM (6am-10am),315,17,15,21.709,0.764,21.75,0.31,3.000,25.000,27.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,Romaine Street / 509102257 / 1,0.069,yes,270,yes,2020-01,0: All Days (M-Su),3: Mid-Day (10am-3pm),564,15,17,21.709,0.692,38.89,0.80,4.000,23.000,26.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,Romaine Street / 509102257 / 1,0.069,yes,270,yes,2020-01,0: All Days (M-Su),4: Peak PM (3pm-7pm),1116,13,19,21.709,0.612,76.96,2.25,5.000,20.000,24.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,Romaine Street / 509102257 / 1,0.069,yes,270,yes,2020-01,0: All Days (M-Su),5: Late PM (7pm-12am),531,13,19,21.709,0.614,36.65,1.06,4.000,20.000,24.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,Romaine Street / 509102257 / 1,0.069,yes,270,yes,2020-01,1: Monday (M-M),0: All Day (12am-12am),2511,14,17,21.709,0.665,173.16,4.01,4.000,22.000,26.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,Romaine Street / 509102257 / 1,0.069,yes,270,yes,2020-01,1: Monday (M-M),1: Early AM (12am-6am),129,12,21,21.709,0.552,8.87,0.33,2.000,19.000,26.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,Romaine Street / 509102257 / 1,0.069,yes,270,yes,2020-01,1: Monday (M-M),2: Peak AM (6am-10am),368,18,14,21.709,0.823,25.39,0.25,3.000,25.000,27.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,Romaine Street / 509102257 / 1,0.069,yes,270,yes,2020-01,1: Monday (M-M),3: Mid-Day (10am-3pm),494,15,16,21.709,0.700,34.05,0.67,5.000,22.000,26.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,Romaine Street / 509102257 / 1,0.069,yes,270,yes,2020-01,1: Monday (M-M),4: Peak PM (3pm-7pm),1059,13,19,21.709,0.616,73.06,2.10,5.000,21.000,25.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,Romaine Street / 509102257 / 1,0.069,yes,270,yes,2020-01,1: Monday (M-M),5: Late PM (7pm-12am),461,14,18,21.709,0.646,31.78,0.80,4.000,21.000,25.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,Romaine Street / 509102257 / 1,0.069,yes,270,yes,2020-01,2: Tuesday (Tu-Tu),0: All Day (12am-12am),3289,14,18,21.709,0.639,226.82,5.91,5.000,22.000,26.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,Romaine Street / 509102257 / 1,0.069,yes,270,yes,2020-01,2: Tuesday (Tu-Tu),1: Early AM (12am-6am),102,15,17,21.709,0.686,7.02,0.15,5.000,23.000,43.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,Romaine Street / 509102257 / 1,0.069,yes,270,yes,2020-01,2: Tuesday (Tu-Tu),2: Peak AM (6am-10am),380,17,15,21.709,0.788,26.21,0.32,4.000,25.000,28.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,Romaine Street / 509102257 / 1,0.069,yes,270,yes,2020-01,2: Tuesday (Tu-Tu),3: Mid-Day (10am-3pm),643,15,16,21.709,0.698,44.37,0.88,4.000,23.000,27.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,Romaine Street / 509102257 / 1,0.069,yes,270,yes,2020-01,2: Tuesday (Tu-Tu),4: Peak PM (3pm-7pm),1445,13,19,21.709,0.607,99.69,2.97,5.000,20.000,25.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,Romaine Street / 509102257 / 1,0.069,yes,270,yes,2020-01,2: Tuesday (Tu-Tu),5: Late PM (7pm-12am),718,12,20,21.709,0.562,49.53,1.78,4.000,19.000,22.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,Romaine Street / 509102257 / 1,0.069,yes,270,yes,2020-01,3: Wednesday (W-W),0: All Day (12am-12am),2760,14,18,21.709,0.653,190.37,4.66,4.000,22.000,26.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,Romaine Street / 509102257 / 1,0.069,yes,270,yes,2020-01,3: Wednesday (W-W),1: Early AM (12am-6am),136,15,17,21.709,0.679,9.41,0.20,5.000,22.000,31.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,Romaine Street / 509102257 / 1,0.069,yes,270,yes,2020-01,3: Wednesday (W-W),2: Peak AM (6am-10am),371,17,14,21.709,0.795,25.59,0.30,3.000,25.000,28.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,Romaine Street / 509102257 / 1,0.069,yes,270,yes,2020-01,3: Wednesday (W-W),3: Mid-Day (10am-3pm),424,16,16,21.709,0.727,29.22,0.51,4.000,23.000,27.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,Romaine Street / 509102257 / 1,0.069,yes,270,yes,2020-01,3: Wednesday (W-W),4: Peak PM (3pm-7pm),1283,13,19,21.709,0.610,88.50,2.61,5.000,21.000,25.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,Romaine Street / 509102257 / 1,0.069,yes,270,yes,2020-01,3: Wednesday (W-W),5: Late PM (7pm-12am),546,13,19,21.709,0.594,37.65,1.19,4.000,20.000,23.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,Romaine Street / 509102257 / 1,0.069,yes,270,yes,2020-01,4: Thursday (Th-Th),0: All Day (12am-12am),2861,14,18,21.709,0.638,197.31,5.16,5.000,21.000,25.000
