Intersection,Type,Pre_Mean,Post_Mean,Pre_Std,Post_Std,Pre_SE,Post_SE,Pre_85th,Post_85th,Pre_95th,Post_95th,Pre_Max_85th,Post_Max_85th,T_Statistic,P_Value,Pre_Volume,Post_Volume,Combined Volume
Vernon & 5th St,All Way Stop,19.81516248817953,18.3893408867193,1.221388235395208,0.8071636507975054,0.06069126936138221,0.0411368687659489,23.25091680697465,24.70590007834629,25.945683511313053,27.96020410213142,34.0,36.0,12.345769746071731,1.2928601743343425e-27,43357,49779,93136
Menlo & 43rd St,All Way Stop,17.071060698957695,18.570803923816385,0.9976461357490578,2.1690718052196147,0.06439778115273807,0.14001298297239376,22.087063151440834,24.846158885085895,25.553443695074595,28.59486104515009,33.0,37.0,-11.578019559355711,6.663355585860606e-25,48930,61063,109993
Romaine St & St Andrews,All Way Stop,15.524209951799048,15.32262396694215,1.8110420904040543,0.7480111119844866,0.06248688865536101,0.025808835319293556,22.108888458743603,20.807135478158205,25.62019934060843,24.54720705430933,57.0,30.0,1.9838734710649097,0.047595463285652624,315139,271040,586179
Hoover & 110th Pl,All Way Stop,27.55226056312618,23.218433586424222,2.075598369518781,0.5742848492931816,0.10127883001126176,0.028022231315922665,35.27937168492838,30.84239216457463,38.97422753569152,34.3795452038237,42.0,38.0,41.80233502912447,1.4194221984309722e-151,415715,416978,832693
Orhpis & Kelton St,All Way Stop,11.208842213835299,12.869985591623582,0.6990088533198242,0.7704336954241997,0.03410813954732435,0.03759331497832422,15.499706978597716,17.03402593507755,18.156278081217717,19.999361076520866,18.0,19.0,-51.67567912223141,7.046585750544423e-184,127977,153383,281360
Clinton & Seirra Bonita,All Way Stop,15.1572742535104,14.947747419222683,1.7230831505128636,1.51877897520799,0.04397967804007907,0.0371207591782232,18.850381633302295,18.165536662119635,22.378767859672262,21.469690216681748,28.0,28.0,9.157614371891889,1.8291207835854487e-19,430649,444246,874895
77th & Standford,All Way Stop,15.606855842400968,15.843687150837988,1.3279980406943588,1.313246577195792,0.08572190492342219,0.08476970204905325,18.522935779816514,20.85139664804469,22.767015148282482,24.447709497206702,30.0,35.0,-3.0852038415581977,0.002274655400071359,14061,17900,31961
Reno & 2nd St,All Way Stop,24.342651999137633,26.711390227804557,1.5709776690957968,1.596665604353757,0.05420387919694695,0.05509019716755367,25.20909143008408,21.49870597411948,28.37596777582805,24.51262825256505,39.0,29.0,-43.54170989886186,1.7448892159095268e-217,366433,499990,866423
Yosemite Dr to Vincent St,All Way Stop,28.81942469845123,18.33072959651891,2.3462860558242076,3.155686672606881,0.04047727998723745,0.054440767221042005,35.37144671307267,24.558111281933122,38.532352302941504,27.87838161386802,45.0,42.0,214.4786518575031,0.0,5797238,3550154,9347392
Euclid & Oregon St,All Way Stop,18.194134709405994,15.031148702316296,1.2794576439975063,1.7263931047068435,0.06265531039221243,0.0843398222272008,24.539525112504347,19.229633127965137,27.338846936567542,21.98291528791926,30.0,27.0,40.69874757381857,5.776557965530489e-147,365803,326284,692087
,,,,,,,,,,,,,,,,,,13716119
