Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),5th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Feb 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,Vernon Avenue / 13463776 / 3,0.139,yes,58,yes,2021-02,0: All Days (M-Su),0: All Day (12am-12am),537,18,28,19.749,0.920,74.80,0.33,6.000,25.000,28.000
"Feb 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,Vernon Avenue / 13463776 / 3,0.139,yes,58,yes,2021-02,0: All Days (M-Su),1: Early AM (12am-6am),20,17,29,19.749,0.882,2.82,0.02,6.000,25.000,29.000
"Feb 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,Vernon Avenue / 13463776 / 3,0.139,yes,58,yes,2021-02,0: All Days (M-Su),2: Peak AM (6am-10am),69,19,26,19.749,0.964,9.62,0.02,9.000,25.000,28.000
"Feb 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,Vernon Avenue / 13463776 / 3,0.139,yes,58,yes,2021-02,0: All Days (M-Su),3: Mid-Day (10am-3pm),193,18,27,19.749,0.936,26.93,0.09,6.000,25.000,28.000
"Feb 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,Vernon Avenue / 13463776 / 3,0.139,yes,58,yes,2021-02,0: All Days (M-Su),4: Peak PM (3pm-7pm),152,18,28,19.749,0.920,21.13,0.09,8.000,25.000,28.000
"Feb 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,Vernon Avenue / 13463776 / 3,0.139,yes,58,yes,2021-02,0: All Days (M-Su),5: Late PM (7pm-12am),103,17,29,19.749,0.866,14.31,0.11,4.000,24.000,27.000
"Feb 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,Vernon Avenue / 13463776 / 3,0.139,yes,58,yes,2021-02,1: Monday (M-M),0: All Day (12am-12am),491,18,27,19.749,0.931,68.30,0.26,6.000,25.000,29.000
"Feb 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,Vernon Avenue / 13463776 / 3,0.139,yes,58,yes,2021-02,1: Monday (M-M),1: Early AM (12am-6am),25,19,27,19.749,0.949,3.54,0.01,N/A,N/A,N/A
"Feb 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,Vernon Avenue / 13463776 / 3,0.139,yes,58,yes,2021-02,1: Monday (M-M),2: Peak AM (6am-10am),77,19,26,19.749,0.973,10.78,0.02,11.000,25.000,28.000
"Feb 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,Vernon Avenue / 13463776 / 3,0.139,yes,58,yes,2021-02,1: Monday (M-M),3: Mid-Day (10am-3pm),172,18,27,19.749,0.936,23.98,0.08,5.000,26.000,30.000
"Feb 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,Vernon Avenue / 13463776 / 3,0.139,yes,58,yes,2021-02,1: Monday (M-M),4: Peak PM (3pm-7pm),134,18,27,19.749,0.926,18.63,0.08,8.000,25.000,29.000
"Feb 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,Vernon Avenue / 13463776 / 3,0.139,yes,58,yes,2021-02,1: Monday (M-M),5: Late PM (7pm-12am),82,17,29,19.749,0.880,11.37,0.08,2.000,23.000,25.000
"Feb 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,Vernon Avenue / 13463776 / 3,0.139,yes,58,yes,2021-02,2: Tuesday (Tu-Tu),0: All Day (12am-12am),456,18,28,19.749,0.916,63.44,0.29,5.000,25.000,27.000
"Feb 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,Vernon Avenue / 13463776 / 3,0.139,yes,58,yes,2021-02,2: Tuesday (Tu-Tu),1: Early AM (12am-6am),6,N/A,N/A,N/A,N/A,0.84,N/A,N/A,N/A,N/A
"Feb 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,Vernon Avenue / 13463776 / 3,0.139,yes,58,yes,2021-02,2: Tuesday (Tu-Tu),2: Peak AM (6am-10am),68,18,28,19.749,0.897,9.50,0.06,7.000,23.000,26.000
