Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),5th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Vernon Avenue / 13463776 / 3,0.139,yes,58,yes,2019-01,0: All Days (M-Su),0: All Day (12am-12am),717,20,25,36.156,0.555,99.77,2.22,10.000,26.000,29.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Vernon Avenue / 13463776 / 3,0.139,yes,58,yes,2019-01,0: All Days (M-Su),1: Early AM (12am-6am),22,19,26,36.156,0.524,3.04,0.08,4.000,23.000,25.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Vernon Avenue / 13463776 / 3,0.139,yes,58,yes,2019-01,0: All Days (M-Su),2: Peak AM (6am-10am),88,21,24,36.156,0.577,12.30,0.25,11.000,27.000,30.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Vernon Avenue / 13463776 / 3,0.139,yes,58,yes,2019-01,0: All Days (M-Su),3: Mid-Day (10am-3pm),201,20,25,36.156,0.562,27.95,0.60,9.000,26.000,29.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Vernon Avenue / 13463776 / 3,0.139,yes,58,yes,2019-01,0: All Days (M-Su),4: Peak PM (3pm-7pm),249,20,25,36.156,0.564,34.63,0.74,10.000,26.000,30.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Vernon Avenue / 13463776 / 3,0.139,yes,58,yes,2019-01,0: All Days (M-Su),5: Late PM (7pm-12am),157,19,27,36.156,0.523,21.85,0.55,10.000,25.000,28.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Vernon Avenue / 13463776 / 3,0.139,yes,58,yes,2019-01,1: Monday (M-M),0: All Day (12am-12am),640,20,25,36.156,0.559,89.14,1.94,8.000,25.000,29.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Vernon Avenue / 13463776 / 3,0.139,yes,58,yes,2019-01,1: Monday (M-M),1: Early AM (12am-6am),15,N/A,N/A,N/A,N/A,2.15,N/A,N/A,N/A,N/A
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Vernon Avenue / 13463776 / 3,0.139,yes,58,yes,2019-01,1: Monday (M-M),2: Peak AM (6am-10am),89,22,23,36.156,0.597,12.42,0.23,N/A,N/A,N/A
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Vernon Avenue / 13463776 / 3,0.139,yes,58,yes,2019-01,1: Monday (M-M),3: Mid-Day (10am-3pm),196,21,24,36.156,0.572,27.25,0.56,8.000,24.000,30.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Vernon Avenue / 13463776 / 3,0.139,yes,58,yes,2019-01,1: Monday (M-M),4: Peak PM (3pm-7pm),193,20,25,36.156,0.551,26.92,0.61,12.000,25.000,28.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Vernon Avenue / 13463776 / 3,0.139,yes,58,yes,2019-01,1: Monday (M-M),5: Late PM (7pm-12am),147,19,26,36.156,0.528,20.41,0.50,4.000,19.000,23.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Vernon Avenue / 13463776 / 3,0.139,yes,58,yes,2019-01,2: Tuesday (Tu-Tu),0: All Day (12am-12am),704,20,25,36.156,0.546,98.06,2.25,9.000,25.000,28.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Vernon Avenue / 13463776 / 3,0.139,yes,58,yes,2019-01,2: Tuesday (Tu-Tu),1: Early AM (12am-6am),34,23,22,36.156,0.625,4.73,0.08,N/A,N/A,N/A
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Vernon Avenue / 13463776 / 3,0.139,yes,58,yes,2019-01,2: Tuesday (Tu-Tu),2: Peak AM (6am-10am),114,19,26,36.156,0.530,15.84,0.39,10.000,25.000,27.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Vernon Avenue / 13463776 / 3,0.139,yes,58,yes,2019-01,2: Tuesday (Tu-Tu),3: Mid-Day (10am-3pm),226,20,26,36.156,0.542,31.41,0.74,9.000,25.000,28.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Vernon Avenue / 13463776 / 3,0.139,yes,58,yes,2019-01,2: Tuesday (Tu-Tu),4: Peak PM (3pm-7pm),206,20,25,36.156,0.565,28.73,0.61,10.000,25.000,28.000
