Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),5th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Yosemite Drive / 1020855126 / 1,0.026,yes,283,yes,2022-01,0: All Days (M-Su),0: All Day (12am-12am),4809,25,4,32.404,0.771,127.30,1.16,11.000,33.000,37.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Yosemite Drive / 1020855126 / 1,0.026,yes,283,yes,2022-01,0: All Days (M-Su),1: Early AM (12am-6am),127,29,3,32.404,0.886,3.35,0.01,15.000,36.000,41.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Yosemite Drive / 1020855126 / 1,0.026,yes,283,yes,2022-01,0: All Days (M-Su),2: Peak AM (6am-10am),762,23,4,32.404,0.696,20.18,0.27,6.000,32.000,36.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Yosemite Drive / 1020855126 / 1,0.026,yes,283,yes,2022-01,0: All Days (M-Su),3: Mid-Day (10am-3pm),1606,25,4,32.404,0.782,42.52,0.36,12.000,32.000,36.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Yosemite Drive / 1020855126 / 1,0.026,yes,283,yes,2022-01,0: All Days (M-Su),4: Peak PM (3pm-7pm),1530,24,4,32.404,0.750,40.51,0.42,10.000,32.000,36.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Yosemite Drive / 1020855126 / 1,0.026,yes,283,yes,2022-01,0: All Days (M-Su),5: Late PM (7pm-12am),783,27,3,32.404,0.844,20.73,0.12,16.000,34.000,38.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Yosemite Drive / 1020855126 / 1,0.026,yes,283,yes,2022-01,1: Monday (M-M),0: All Day (12am-12am),4238,26,4,32.404,0.788,112.18,0.93,11.000,33.000,37.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Yosemite Drive / 1020855126 / 1,0.026,yes,283,yes,2022-01,1: Monday (M-M),1: Early AM (12am-6am),114,28,3,32.404,0.869,3.03,0.01,12.000,35.000,38.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Yosemite Drive / 1020855126 / 1,0.026,yes,283,yes,2022-01,1: Monday (M-M),2: Peak AM (6am-10am),786,24,4,32.404,0.740,20.82,0.23,6.000,33.000,37.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Yosemite Drive / 1020855126 / 1,0.026,yes,283,yes,2022-01,1: Monday (M-M),3: Mid-Day (10am-3pm),1537,26,4,32.404,0.807,40.70,0.30,14.000,33.000,37.000
