Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),5th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Yosemite Drive / 1020855126 / 1,0.026,yes,283,yes,2019-01,0: All Days (M-Su),0: All Day (12am-12am),7879,29,3,36.430,0.787,208.58,1.55,12.000,36.000,40.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Yosemite Drive / 1020855126 / 1,0.026,yes,283,yes,2019-01,0: All Days (M-Su),1: Early AM (12am-6am),397,34,3,36.430,0.937,10.50,0.02,22.000,40.000,44.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Yosemite Drive / 1020855126 / 1,0.026,yes,283,yes,2019-01,0: All Days (M-Su),2: Peak AM (6am-10am),1454,26,4,36.430,0.702,38.49,0.45,6.000,36.000,40.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Yosemite Drive / 1020855126 / 1,0.026,yes,283,yes,2019-01,0: All Days (M-Su),3: Mid-Day (10am-3pm),2267,29,3,36.430,0.789,60.01,0.44,13.000,36.000,39.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Yosemite Drive / 1020855126 / 1,0.026,yes,283,yes,2019-01,0: All Days (M-Su),4: Peak PM (3pm-7pm),2313,28,3,36.430,0.757,61.24,0.54,11.000,35.000,38.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Yosemite Drive / 1020855126 / 1,0.026,yes,283,yes,2019-01,0: All Days (M-Su),5: Late PM (7pm-12am),1448,32,3,36.430,0.872,38.34,0.15,19.000,37.000,41.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Yosemite Drive / 1020855126 / 1,0.026,yes,283,yes,2019-01,1: Monday (M-M),0: All Day (12am-12am),8441,28,3,36.430,0.759,223.45,1.94,9.000,36.000,40.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Yosemite Drive / 1020855126 / 1,0.026,yes,283,yes,2019-01,1: Monday (M-M),1: Early AM (12am-6am),405,35,3,36.430,0.952,10.72,0.01,23.000,41.000,45.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Yosemite Drive / 1020855126 / 1,0.026,yes,283,yes,2019-01,1: Monday (M-M),2: Peak AM (6am-10am),1880,23,4,36.430,0.641,49.76,0.76,4.000,34.000,38.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Yosemite Drive / 1020855126 / 1,0.026,yes,283,yes,2019-01,1: Monday (M-M),3: Mid-Day (10am-3pm),2209,29,3,36.430,0.788,58.48,0.43,13.000,36.000,39.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Yosemite Drive / 1020855126 / 1,0.026,yes,283,yes,2019-01,1: Monday (M-M),4: Peak PM (3pm-7pm),2582,27,4,36.430,0.729,68.36,0.70,9.000,34.000,38.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Yosemite Drive / 1020855126 / 1,0.026,yes,283,yes,2019-01,1: Monday (M-M),5: Late PM (7pm-12am),1365,32,3,36.430,0.878,36.13,0.14,20.000,37.000,40.000
