Intersection,Pre_Mean,Post_Mean,Pre_Max_85th,Post_Max_85th,T_Statistic,P_Value,Pre_Volume,Post_Volume,Combined_Volume
Vernon & 5th St,19.81516248817953,18.3893408867193,34.0,36.0,12.345769746071731,1.2928601743343425e-27,43357,49779,93136
Menlo & 43rd St,17.071060698957695,18.570803923816385,33.0,37.0,-11.578019559355711,6.663355585860606e-25,48930,61063,109993
Romaine St & St Andrews,15.524209951799048,15.32262396694215,57.0,30.0,1.9838734710649097,0.047595463285652624,315139,271040,586179
Hoover & 110th Pl,27.55226056312618,23.218433586424222,42.0,38.0,41.80233502912447,1.4194221984309722e-151,415715,416978,832693
Orhpis & Kelton St,11.208842213835299,12.869985591623582,18.0,19.0,-51.67567912223141,7.046585750544423e-184,127977,153383,281360
Clinton & Seirra Bonita,15.1572742535104,14.947747419222683,28.0,28.0,9.157614371891889,1.8291207835854487e-19,430649,444246,874895
77th & Standford,15.606855842400968,15.843687150837988,30.0,35.0,-3.0852038415581977,0.002274655400071359,14061,17900,31961
Reno & 2nd St,24.342651999137633,26.711390227804557,39.0,29.0,-43.54170989886186,1.7448892159095268e-217,366433,499990,866423
Yosemite Dr to Vincent St,28.81942469845123,18.33072959651891,45.0,42.0,214.4786518575031,0.0,5797238,3550154,9347392
Euclid & Oregon St,18.194134709405994,15.031148702316296,30.0,27.0,40.69874757381857,5.776557965530489e-147,365803,326284,692087
