Data Periods,Mode of Travel,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Spot Traffic (StL Volume),Avg Spot Speed (mph),Free Flow Speed (mph),Free Flow Factor,5th Speed Percentile,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Buchanan Street,yes,102,yes,0: All Days (M-Su),0: All Day (12am-12am),338,14,26.818,0.532,5.000,10.000,18.000,21.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Buchanan Street,yes,102,yes,0: All Days (M-Su),1: Early AM (12am-6am),11,15,26.818,0.556,5.000,11.000,19.000,21.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Buchanan Street,yes,102,yes,0: All Days (M-Su),2: Peak AM (6am-10am),44,15,26.818,0.559,5.000,11.000,19.000,21.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Buchanan Street,yes,102,yes,0: All Days (M-Su),3: Mid-Day (10am-3pm),93,15,26.818,0.544,5.000,11.000,18.000,21.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Buchanan Street,yes,102,yes,0: All Days (M-Su),4: Peak PM (3pm-7pm),108,14,26.818,0.530,6.000,10.000,18.000,20.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Buchanan Street,yes,102,yes,0: All Days (M-Su),5: Late PM (7pm-12am),83,14,26.818,0.505,5.000,9.000,17.000,20.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Buchanan Street,yes,102,yes,1: Weekday (M-Th),0: All Day (12am-12am),306,15,26.818,0.542,5.000,11.000,18.000,21.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Buchanan Street,yes,102,yes,1: Weekday (M-Th),1: Early AM (12am-6am),9,15,26.818,0.572,8.000,13.000,19.000,21.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Buchanan Street,yes,102,yes,1: Weekday (M-Th),2: Peak AM (6am-10am),50,15,26.818,0.561,5.000,11.000,19.000,21.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Buchanan Street,yes,102,yes,1: Weekday (M-Th),3: Mid-Day (10am-3pm),82,15,26.818,0.548,5.000,11.000,19.000,21.000
