CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
6350156,2016,2017-02-11,1942,2016-02-14,1455,35903,2175,7,5,7,1942,0,0,0,,0,21X28,"CALIFA ST","TOPANGA CANYON BL",0.00,,Y,A,-,Y,LA,7,27,-,-,12.881,I,6,N,N,4,0,1,2,A,-,21,22106,,N,D,G,A,A,H,-,A,D,0,,Y,,,Y,,A,07,0,0,1,0,0,0,1,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.60490421999999,34.177253649999997
6787200,2015,2016-09-08,1942,2015-01-01,1125,41089,1454,4,5,7,1942,0,0,0,N,0,14T47,"RT 90","MINDANAO WY",0.00,,Y,A,-,Y,LA,7,90,-,-,1.201,I,5,W,Y,3,0,2,2,D,-,00,,,N,D,C,A,A,H,-,A,A,0,,,,,Y,,-,"- ",0,1,1,0,0,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.43780586,33.983817219999999
6787202,2015,2016-09-23,1942,2015-01-06,1745,38380,0852,2,5,7,1942,0,0,0,H,0,8TL26,"SANTA MONICA BL","ARMACOST AV",10.00,W,N,A,-,Y,LA,7,2,-,-,2.801,I,5,E,Y,4,0,1,2,A,-,09,21801,A,N,D,C,A,A,H,-,C,A,0,,,,,Y,,A,08,0,0,1,0,0,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.46020042000001,34.041934509999997
6787975,2015,2016-09-23,1942,2015-01-08,1635,31255,0852,4,5,7,1942,0,0,0,H,0,7TL38,"SANTA MONICA BL","ARMACOST AV",0.00,,Y,A,-,Y,LA,7,2,-,-,2.801,I,5,W,N,3,0,1,2,A,-,08,22100,A,N,C,C,A,A,H,-,A,D,0,,,Y,,Y,,A,07,0,1,0,0,0,0,0,0,1,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.46020041,34.041934509999997
6788094,2015,2016-10-18,1942,2015-01-04,1430,24517,0822,7,5,7,1942,0,0,0,H,0,7T38,"PACIFIC COAST HWY","BEL AIR RD",0.00,,Y,A,-,Y,LA,7,1,-,-,38.471,I,5,S,Y,4,0,1,2,A,-,09,21801,A,N,A,C,A,A,H,-,A,A,0,,,Y,,Y,,A,01,0,0,1,0,0,0,0,0,1,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.54155939,34.038600870000003
6788106,2015,2016-09-23,1942,2015-01-15,1850,41250,0851,4,5,7,1942,0,0,0,H,0,8A53,"SANTA MONICA BL","CENTINELA AV",0.00,,Y,A,-,Y,LA,7,2,-,-,2.321,I,5,W,N,4,0,1,3,A,-,09,21801,A,N,D,C,A,A,H,-,C,A,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.46773422,34.038633840000003
6789111,2015,2016-09-20,1942,2015-01-11,1925,39477,2145,7,5,7,1942,0,0,0,,0,35Q41,"TOPANGA CANYON BL","BASSETT ST",0.00,,Y,A,-,Y,LA,7,27,-,-,14.161,I,5,S,N,3,0,1,3,A,-,11,21956,A,N,G,B,D,A,H,-,C,A,0,Y,,,,Y,,N,60,0,1,0,0,1,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.60601174999999,34.19538077
6794169,2015,2016-10-31,1942,2015-01-11,1905,40181,0531,7,5,7,1942,0,0,0,E,0,5A12,"PACIFIC COAST HWY","PRESIDENT AV",15.00,W,N,A,-,Y,LA,7,1,-,-,12.912,I,5,S,Y,3,0,1,2,A,-,09,21801,A,N,D,C,A,A,H,-,C,A,0,,,,,Y,,D,22,0,1,0,0,0,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.30428001,33.789417520000001
6794554,2015,2016-10-31,1942,2015-01-02,2125,40530,0515,5,5,7,1942,0,0,0,E,0,5A15,"PACIFIC COAST HWY","ISLAND AV",0.00,,Y,A,-,Y,LA,7,1,-,-,10.744,I,5,N,Y,4,0,3,2,A,-,09,21801,A,N,A,C,A,A,H,-,C,A,0,,,,,Y,,A,01,0,0,3,0,0,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.26701267999999,33.791022699999999
6799329,2015,2016-09-08,1942,2015-01-22,2000,37575,1454,4,5,7,1942,0,0,0,N,0,14T47,"MINDANAO WY","RT 90",300.00,S,N,A,-,Y,LA,7,90,-,-,1.202,I,6,E,Y,4,0,1,4,A,-,03,22350,,N,C,C,A,A,H,-,C,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.43805825,33.98297118
