Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),5th Speed Percentile,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2024-01,0: All Days (M-Su),0: All Day (12am-12am),668,18,4,22.184,0.822,14.64,0.14,9.000,12.000,24.000,27.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2024-01,0: All Days (M-Su),1: Early AM (12am-6am),23,18,4,22.184,0.821,0.50,0.00,11.000,13.000,23.000,27.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2024-01,0: All Days (M-Su),2: Peak AM (6am-10am),119,19,4,22.184,0.839,2.61,0.02,9.000,12.000,24.000,27.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2024-01,0: All Days (M-Su),3: Mid-Day (10am-3pm),224,18,4,22.184,0.830,4.92,0.05,9.000,12.000,24.000,27.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2024-01,0: All Days (M-Su),4: Peak PM (3pm-7pm),207,18,4,22.184,0.814,4.53,0.05,8.000,12.000,23.000,27.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2024-01,0: All Days (M-Su),5: Late PM (7pm-12am),95,18,4,22.184,0.802,2.08,0.02,8.000,12.000,23.000,27.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2024-01,1: Monday (M-M),0: All Day (12am-12am),608,18,4,22.184,0.809,13.32,0.14,8.000,12.000,23.000,26.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2024-01,1: Monday (M-M),1: Early AM (12am-6am),25,18,4,22.184,0.820,0.55,0.01,11.000,12.000,24.000,29.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2024-01,1: Monday (M-M),2: Peak AM (6am-10am),120,19,4,22.184,0.834,2.63,0.02,9.000,12.000,24.000,27.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2024-01,1: Monday (M-M),3: Mid-Day (10am-3pm),212,18,4,22.184,0.811,4.65,0.05,9.000,12.000,23.000,25.000
