Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),5th Speed Percentile,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-01,0: All Days (M-Su),0: All Day (12am-12am),585,21,4,26.794,0.793,12.82,0.12,9.000,13.000,28.000,32.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-01,0: All Days (M-Su),1: Early AM (12am-6am),15,22,4,26.794,0.822,0.34,0.00,13.000,14.000,30.000,55.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-01,0: All Days (M-Su),2: Peak AM (6am-10am),68,22,4,26.794,0.813,1.50,0.01,9.000,14.000,30.000,33.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-01,0: All Days (M-Su),3: Mid-Day (10am-3pm),235,21,4,26.794,0.785,5.15,0.05,8.000,13.000,28.000,32.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-01,0: All Days (M-Su),4: Peak PM (3pm-7pm),188,22,4,26.794,0.803,4.13,0.04,10.000,13.000,29.000,33.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-01,0: All Days (M-Su),5: Late PM (7pm-12am),78,21,4,26.794,0.773,1.70,0.02,9.000,13.000,27.000,31.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-01,1: Monday (M-M),0: All Day (12am-12am),637,22,4,26.794,0.806,13.95,0.13,9.000,13.000,29.000,33.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-01,1: Monday (M-M),1: Early AM (12am-6am),13,21,4,26.794,0.791,0.28,0.00,N/A,N/A,N/A,N/A
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-01,1: Monday (M-M),2: Peak AM (6am-10am),77,22,4,26.794,0.810,1.69,0.01,11.000,14.000,29.000,32.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-01,1: Monday (M-M),3: Mid-Day (10am-3pm),281,22,4,26.794,0.816,6.17,0.05,9.000,13.000,29.000,33.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-01,1: Monday (M-M),4: Peak PM (3pm-7pm),173,21,4,26.794,0.784,3.78,0.04,10.000,13.000,29.000,33.000
