Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),5th Speed Percentile,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,18th,0.027,yes,46,yes,2021-01,0: All Days (M-Su),0: All Day (12am-12am),378,19,5,34.500,0.554,10.21,0.24,5.000,11.000,26.000,31.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,18th,0.027,yes,46,yes,2021-01,0: All Days (M-Su),1: Early AM (12am-6am),12,20,5,34.500,0.590,0.32,0.01,10.000,13.000,26.000,31.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,18th,0.027,yes,46,yes,2021-01,0: All Days (M-Su),2: Peak AM (6am-10am),42,19,5,34.500,0.564,1.13,0.03,7.000,12.000,26.000,30.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,18th,0.027,yes,46,yes,2021-01,0: All Days (M-Su),3: Mid-Day (10am-3pm),157,18,5,34.500,0.533,4.25,0.11,4.000,10.000,25.000,30.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,18th,0.027,yes,46,yes,2021-01,0: All Days (M-Su),4: Peak PM (3pm-7pm),109,20,5,34.500,0.577,2.95,0.06,6.000,12.000,27.000,32.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,18th,0.027,yes,46,yes,2021-01,0: All Days (M-Su),5: Late PM (7pm-12am),58,19,5,34.500,0.554,1.56,0.04,4.000,10.000,26.000,30.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,18th,0.027,yes,46,yes,2021-01,1: Monday (M-M),0: All Day (12am-12am),490,19,5,34.500,0.537,13.24,0.33,6.000,12.000,25.000,30.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,18th,0.027,yes,46,yes,2021-01,1: Monday (M-M),1: Early AM (12am-6am),12,20,5,34.500,0.575,0.31,0.01,N/A,N/A,N/A,N/A
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,18th,0.027,yes,46,yes,2021-01,1: Monday (M-M),2: Peak AM (6am-10am),41,19,5,34.500,0.556,1.12,0.03,13.000,15.000,26.000,30.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,18th,0.027,yes,46,yes,2021-01,1: Monday (M-M),3: Mid-Day (10am-3pm),241,18,6,34.500,0.512,6.51,0.18,4.000,10.000,24.000,28.000
