Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),5th Speed Percentile,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"May 01, 2019 - Jul 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,St Louis,0.034,yes,208,yes,2019-05,0: All Days (M-Su),0: All Day (12am-12am),2043,15,8,21.962,0.685,69.25,1.45,4.000,8.000,19.000,25.000
"May 01, 2019 - Jul 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,St Louis,0.034,yes,208,yes,2019-05,0: All Days (M-Su),1: Early AM (12am-6am),115,17,7,21.962,0.760,3.90,0.06,7.000,9.000,21.000,34.000
"May 01, 2019 - Jul 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,St Louis,0.034,yes,208,yes,2019-05,0: All Days (M-Su),2: Peak AM (6am-10am),418,16,8,21.962,0.718,14.15,0.25,4.000,9.000,20.000,31.000
"May 01, 2019 - Jul 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,St Louis,0.034,yes,208,yes,2019-05,0: All Days (M-Su),3: Mid-Day (10am-3pm),554,15,8,21.962,0.684,18.76,0.39,4.000,8.000,19.000,23.000
"May 01, 2019 - Jul 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,St Louis,0.034,yes,208,yes,2019-05,0: All Days (M-Su),4: Peak PM (3pm-7pm),583,14,9,21.962,0.642,19.77,0.50,4.000,7.000,18.000,22.000
"May 01, 2019 - Jul 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,St Louis,0.034,yes,208,yes,2019-05,0: All Days (M-Su),5: Late PM (7pm-12am),374,15,8,21.962,0.695,12.67,0.25,4.000,8.000,19.000,25.000
"May 01, 2019 - Jul 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,St Louis,0.034,yes,208,yes,2019-05,1: Monday (M-M),0: All Day (12am-12am),1866,15,8,21.962,0.665,63.25,1.45,4.000,8.000,19.000,22.000
"May 01, 2019 - Jul 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,St Louis,0.034,yes,208,yes,2019-05,1: Monday (M-M),1: Early AM (12am-6am),109,17,7,21.962,0.766,3.68,0.05,7.000,10.000,22.000,23.000
"May 01, 2019 - Jul 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,St Louis,0.034,yes,208,yes,2019-05,1: Monday (M-M),2: Peak AM (6am-10am),453,16,8,21.962,0.715,15.36,0.28,4.000,9.000,19.000,31.000
"May 01, 2019 - Jul 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,St Louis,0.034,yes,208,yes,2019-05,1: Monday (M-M),3: Mid-Day (10am-3pm),518,14,8,21.962,0.659,17.57,0.41,4.000,8.000,18.000,20.000
"May 01, 2019 - Jul 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,St Louis,0.034,yes,208,yes,2019-05,1: Monday (M-M),4: Peak PM (3pm-7pm),548,13,9,21.962,0.595,18.57,0.58,4.000,6.000,18.000,19.000
"May 01, 2019 - Jul 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,St Louis,0.034,yes,208,yes,2019-05,1: Monday (M-M),5: Late PM (7pm-12am),238,15,8,21.962,0.696,8.07,0.16,3.000,9.000,19.000,22.000
"May 01, 2019 - Jul 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,St Louis,0.034,yes,208,yes,2019-05,2: Tuesday (Tu-Tu),0: All Day (12am-12am),2139,15,8,21.962,0.692,72.51,1.47,5.000,8.000,19.000,30.000
"May 01, 2019 - Jul 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,St Louis,0.034,yes,208,yes,2019-05,2: Tuesday (Tu-Tu),1: Early AM (12am-6am),97,16,7,21.962,0.745,3.28,0.05,9.000,11.000,23.000,30.000
"May 01, 2019 - Jul 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,St Louis,0.034,yes,208,yes,2019-05,2: Tuesday (Tu-Tu),2: Peak AM (6am-10am),527,16,8,21.962,0.710,17.85,0.33,5.000,9.000,20.000,30.000
"May 01, 2019 - Jul 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,St Louis,0.034,yes,208,yes,2019-05,2: Tuesday (Tu-Tu),3: Mid-Day (10am-3pm),620,16,8,21.962,0.728,21.02,0.36,5.000,9.000,19.000,37.000
"May 01, 2019 - Jul 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,St Louis,0.034,yes,208,yes,2019-05,2: Tuesday (Tu-Tu),4: Peak PM (3pm-7pm),567,13,9,21.962,0.612,19.22,0.55,4.000,7.000,18.000,21.000
"May 01, 2019 - Jul 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,St Louis,0.034,yes,208,yes,2019-05,2: Tuesday (Tu-Tu),5: Late PM (7pm-12am),329,16,8,21.962,0.720,11.14,0.20,5.000,9.000,20.000,37.000
"May 01, 2019 - Jul 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,St Louis,0.034,yes,208,yes,2019-05,3: Wednesday (W-W),0: All Day (12am-12am),2478,15,8,21.962,0.683,83.98,1.78,4.000,8.000,19.000,28.000
"May 01, 2019 - Jul 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,St Louis,0.034,yes,208,yes,2019-05,3: Wednesday (W-W),1: Early AM (12am-6am),89,17,7,21.962,0.797,3.03,0.04,6.000,9.000,36.000,42.000
"May 01, 2019 - Jul 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,St Louis,0.034,yes,208,yes,2019-05,3: Wednesday (W-W),2: Peak AM (6am-10am),534,16,8,21.962,0.730,18.08,0.31,4.000,8.000,20.000,30.000
"May 01, 2019 - Jul 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,St Louis,0.034,yes,208,yes,2019-05,3: Wednesday (W-W),3: Mid-Day (10am-3pm),613,15,8,21.962,0.687,20.79,0.43,5.000,8.000,19.000,24.000
"May 01, 2019 - Jul 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,St Louis,0.034,yes,208,yes,2019-05,3: Wednesday (W-W),4: Peak PM (3pm-7pm),740,14,9,21.962,0.631,25.08,0.67,3.000,7.000,18.000,21.000
"May 01, 2019 - Jul 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,St Louis,0.034,yes,208,yes,2019-05,3: Wednesday (W-W),5: Late PM (7pm-12am),502,15,8,21.962,0.683,17.01,0.36,5.000,8.000,20.000,25.000
"May 01, 2019 - Jul 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,St Louis,0.034,yes,208,yes,2019-05,4: Thursday (Th-Th),0: All Day (12am-12am),2445,15,8,21.962,0.674,82.87,1.83,4.000,8.000,19.000,23.000
"May 01, 2019 - Jul 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,St Louis,0.034,yes,208,yes,2019-05,4: Thursday (Th-Th),1: Early AM (12am-6am),129,16,8,21.962,0.735,4.36,0.07,4.000,8.000,20.000,24.000
"May 01, 2019 - Jul 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,St Louis,0.034,yes,208,yes,2019-05,4: Thursday (Th-Th),2: Peak AM (6am-10am),567,16,8,21.962,0.706,19.23,0.36,4.000,8.000,20.000,33.000
"May 01, 2019 - Jul 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,St Louis,0.034,yes,208,yes,2019-05,4: Thursday (Th-Th),3: Mid-Day (10am-3pm),533,15,8,21.962,0.688,18.08,0.37,4.000,8.000,18.000,22.000
"May 01, 2019 - Jul 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,St Louis,0.034,yes,208,yes,2019-05,4: Thursday (Th-Th),4: Peak PM (3pm-7pm),700,14,9,21.962,0.617,23.72,0.67,4.000,6.000,18.000,20.000
"May 01, 2019 - Jul 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,St Louis,0.034,yes,208,yes,2019-05,4: Thursday (Th-Th),5: Late PM (7pm-12am),516,15,8,21.962,0.685,17.49,0.37,4.000,8.000,19.000,29.000
"May 01, 2019 - Jul 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,St Louis,0.034,yes,208,yes,2019-05,5: Friday (F-F),0: All Day (12am-12am),2328,15,8,21.962,0.673,78.88,1.74,4.000,8.000,19.000,24.000
"May 01, 2019 - Jul 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,St Louis,0.034,yes,208,yes,2019-05,5: Friday (F-F),1: Early AM (12am-6am),130,18,7,21.962,0.829,4.41,0.04,8.000,10.000,21.000,41.000
"May 01, 2019 - Jul 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,St Louis,0.034,yes,208,yes,2019-05,5: Friday (F-F),2: Peak AM (6am-10am),474,16,8,21.962,0.707,16.06,0.30,4.000,9.000,19.000,33.000
"May 01, 2019 - Jul 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,St Louis,0.034,yes,208,yes,2019-05,5: Friday (F-F),3: Mid-Day (10am-3pm),662,14,8,21.962,0.657,22.44,0.53,4.000,8.000,19.000,21.000
"May 01, 2019 - Jul 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,St Louis,0.034,yes,208,yes,2019-05,5: Friday (F-F),4: Peak PM (3pm-7pm),692,14,9,21.962,0.629,23.44,0.63,4.000,7.000,19.000,22.000
"May 01, 2019 - Jul 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,St Louis,0.034,yes,208,yes,2019-05,5: Friday (F-F),5: Late PM (7pm-12am),370,15,8,21.962,0.687,12.54,0.26,6.000,9.000,18.000,27.000
"May 01, 2019 - Jul 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,St Louis,0.034,yes,208,yes,2019-05,6: Saturday (Sa-Sa),0: All Day (12am-12am),1537,16,8,21.962,0.715,52.09,0.95,4.000,8.000,19.000,27.000
"May 01, 2019 - Jul 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,St Louis,0.034,yes,208,yes,2019-05,6: Saturday (Sa-Sa),1: Early AM (12am-6am),128,16,8,21.962,0.740,4.35,0.07,5.000,9.000,19.000,24.000
"May 01, 2019 - Jul 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,St Louis,0.034,yes,208,yes,2019-05,6: Saturday (Sa-Sa),2: Peak AM (6am-10am),171,17,7,21.962,0.768,5.79,0.08,6.000,11.000,21.000,31.000
"May 01, 2019 - Jul 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,St Louis,0.034,yes,208,yes,2019-05,6: Saturday (Sa-Sa),3: Mid-Day (10am-3pm),530,15,8,21.962,0.702,17.97,0.35,5.000,10.000,19.000,22.000
"May 01, 2019 - Jul 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,St Louis,0.034,yes,208,yes,2019-05,6: Saturday (Sa-Sa),4: Peak PM (3pm-7pm),386,16,8,21.962,0.710,13.09,0.24,4.000,7.000,19.000,31.000
"May 01, 2019 - Jul 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,St Louis,0.034,yes,208,yes,2019-05,6: Saturday (Sa-Sa),5: Late PM (7pm-12am),321,15,8,21.962,0.702,10.89,0.21,4.000,8.000,19.000,22.000
"May 01, 2019 - Jul 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,St Louis,0.034,yes,208,yes,2019-05,7: Sunday (Su-Su),0: All Day (12am-12am),1229,16,8,21.962,0.713,41.66,0.76,5.000,9.000,19.000,22.000
"May 01, 2019 - Jul 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,St Louis,0.034,yes,208,yes,2019-05,7: Sunday (Su-Su),1: Early AM (12am-6am),124,16,8,21.962,0.714,4.20,0.08,9.000,12.000,18.000,21.000
"May 01, 2019 - Jul 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,St Louis,0.034,yes,208,yes,2019-05,7: Sunday (Su-Su),2: Peak AM (6am-10am),117,16,8,21.962,0.740,3.95,0.06,6.000,8.000,19.000,23.000
"May 01, 2019 - Jul 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,St Louis,0.034,yes,208,yes,2019-05,7: Sunday (Su-Su),3: Mid-Day (10am-3pm),359,15,8,21.962,0.665,12.18,0.28,5.000,9.000,18.000,21.000
