Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),5th Speed Percentile,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jan 01, 2019 - Mar 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,St Louis,0.034,yes,208,yes,2019-01,0: All Days (M-Su),0: All Day (12am-12am),2172,17,7,23.768,0.714,73.61,1.24,4.000,9.000,22.000,28.000
"Jan 01, 2019 - Mar 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,St Louis,0.034,yes,208,yes,2019-01,0: All Days (M-Su),1: Early AM (12am-6am),147,19,7,23.768,0.787,4.99,0.06,8.000,12.000,23.000,29.000
"Jan 01, 2019 - Mar 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,St Louis,0.034,yes,208,yes,2019-01,0: All Days (M-Su),2: Peak AM (6am-10am),410,18,7,23.768,0.743,13.88,0.20,4.000,9.000,23.000,34.000
"Jan 01, 2019 - Mar 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,St Louis,0.034,yes,208,yes,2019-01,0: All Days (M-Su),3: Mid-Day (10am-3pm),623,17,7,23.768,0.716,21.11,0.35,5.000,9.000,22.000,27.000
"Jan 01, 2019 - Mar 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,St Louis,0.034,yes,208,yes,2019-01,0: All Days (M-Su),4: Peak PM (3pm-7pm),635,16,8,23.768,0.663,21.51,0.46,4.000,8.000,21.000,26.000
"Jan 01, 2019 - Mar 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,St Louis,0.034,yes,208,yes,2019-01,0: All Days (M-Su),5: Late PM (7pm-12am),357,18,7,23.768,0.736,12.11,0.18,6.000,10.000,22.000,26.000
"Jan 01, 2019 - Mar 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,St Louis,0.034,yes,208,yes,2019-01,1: Monday (M-M),0: All Day (12am-12am),2159,17,7,23.768,0.705,73.17,1.29,4.000,8.000,22.000,28.000
"Jan 01, 2019 - Mar 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,St Louis,0.034,yes,208,yes,2019-01,1: Monday (M-M),1: Early AM (12am-6am),172,22,6,23.768,0.928,5.82,0.02,17.000,19.000,23.000,30.000
"Jan 01, 2019 - Mar 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,St Louis,0.034,yes,208,yes,2019-01,1: Monday (M-M),2: Peak AM (6am-10am),558,16,7,23.768,0.694,18.91,0.35,4.000,8.000,22.000,28.000
"Jan 01, 2019 - Mar 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,St Louis,0.034,yes,208,yes,2019-01,1: Monday (M-M),3: Mid-Day (10am-3pm),685,15,8,23.768,0.649,23.22,0.53,4.000,7.000,21.000,23.000
"Jan 01, 2019 - Mar 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,St Louis,0.034,yes,208,yes,2019-01,1: Monday (M-M),4: Peak PM (3pm-7pm),523,17,7,23.768,0.709,17.74,0.31,5.000,9.000,22.000,31.000
"Jan 01, 2019 - Mar 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,St Louis,0.034,yes,208,yes,2019-01,1: Monday (M-M),5: Late PM (7pm-12am),220,17,7,23.768,0.727,7.47,0.12,11.000,12.000,22.000,29.000
"Jan 01, 2019 - Mar 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,St Louis,0.034,yes,208,yes,2019-01,2: Tuesday (Tu-Tu),0: All Day (12am-12am),2050,17,7,23.768,0.704,69.47,1.23,4.000,8.000,22.000,26.000
"Jan 01, 2019 - Mar 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,St Louis,0.034,yes,208,yes,2019-01,2: Tuesday (Tu-Tu),1: Early AM (12am-6am),207,19,6,23.768,0.792,7.02,0.08,6.000,9.000,23.000,24.000
"Jan 01, 2019 - Mar 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,St Louis,0.034,yes,208,yes,2019-01,2: Tuesday (Tu-Tu),2: Peak AM (6am-10am),367,17,7,23.768,0.731,12.44,0.19,4.000,8.000,23.000,28.000
"Jan 01, 2019 - Mar 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,St Louis,0.034,yes,208,yes,2019-01,2: Tuesday (Tu-Tu),3: Mid-Day (10am-3pm),619,17,7,23.768,0.728,20.98,0.33,3.000,9.000,21.000,25.000
"Jan 01, 2019 - Mar 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,St Louis,0.034,yes,208,yes,2019-01,2: Tuesday (Tu-Tu),4: Peak PM (3pm-7pm),615,15,8,23.768,0.623,20.86,0.53,4.000,8.000,21.000,24.000
"Jan 01, 2019 - Mar 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,St Louis,0.034,yes,208,yes,2019-01,2: Tuesday (Tu-Tu),5: Late PM (7pm-12am),241,17,7,23.768,0.730,8.17,0.13,6.000,9.000,22.000,23.000
"Jan 01, 2019 - Mar 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,St Louis,0.034,yes,208,yes,2019-01,3: Wednesday (W-W),0: All Day (12am-12am),2204,17,7,23.768,0.710,74.71,1.28,4.000,8.000,23.000,28.000
