Data Periods,Mode of Travel,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Spot Traffic (StL Volume),Avg Spot Speed (mph),Free Flow Speed (mph),Free Flow Factor,5th Speed Percentile,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,Hart Street,yes,270,no,2019-06,0: All Days (M-Su),0: All Day (12am-12am),98,15,20.324,0.749,5.000,9.000,21.000,24.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,Hart Street,yes,270,no,2019-06,0: All Days (M-Su),1: Early AM (12am-6am),5,14,20.324,0.678,N/A,N/A,N/A,N/A
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,Hart Street,yes,270,no,2019-06,0: All Days (M-Su),2: Peak AM (6am-10am),15,16,20.324,0.765,5.000,8.000,21.000,25.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,Hart Street,yes,270,no,2019-06,0: All Days (M-Su),3: Mid-Day (10am-3pm),27,16,20.324,0.774,4.000,6.000,22.000,23.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,Hart Street,yes,270,no,2019-06,0: All Days (M-Su),4: Peak PM (3pm-7pm),30,16,20.324,0.807,8.000,10.000,23.000,24.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,Hart Street,yes,270,no,2019-06,0: All Days (M-Su),5: Late PM (7pm-12am),19,13,20.324,0.633,5.000,6.000,19.000,24.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,Hart Street,yes,270,no,2019-06,1: Monday (M-M),0: All Day (12am-12am),120,16,20.324,0.784,4.000,6.000,20.000,23.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,Hart Street,yes,270,no,2019-06,1: Monday (M-M),1: Early AM (12am-6am),3,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,Hart Street,yes,270,no,2019-06,1: Monday (M-M),2: Peak AM (6am-10am),3,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,Hart Street,yes,270,no,2019-06,1: Monday (M-M),3: Mid-Day (10am-3pm),57,15,20.324,0.729,N/A,N/A,N/A,N/A
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,Hart Street,yes,270,no,2019-06,1: Monday (M-M),4: Peak PM (3pm-7pm),37,20,20.324,0.970,N/A,N/A,N/A,N/A
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,Hart Street,yes,270,no,2019-06,1: Monday (M-M),5: Late PM (7pm-12am),20,12,20.324,0.589,N/A,N/A,N/A,N/A
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,,Hart Street,yes,270,no,2019-06,2: Tuesday (Tu-Tu),0: All Day (12am-12am),107,15,20.324,0.757,5.000,8.000,22.000,25.000
