Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),5th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Hart Street / 1015688960 / 1,0.069,yes,270,yes,2019-01,0: All Days (M-Su),0: All Day (12am-12am),690,13,20,21.127,0.598,47.89,1.52,3.000,18.000,21.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Hart Street / 1015688960 / 1,0.069,yes,270,yes,2019-01,0: All Days (M-Su),1: Early AM (12am-6am),47,15,17,21.127,0.687,3.28,0.07,3.000,24.000,33.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Hart Street / 1015688960 / 1,0.069,yes,270,yes,2019-01,0: All Days (M-Su),2: Peak AM (6am-10am),114,12,21,21.127,0.571,7.93,0.28,4.000,18.000,21.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Hart Street / 1015688960 / 1,0.069,yes,270,yes,2019-01,0: All Days (M-Su),3: Mid-Day (10am-3pm),214,13,20,21.127,0.605,14.85,0.46,3.000,18.000,20.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Hart Street / 1015688960 / 1,0.069,yes,270,yes,2019-01,0: All Days (M-Su),4: Peak PM (3pm-7pm),199,12,22,21.127,0.549,13.80,0.54,3.000,18.000,22.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Hart Street / 1015688960 / 1,0.069,yes,270,yes,2019-01,0: All Days (M-Su),5: Late PM (7pm-12am),116,14,18,21.127,0.653,8.03,0.20,4.000,19.000,20.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Hart Street / 1015688960 / 1,0.069,yes,270,yes,2019-01,1: Monday (M-M),0: All Day (12am-12am),741,12,21,21.127,0.562,51.45,1.90,3.000,18.000,20.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Hart Street / 1015688960 / 1,0.069,yes,270,yes,2019-01,1: Monday (M-M),2: Peak AM (6am-10am),145,11,23,21.127,0.505,10.05,0.47,N/A,N/A,N/A
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Hart Street / 1015688960 / 1,0.069,yes,270,yes,2019-01,1: Monday (M-M),3: Mid-Day (10am-3pm),264,11,23,21.127,0.505,18.33,0.85,3.000,17.000,18.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Hart Street / 1015688960 / 1,0.069,yes,270,yes,2019-01,1: Monday (M-M),4: Peak PM (3pm-7pm),222,13,19,21.127,0.632,15.38,0.42,3.000,19.000,23.000
