Data Periods,Mode of Travel,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Spot Traffic (StL Volume),Avg Spot Speed (mph),Free Flow Speed (mph),Free Flow Factor,5th Speed Percentile,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Hart Street,yes,270,no,2023-06,0: All Days (M-Su),0: All Day (12am-12am),171,13,18.552,0.713,6.000,10.000,17.000,18.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Hart Street,yes,270,no,2023-06,0: All Days (M-Su),1: Early AM (12am-6am),9,14,18.552,0.760,5.000,7.000,18.000,21.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Hart Street,yes,270,no,2023-06,0: All Days (M-Su),2: Peak AM (6am-10am),24,13,18.552,0.694,7.000,10.000,17.000,18.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Hart Street,yes,270,no,2023-06,0: All Days (M-Su),3: Mid-Day (10am-3pm),53,13,18.552,0.709,5.000,9.000,17.000,18.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Hart Street,yes,270,no,2023-06,0: All Days (M-Su),4: Peak PM (3pm-7pm),51,13,18.552,0.709,8.000,10.000,17.000,18.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Hart Street,yes,270,no,2023-06,0: All Days (M-Su),5: Late PM (7pm-12am),34,13,18.552,0.725,5.000,10.000,17.000,20.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Hart Street,yes,270,no,2023-06,1: Monday (M-M),0: All Day (12am-12am),187,13,18.552,0.679,6.000,9.000,17.000,18.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Hart Street,yes,270,no,2023-06,1: Monday (M-M),1: Early AM (12am-6am),7,12,18.552,0.637,N/A,N/A,N/A,N/A
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Hart Street,yes,270,no,2023-06,1: Monday (M-M),2: Peak AM (6am-10am),35,12,18.552,0.656,6.000,11.000,17.000,18.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Hart Street,yes,270,no,2023-06,1: Monday (M-M),3: Mid-Day (10am-3pm),52,12,18.552,0.669,4.000,10.000,17.000,18.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Hart Street,yes,270,no,2023-06,1: Monday (M-M),4: Peak PM (3pm-7pm),69,13,18.552,0.706,9.000,10.000,17.000,18.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Hart Street,yes,270,no,2023-06,1: Monday (M-M),5: Late PM (7pm-12am),24,12,18.552,0.668,N/A,N/A,N/A,N/A
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Hart Street,yes,270,no,2023-06,2: Tuesday (Tu-Tu),0: All Day (12am-12am),155,12,18.552,0.668,7.000,9.000,17.000,17.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Hart Street,yes,270,no,2023-06,2: Tuesday (Tu-Tu),1: Early AM (12am-6am),5,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Hart Street,yes,270,no,2023-06,2: Tuesday (Tu-Tu),2: Peak AM (6am-10am),19,12,18.552,0.654,N/A,N/A,N/A,N/A
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Hart Street,yes,270,no,2023-06,2: Tuesday (Tu-Tu),3: Mid-Day (10am-3pm),39,12,18.552,0.630,4.000,8.000,14.000,17.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Hart Street,yes,270,no,2023-06,2: Tuesday (Tu-Tu),4: Peak PM (3pm-7pm),52,13,18.552,0.692,9.000,10.000,17.000,17.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Hart Street,yes,270,no,2023-06,2: Tuesday (Tu-Tu),5: Late PM (7pm-12am),40,13,18.552,0.689,7.000,10.000,17.000,18.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Hart Street,yes,270,no,2023-06,3: Wednesday (W-W),0: All Day (12am-12am),179,13,18.552,0.721,7.000,10.000,17.000,18.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Hart Street,yes,270,no,2023-06,3: Wednesday (W-W),1: Early AM (12am-6am),6,17,18.552,0.909,N/A,N/A,N/A,N/A
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Hart Street,yes,270,no,2023-06,3: Wednesday (W-W),2: Peak AM (6am-10am),22,13,18.552,0.695,N/A,N/A,N/A,N/A
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Hart Street,yes,270,no,2023-06,3: Wednesday (W-W),3: Mid-Day (10am-3pm),55,13,18.552,0.689,7.000,9.000,17.000,18.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Hart Street,yes,270,no,2023-06,3: Wednesday (W-W),4: Peak PM (3pm-7pm),64,13,18.552,0.707,9.000,10.000,16.000,17.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Hart Street,yes,270,no,2023-06,3: Wednesday (W-W),5: Late PM (7pm-12am),31,15,18.552,0.785,8.000,10.000,17.000,26.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,Hart Street,yes,270,no,2023-06,4: Thursday (Th-Th),0: All Day (12am-12am),166,14,18.552,0.745,9.000,10.000,17.000,18.000
