Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),5th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2021-01,0: All Days (M-Su),0: All Day (12am-12am),569,13,11,19.889,0.676,23.58,0.57,5.000,17.000,20.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2021-01,0: All Days (M-Su),1: Early AM (12am-6am),25,15,10,19.889,0.734,1.03,0.02,5.000,18.000,19.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2021-01,0: All Days (M-Su),2: Peak AM (6am-10am),69,13,11,19.889,0.666,2.84,0.07,4.000,18.000,21.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2021-01,0: All Days (M-Su),3: Mid-Day (10am-3pm),206,13,11,19.889,0.674,8.55,0.21,5.000,17.000,20.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2021-01,0: All Days (M-Su),4: Peak PM (3pm-7pm),171,13,11,19.889,0.672,7.07,0.17,5.000,17.000,19.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2021-01,0: All Days (M-Su),5: Late PM (7pm-12am),99,14,11,19.889,0.679,4.08,0.10,4.000,18.000,21.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2021-01,1: Monday (M-M),0: All Day (12am-12am),633,14,11,19.889,0.686,26.25,0.60,5.000,17.000,20.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2021-01,1: Monday (M-M),1: Early AM (12am-6am),24,16,9,19.889,0.827,1.01,0.01,N/A,N/A,N/A
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2021-01,1: Monday (M-M),2: Peak AM (6am-10am),87,13,12,19.889,0.644,3.61,0.10,4.000,18.000,22.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2021-01,1: Monday (M-M),3: Mid-Day (10am-3pm),233,14,11,19.889,0.699,9.66,0.21,5.000,17.000,24.000
