Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),5th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2019-01,0: All Days (M-Su),0: All Day (12am-12am),505,15,10,21.127,0.698,20.93,0.43,5.000,19.000,23.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2019-01,0: All Days (M-Su),1: Early AM (12am-6am),36,15,10,21.127,0.732,1.49,0.03,10.000,33.000,33.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2019-01,0: All Days (M-Su),2: Peak AM (6am-10am),87,15,10,21.127,0.695,3.60,0.07,4.000,19.000,21.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2019-01,0: All Days (M-Su),3: Mid-Day (10am-3pm),160,15,10,21.127,0.693,6.64,0.14,7.000,19.000,20.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2019-01,0: All Days (M-Su),4: Peak PM (3pm-7pm),139,14,10,21.127,0.681,5.77,0.13,5.000,19.000,23.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2019-01,0: All Days (M-Su),5: Late PM (7pm-12am),83,15,10,21.127,0.723,3.43,0.06,7.000,19.000,21.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2019-01,1: Monday (M-M),0: All Day (12am-12am),579,14,11,21.127,0.652,23.99,0.61,7.000,18.000,22.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2019-01,1: Monday (M-M),1: Early AM (12am-6am),18,N/A,N/A,N/A,N/A,0.73,N/A,N/A,N/A,N/A
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2019-01,1: Monday (M-M),2: Peak AM (6am-10am),102,13,11,21.127,0.632,4.21,0.12,N/A,N/A,N/A
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2019-01,1: Monday (M-M),3: Mid-Day (10am-3pm),202,12,12,21.127,0.579,8.38,0.29,3.000,17.000,18.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2019-01,1: Monday (M-M),4: Peak PM (3pm-7pm),193,15,10,21.127,0.697,8.02,0.16,7.000,22.000,23.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2019-01,1: Monday (M-M),5: Late PM (7pm-12am),64,16,9,21.127,0.779,2.64,0.04,N/A,N/A,N/A
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2019-01,2: Tuesday (Tu-Tu),0: All Day (12am-12am),487,15,10,21.127,0.722,20.20,0.37,6.000,21.000,25.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2019-01,2: Tuesday (Tu-Tu),1: Early AM (12am-6am),40,15,10,21.127,0.694,1.66,0.03,N/A,N/A,N/A
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2019-01,2: Tuesday (Tu-Tu),2: Peak AM (6am-10am),107,16,9,21.127,0.759,4.45,0.07,N/A,N/A,N/A
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2019-01,2: Tuesday (Tu-Tu),3: Mid-Day (10am-3pm),146,16,10,21.127,0.737,6.06,0.10,8.000,20.000,25.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2019-01,2: Tuesday (Tu-Tu),4: Peak PM (3pm-7pm),115,16,10,21.127,0.738,4.76,0.08,N/A,N/A,N/A
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2019-01,2: Tuesday (Tu-Tu),5: Late PM (7pm-12am),79,13,11,21.127,0.635,3.27,0.09,N/A,N/A,N/A
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2019-01,3: Wednesday (W-W),0: All Day (12am-12am),642,13,11,21.127,0.630,26.61,0.74,5.000,18.000,19.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2019-01,3: Wednesday (W-W),1: Early AM (12am-6am),33,N/A,N/A,N/A,N/A,1.36,N/A,N/A,N/A,N/A
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2019-01,3: Wednesday (W-W),2: Peak AM (6am-10am),77,14,11,21.127,0.663,3.17,0.08,N/A,N/A,N/A
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2019-01,3: Wednesday (W-W),3: Mid-Day (10am-3pm),218,13,11,21.127,0.627,9.06,0.26,7.000,19.000,20.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2019-01,3: Wednesday (W-W),4: Peak PM (3pm-7pm),204,13,12,21.127,0.592,8.47,0.28,5.000,16.000,18.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2019-01,3: Wednesday (W-W),5: Late PM (7pm-12am),109,15,10,21.127,0.691,4.54,0.10,N/A,N/A,N/A
