Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),5th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,Hart Street / 1015688960 / 1,0.069,yes,270,yes,2021-01,0: All Days (M-Su),0: All Day (12am-12am),762,12,21,19.889,0.597,52.85,1.80,3.000,17.000,21.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,Hart Street / 1015688960 / 1,0.069,yes,270,yes,2021-01,0: All Days (M-Su),1: Early AM (12am-6am),31,13,19,19.889,0.672,2.12,0.05,4.000,19.000,23.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,Hart Street / 1015688960 / 1,0.069,yes,270,yes,2021-01,0: All Days (M-Su),2: Peak AM (6am-10am),106,11,22,19.889,0.566,7.38,0.28,3.000,17.000,22.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,Hart Street / 1015688960 / 1,0.069,yes,270,yes,2021-01,0: All Days (M-Su),3: Mid-Day (10am-3pm),276,12,22,19.889,0.584,19.15,0.69,3.000,17.000,20.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,Hart Street / 1015688960 / 1,0.069,yes,270,yes,2021-01,0: All Days (M-Su),4: Peak PM (3pm-7pm),220,12,21,19.889,0.605,15.28,0.50,4.000,17.000,20.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,Hart Street / 1015688960 / 1,0.069,yes,270,yes,2021-01,0: All Days (M-Su),5: Late PM (7pm-12am),129,12,20,19.889,0.617,8.93,0.28,4.000,18.000,22.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,Hart Street / 1015688960 / 1,0.069,yes,270,yes,2021-01,1: Monday (M-M),0: All Day (12am-12am),855,12,21,19.889,0.609,59.36,1.92,3.000,17.000,24.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,Hart Street / 1015688960 / 1,0.069,yes,270,yes,2021-01,1: Monday (M-M),1: Early AM (12am-6am),27,15,17,19.889,0.756,1.85,0.03,N/A,N/A,N/A
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,Hart Street / 1015688960 / 1,0.069,yes,270,yes,2021-01,1: Monday (M-M),2: Peak AM (6am-10am),122,11,23,19.889,0.557,8.48,0.34,3.000,17.000,19.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,Hart Street / 1015688960 / 1,0.069,yes,270,yes,2021-01,1: Monday (M-M),3: Mid-Day (10am-3pm),329,12,20,19.889,0.620,22.82,0.70,4.000,18.000,27.000
