Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),5th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 1136328488 / 1,0.071,yes,47,yes,2024-01,0: All Days (M-Su),0: All Day (12am-12am),211,17,15,32.123,0.540,14.97,0.40,4.000,23.000,29.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 1136328488 / 1,0.071,yes,47,yes,2024-01,0: All Days (M-Su),1: Early AM (12am-6am),9,18,14,32.123,0.550,0.65,0.02,4.000,21.000,26.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 1136328488 / 1,0.071,yes,47,yes,2024-01,0: All Days (M-Su),2: Peak AM (6am-10am),28,18,14,32.123,0.557,2.01,0.05,5.000,24.000,29.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 1136328488 / 1,0.071,yes,47,yes,2024-01,0: All Days (M-Su),3: Mid-Day (10am-3pm),73,16,16,32.123,0.512,5.22,0.15,2.000,23.000,28.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 1136328488 / 1,0.071,yes,47,yes,2024-01,0: All Days (M-Su),4: Peak PM (3pm-7pm),60,18,14,32.123,0.554,4.30,0.11,6.000,23.000,29.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 1136328488 / 1,0.071,yes,47,yes,2024-01,0: All Days (M-Su),5: Late PM (7pm-12am),39,18,14,32.123,0.558,2.79,0.07,7.000,24.000,30.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 1136328488 / 1,0.071,yes,47,yes,2024-01,1: Monday (M-M),0: All Day (12am-12am),215,17,15,32.123,0.523,15.31,0.44,2.000,22.000,27.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 1136328488 / 1,0.071,yes,47,yes,2024-01,1: Monday (M-M),1: Early AM (12am-6am),16,16,16,32.123,0.509,1.11,0.03,1.000,21.000,23.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 1136328488 / 1,0.071,yes,47,yes,2024-01,1: Monday (M-M),2: Peak AM (6am-10am),24,18,14,32.123,0.551,1.74,0.04,10.000,22.000,26.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 1136328488 / 1,0.071,yes,47,yes,2024-01,1: Monday (M-M),3: Mid-Day (10am-3pm),79,16,16,32.123,0.504,5.62,0.17,1.000,23.000,27.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 1136328488 / 1,0.071,yes,47,yes,2024-01,1: Monday (M-M),4: Peak PM (3pm-7pm),63,17,15,32.123,0.541,4.51,0.12,4.000,22.000,27.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 1136328488 / 1,0.071,yes,47,yes,2024-01,1: Monday (M-M),5: Late PM (7pm-12am),33,17,15,32.123,0.517,2.34,0.07,2.000,24.000,27.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 1136328488 / 1,0.071,yes,47,yes,2024-01,2: Tuesday (Tu-Tu),0: All Day (12am-12am),218,18,14,32.123,0.562,15.46,0.38,5.000,24.000,29.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 1136328488 / 1,0.071,yes,47,yes,2024-01,2: Tuesday (Tu-Tu),1: Early AM (12am-6am),6,21,12,32.123,0.643,0.40,0.01,N/A,N/A,N/A
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 1136328488 / 1,0.071,yes,47,yes,2024-01,2: Tuesday (Tu-Tu),2: Peak AM (6am-10am),34,18,14,32.123,0.571,2.42,0.06,7.000,25.000,32.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 1136328488 / 1,0.071,yes,47,yes,2024-01,2: Tuesday (Tu-Tu),3: Mid-Day (10am-3pm),58,17,15,32.123,0.542,4.15,0.11,3.000,24.000,28.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 1136328488 / 1,0.071,yes,47,yes,2024-01,2: Tuesday (Tu-Tu),4: Peak PM (3pm-7pm),69,18,14,32.123,0.564,4.91,0.12,9.000,24.000,30.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 1136328488 / 1,0.071,yes,47,yes,2024-01,2: Tuesday (Tu-Tu),5: Late PM (7pm-12am),50,18,14,32.123,0.566,3.58,0.09,6.000,24.000,29.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 1136328488 / 1,0.071,yes,47,yes,2024-01,3: Wednesday (W-W),0: All Day (12am-12am),227,17,15,32.123,0.522,16.14,0.46,3.000,23.000,29.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 1136328488 / 1,0.071,yes,47,yes,2024-01,3: Wednesday (W-W),1: Early AM (12am-6am),4,12,22,32.123,0.364,0.25,0.01,N/A,N/A,N/A
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 1136328488 / 1,0.071,yes,47,yes,2024-01,3: Wednesday (W-W),2: Peak AM (6am-10am),41,18,14,32.123,0.554,2.90,0.07,4.000,24.000,35.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 1136328488 / 1,0.071,yes,47,yes,2024-01,3: Wednesday (W-W),3: Mid-Day (10am-3pm),101,15,17,32.123,0.481,7.18,0.24,1.000,21.000,24.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 1136328488 / 1,0.071,yes,47,yes,2024-01,3: Wednesday (W-W),4: Peak PM (3pm-7pm),60,18,14,32.123,0.550,4.28,0.11,6.000,24.000,29.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 1136328488 / 1,0.071,yes,47,yes,2024-01,3: Wednesday (W-W),5: Late PM (7pm-12am),22,19,13,32.123,0.602,1.54,0.03,9.000,22.000,30.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 1136328488 / 1,0.071,yes,47,yes,2024-01,4: Thursday (Th-Th),0: All Day (12am-12am),249,18,14,32.123,0.560,17.69,0.43,3.000,24.000,31.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 1136328488 / 1,0.071,yes,47,yes,2024-01,4: Thursday (Th-Th),1: Early AM (12am-6am),9,23,11,32.123,0.705,0.66,0.01,N/A,N/A,N/A
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 1136328488 / 1,0.071,yes,47,yes,2024-01,4: Thursday (Th-Th),2: Peak AM (6am-10am),33,17,15,32.123,0.521,2.36,0.07,5.000,24.000,29.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 1136328488 / 1,0.071,yes,47,yes,2024-01,4: Thursday (Th-Th),3: Mid-Day (10am-3pm),79,16,16,32.123,0.511,5.63,0.17,2.000,23.000,31.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 1136328488 / 1,0.071,yes,47,yes,2024-01,4: Thursday (Th-Th),4: Peak PM (3pm-7pm),77,19,14,32.123,0.584,5.48,0.12,9.000,24.000,29.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 1136328488 / 1,0.071,yes,47,yes,2024-01,4: Thursday (Th-Th),5: Late PM (7pm-12am),50,19,13,32.123,0.598,3.56,0.07,8.000,25.000,32.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 1136328488 / 1,0.071,yes,47,yes,2024-01,5: Friday (F-F),0: All Day (12am-12am),237,17,15,32.123,0.534,16.84,0.46,2.000,22.000,28.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 1136328488 / 1,0.071,yes,47,yes,2024-01,5: Friday (F-F),1: Early AM (12am-6am),9,18,14,32.123,0.557,0.66,0.02,N/A,N/A,N/A
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 1136328488 / 1,0.071,yes,47,yes,2024-01,5: Friday (F-F),2: Peak AM (6am-10am),35,19,13,32.123,0.602,2.52,0.05,7.000,24.000,31.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 1136328488 / 1,0.071,yes,47,yes,2024-01,5: Friday (F-F),3: Mid-Day (10am-3pm),81,15,17,32.123,0.477,5.76,0.20,1.000,22.000,29.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 1136328488 / 1,0.071,yes,47,yes,2024-01,5: Friday (F-F),4: Peak PM (3pm-7pm),69,18,14,32.123,0.573,4.91,0.11,7.000,22.000,27.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 1136328488 / 1,0.071,yes,47,yes,2024-01,5: Friday (F-F),5: Late PM (7pm-12am),42,17,15,32.123,0.521,2.99,0.09,5.000,22.000,24.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 1136328488 / 1,0.071,yes,47,yes,2024-01,6: Saturday (Sa-Sa),0: All Day (12am-12am),188,17,15,32.123,0.543,13.37,0.35,6.000,23.000,27.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 1136328488 / 1,0.071,yes,47,yes,2024-01,6: Saturday (Sa-Sa),1: Early AM (12am-6am),7,18,15,32.123,0.548,0.50,0.01,N/A,N/A,N/A
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 1136328488 / 1,0.071,yes,47,yes,2024-01,6: Saturday (Sa-Sa),2: Peak AM (6am-10am),15,19,13,32.123,0.599,1.06,0.02,N/A,N/A,N/A
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 1136328488 / 1,0.071,yes,47,yes,2024-01,6: Saturday (Sa-Sa),3: Mid-Day (10am-3pm),64,18,15,32.123,0.546,4.58,0.12,4.000,22.000,27.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 1136328488 / 1,0.071,yes,47,yes,2024-01,6: Saturday (Sa-Sa),4: Peak PM (3pm-7pm),53,16,16,32.123,0.504,3.74,0.11,5.000,21.000,27.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 1136328488 / 1,0.071,yes,47,yes,2024-01,6: Saturday (Sa-Sa),5: Late PM (7pm-12am),49,18,14,32.123,0.562,3.49,0.08,3.000,22.000,27.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 1136328488 / 1,0.071,yes,47,yes,2024-01,7: Sunday (Su-Su),0: All Day (12am-12am),134,17,15,32.123,0.543,9.49,0.25,5.000,23.000,27.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 1136328488 / 1,0.071,yes,47,yes,2024-01,7: Sunday (Su-Su),1: Early AM (12am-6am),15,17,15,32.123,0.517,1.03,0.03,N/A,N/A,N/A
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 1136328488 / 1,0.071,yes,47,yes,2024-01,7: Sunday (Su-Su),2: Peak AM (6am-10am),12,15,17,32.123,0.465,0.84,0.03,N/A,N/A,N/A
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 1136328488 / 1,0.071,yes,47,yes,2024-01,7: Sunday (Su-Su),3: Mid-Day (10am-3pm),46,18,14,32.123,0.574,3.29,0.08,6.000,24.000,27.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 1136328488 / 1,0.071,yes,47,yes,2024-01,7: Sunday (Su-Su),4: Peak PM (3pm-7pm),29,18,15,32.123,0.548,2.04,0.05,6.000,23.000,27.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 1136328488 / 1,0.071,yes,47,yes,2024-01,7: Sunday (Su-Su),5: Late PM (7pm-12am),32,17,15,32.123,0.537,2.29,0.06,9.000,21.000,26.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 476501080 / 7,0.074,yes,46,yes,2024-01,0: All Days (M-Su),0: All Day (12am-12am),673,20,14,22.184,0.888,49.93,0.28,10.000,25.000,28.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 476501080 / 7,0.074,yes,46,yes,2024-01,0: All Days (M-Su),1: Early AM (12am-6am),20,20,13,22.184,0.898,1.50,0.01,12.000,25.000,29.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 476501080 / 7,0.074,yes,46,yes,2024-01,0: All Days (M-Su),2: Peak AM (6am-10am),119,20,13,22.184,0.906,8.83,0.04,11.000,25.000,28.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 476501080 / 7,0.074,yes,46,yes,2024-01,0: All Days (M-Su),3: Mid-Day (10am-3pm),226,20,13,22.184,0.894,16.79,0.09,10.000,25.000,28.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 476501080 / 7,0.074,yes,46,yes,2024-01,0: All Days (M-Su),4: Peak PM (3pm-7pm),213,19,14,22.184,0.879,15.83,0.10,10.000,25.000,28.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 476501080 / 7,0.074,yes,46,yes,2024-01,0: All Days (M-Su),5: Late PM (7pm-12am),94,19,14,22.184,0.872,6.99,0.05,9.000,25.000,28.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 476501080 / 7,0.074,yes,46,yes,2024-01,1: Monday (M-M),0: All Day (12am-12am),613,19,14,22.184,0.871,45.49,0.30,9.000,24.000,27.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 476501080 / 7,0.074,yes,46,yes,2024-01,1: Monday (M-M),1: Early AM (12am-6am),24,20,14,22.184,0.882,1.78,0.01,13.000,26.000,29.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 476501080 / 7,0.074,yes,46,yes,2024-01,1: Monday (M-M),2: Peak AM (6am-10am),121,20,13,22.184,0.902,8.96,0.04,11.000,25.000,28.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 476501080 / 7,0.074,yes,46,yes,2024-01,1: Monday (M-M),3: Mid-Day (10am-3pm),210,19,14,22.184,0.868,15.58,0.11,9.000,24.000,27.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 476501080 / 7,0.074,yes,46,yes,2024-01,1: Monday (M-M),4: Peak PM (3pm-7pm),190,19,14,22.184,0.859,14.08,0.10,9.000,24.000,27.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 476501080 / 7,0.074,yes,46,yes,2024-01,1: Monday (M-M),5: Late PM (7pm-12am),69,19,14,22.184,0.857,5.09,0.04,6.000,24.000,28.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 476501080 / 7,0.074,yes,46,yes,2024-01,2: Tuesday (Tu-Tu),0: All Day (12am-12am),742,19,14,22.184,0.879,55.07,0.34,9.000,25.000,28.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 476501080 / 7,0.074,yes,46,yes,2024-01,2: Tuesday (Tu-Tu),1: Early AM (12am-6am),19,21,13,22.184,0.925,1.44,0.01,14.000,25.000,30.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 476501080 / 7,0.074,yes,46,yes,2024-01,2: Tuesday (Tu-Tu),2: Peak AM (6am-10am),141,20,14,22.184,0.885,10.44,0.06,10.000,25.000,28.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 476501080 / 7,0.074,yes,46,yes,2024-01,2: Tuesday (Tu-Tu),3: Mid-Day (10am-3pm),223,19,14,22.184,0.867,16.55,0.11,9.000,25.000,28.000
