Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),5th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 1136328488 / 1,0.071,yes,47,yes,2022-01,0: All Days (M-Su),0: All Day (12am-12am),312,20,13,32.359,0.622,22.20,0.42,4.000,27.000,33.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 1136328488 / 1,0.071,yes,47,yes,2022-01,0: All Days (M-Su),1: Early AM (12am-6am),9,19,14,32.359,0.577,0.64,0.01,9.000,28.000,32.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 1136328488 / 1,0.071,yes,47,yes,2022-01,0: All Days (M-Su),2: Peak AM (6am-10am),39,22,12,32.359,0.668,2.75,0.04,5.000,28.000,32.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 1136328488 / 1,0.071,yes,47,yes,2022-01,0: All Days (M-Su),3: Mid-Day (10am-3pm),118,19,13,32.359,0.591,8.38,0.18,2.000,27.000,34.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 1136328488 / 1,0.071,yes,47,yes,2022-01,0: All Days (M-Su),4: Peak PM (3pm-7pm),89,20,12,32.359,0.633,6.29,0.11,6.000,27.000,32.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 1136328488 / 1,0.071,yes,47,yes,2022-01,0: All Days (M-Su),5: Late PM (7pm-12am),58,21,12,32.359,0.648,4.14,0.07,5.000,27.000,34.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 1136328488 / 1,0.071,yes,47,yes,2022-01,1: Monday (M-M),0: All Day (12am-12am),297,19,14,32.359,0.581,21.11,0.47,2.000,27.000,32.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 1136328488 / 1,0.071,yes,47,yes,2022-01,1: Monday (M-M),1: Early AM (12am-6am),7,12,21,32.359,0.379,0.52,0.03,N/A,N/A,N/A
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 1136328488 / 1,0.071,yes,47,yes,2022-01,1: Monday (M-M),2: Peak AM (6am-10am),33,22,12,32.359,0.673,2.38,0.04,4.000,25.000,29.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Michigan Avenue / 1136328488 / 1,0.071,yes,47,yes,2022-01,1: Monday (M-M),3: Mid-Day (10am-3pm),132,16,16,32.359,0.507,9.35,0.28,1.000,25.000,33.000
