Data Periods,Mode of Travel,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Spot Traffic (StL Volume),Avg Spot Speed (mph),Free Flow Speed (mph),Free Flow Factor,5th Speed Percentile,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 2nd Street,yes,119,yes,2023-06,0: All Days (M-Su),0: All Day (12am-12am),331,15,23.006,0.632,4.000,9.000,19.000,25.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 2nd Street,yes,119,yes,2023-06,0: All Days (M-Su),1: Early AM (12am-6am),18,14,23.006,0.592,5.000,8.000,16.000,18.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 2nd Street,yes,119,yes,2023-06,0: All Days (M-Su),2: Peak AM (6am-10am),62,15,23.006,0.650,3.000,8.000,20.000,26.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 2nd Street,yes,119,yes,2023-06,0: All Days (M-Su),3: Mid-Day (10am-3pm),94,15,23.006,0.652,6.000,10.000,20.000,26.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 2nd Street,yes,119,yes,2023-06,0: All Days (M-Su),4: Peak PM (3pm-7pm),91,15,23.006,0.638,3.000,10.000,19.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 2nd Street,yes,119,yes,2023-06,0: All Days (M-Su),5: Late PM (7pm-12am),67,14,23.006,0.589,3.000,7.000,18.000,23.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 2nd Street,yes,119,yes,2023-06,1: Monday (M-M),0: All Day (12am-12am),292,13,23.006,0.587,3.000,7.000,18.000,19.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 2nd Street,yes,119,yes,2023-06,1: Monday (M-M),1: Early AM (12am-6am),10,18,23.006,0.782,N/A,N/A,N/A,N/A
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 2nd Street,yes,119,yes,2023-06,1: Monday (M-M),2: Peak AM (6am-10am),53,14,23.006,0.630,3.000,5.000,19.000,21.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 2nd Street,yes,119,yes,2023-06,1: Monday (M-M),3: Mid-Day (10am-3pm),72,13,23.006,0.553,5.000,8.000,17.000,19.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 2nd Street,yes,119,yes,2023-06,1: Monday (M-M),4: Peak PM (3pm-7pm),102,14,23.006,0.612,2.000,10.000,18.000,22.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 2nd Street,yes,119,yes,2023-06,1: Monday (M-M),5: Late PM (7pm-12am),53,12,23.006,0.504,2.000,5.000,13.000,19.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 2nd Street,yes,119,yes,2023-06,2: Tuesday (Tu-Tu),0: All Day (12am-12am),340,16,23.006,0.674,6.000,11.000,19.000,25.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 2nd Street,yes,119,yes,2023-06,2: Tuesday (Tu-Tu),1: Early AM (12am-6am),22,17,23.006,0.723,N/A,N/A,N/A,N/A
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 2nd Street,yes,119,yes,2023-06,2: Tuesday (Tu-Tu),2: Peak AM (6am-10am),93,17,23.006,0.725,8.000,13.000,20.000,26.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 2nd Street,yes,119,yes,2023-06,2: Tuesday (Tu-Tu),3: Mid-Day (10am-3pm),107,16,23.006,0.680,3.000,11.000,24.000,27.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 2nd Street,yes,119,yes,2023-06,2: Tuesday (Tu-Tu),4: Peak PM (3pm-7pm),64,15,23.006,0.632,6.000,11.000,19.000,19.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 2nd Street,yes,119,yes,2023-06,2: Tuesday (Tu-Tu),5: Late PM (7pm-12am),53,14,23.006,0.601,6.000,7.000,18.000,20.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 2nd Street,yes,119,yes,2023-06,3: Wednesday (W-W),0: All Day (12am-12am),378,15,23.006,0.647,5.000,9.000,19.000,25.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 2nd Street,yes,119,yes,2023-06,3: Wednesday (W-W),1: Early AM (12am-6am),17,11,23.006,0.482,N/A,N/A,N/A,N/A
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 2nd Street,yes,119,yes,2023-06,3: Wednesday (W-W),2: Peak AM (6am-10am),78,15,23.006,0.668,3.000,5.000,19.000,26.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 2nd Street,yes,119,yes,2023-06,3: Wednesday (W-W),3: Mid-Day (10am-3pm),116,16,23.006,0.687,7.000,9.000,22.000,26.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 2nd Street,yes,119,yes,2023-06,3: Wednesday (W-W),4: Peak PM (3pm-7pm),119,14,23.006,0.625,7.000,10.000,19.000,23.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 2nd Street,yes,119,yes,2023-06,3: Wednesday (W-W),5: Late PM (7pm-12am),48,14,23.006,0.630,8.000,9.000,18.000,20.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 2nd Street,yes,119,yes,2023-06,4: Thursday (Th-Th),0: All Day (12am-12am),352,15,23.006,0.639,4.000,9.000,19.000,26.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 2nd Street,yes,119,yes,2023-06,4: Thursday (Th-Th),1: Early AM (12am-6am),21,13,23.006,0.563,N/A,N/A,N/A,N/A
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 2nd Street,yes,119,yes,2023-06,4: Thursday (Th-Th),2: Peak AM (6am-10am),62,15,23.006,0.649,6.000,9.000,25.000,27.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 2nd Street,yes,119,yes,2023-06,4: Thursday (Th-Th),3: Mid-Day (10am-3pm),79,15,23.006,0.642,5.000,10.000,20.000,27.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 2nd Street,yes,119,yes,2023-06,4: Thursday (Th-Th),4: Peak PM (3pm-7pm),95,16,23.006,0.699,3.000,10.000,21.000,27.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 2nd Street,yes,119,yes,2023-06,4: Thursday (Th-Th),5: Late PM (7pm-12am),95,14,23.006,0.587,3.000,9.000,18.000,19.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 2nd Street,yes,119,yes,2023-06,5: Friday (F-F),0: All Day (12am-12am),360,15,23.006,0.640,3.000,10.000,19.000,24.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 2nd Street,yes,119,yes,2023-06,5: Friday (F-F),1: Early AM (12am-6am),17,13,23.006,0.560,N/A,N/A,N/A,N/A
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 2nd Street,yes,119,yes,2023-06,5: Friday (F-F),2: Peak AM (6am-10am),90,15,23.006,0.633,3.000,10.000,20.000,25.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,,East 2nd Street,yes,119,yes,2023-06,5: Friday (F-F),3: Mid-Day (10am-3pm),84,15,23.006,0.671,9.000,12.000,19.000,26.000
