Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),5th Speed Percentile,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2024 - Jun 01, 2025",All Vehicles - StL All Vehicles Volume,N/A,Hill,0.027,yes,179,yes,2024-06,0: All Days (M-Su),0: All Day (12am-12am),4886,22,4,25.822,0.847,132.52,0.93,13.000,16.000,27.000,32.000
"Jun 01, 2024 - Jun 01, 2025",All Vehicles - StL All Vehicles Volume,N/A,Hill,0.027,yes,179,yes,2024-06,0: All Days (M-Su),1: Early AM (12am-6am),145,23,4,25.822,0.883,3.94,0.02,14.000,17.000,28.000,33.000
"Jun 01, 2024 - Jun 01, 2025",All Vehicles - StL All Vehicles Volume,N/A,Hill,0.027,yes,179,yes,2024-06,0: All Days (M-Su),2: Peak AM (6am-10am),848,22,4,25.822,0.858,23.00,0.15,14.000,17.000,27.000,31.000
"Jun 01, 2024 - Jun 01, 2025",All Vehicles - StL All Vehicles Volume,N/A,Hill,0.027,yes,179,yes,2024-06,0: All Days (M-Su),3: Mid-Day (10am-3pm),1646,22,4,25.822,0.841,44.66,0.33,13.000,16.000,27.000,31.000
"Jun 01, 2024 - Jun 01, 2025",All Vehicles - StL All Vehicles Volume,N/A,Hill,0.027,yes,179,yes,2024-06,0: All Days (M-Su),4: Peak PM (3pm-7pm),1347,22,4,25.822,0.841,36.54,0.27,13.000,16.000,27.000,31.000
"Jun 01, 2024 - Jun 01, 2025",All Vehicles - StL All Vehicles Volume,N/A,Hill,0.027,yes,179,yes,2024-06,0: All Days (M-Su),5: Late PM (7pm-12am),899,22,4,25.822,0.851,24.38,0.16,13.000,16.000,27.000,32.000
"Jun 01, 2024 - Jun 01, 2025",All Vehicles - StL All Vehicles Volume,N/A,Hill,0.027,yes,179,yes,2024-06,1: Monday (M-M),0: All Day (12am-12am),4872,22,4,25.822,0.849,132.15,0.91,13.000,16.000,27.000,32.000
"Jun 01, 2024 - Jun 01, 2025",All Vehicles - StL All Vehicles Volume,N/A,Hill,0.027,yes,179,yes,2024-06,1: Monday (M-M),1: Early AM (12am-6am),143,24,4,25.822,0.911,3.87,0.01,14.000,17.000,28.000,33.000
"Jun 01, 2024 - Jun 01, 2025",All Vehicles - StL All Vehicles Volume,N/A,Hill,0.027,yes,179,yes,2024-06,1: Monday (M-M),2: Peak AM (6am-10am),962,22,4,25.822,0.855,26.08,0.17,13.000,17.000,27.000,31.000
"Jun 01, 2024 - Jun 01, 2025",All Vehicles - StL All Vehicles Volume,N/A,Hill,0.027,yes,179,yes,2024-06,1: Monday (M-M),3: Mid-Day (10am-3pm),1647,22,5,25.822,0.836,44.68,0.34,13.000,15.000,27.000,32.000
"Jun 01, 2024 - Jun 01, 2025",All Vehicles - StL All Vehicles Volume,N/A,Hill,0.027,yes,179,yes,2024-06,1: Monday (M-M),4: Peak PM (3pm-7pm),1392,22,4,25.822,0.848,37.76,0.26,13.000,16.000,27.000,32.000
"Jun 01, 2024 - Jun 01, 2025",All Vehicles - StL All Vehicles Volume,N/A,Hill,0.027,yes,179,yes,2024-06,1: Monday (M-M),5: Late PM (7pm-12am),728,22,4,25.822,0.859,19.76,0.13,13.000,16.000,27.000,32.000
"Jun 01, 2024 - Jun 01, 2025",All Vehicles - StL All Vehicles Volume,N/A,Hill,0.027,yes,179,yes,2024-06,2: Tuesday (Tu-Tu),0: All Day (12am-12am),5187,22,4,25.822,0.848,140.69,0.97,13.000,16.000,27.000,31.000
"Jun 01, 2024 - Jun 01, 2025",All Vehicles - StL All Vehicles Volume,N/A,Hill,0.027,yes,179,yes,2024-06,2: Tuesday (Tu-Tu),1: Early AM (12am-6am),106,24,4,25.822,0.910,2.87,0.01,15.000,18.000,29.000,33.000
"Jun 01, 2024 - Jun 01, 2025",All Vehicles - StL All Vehicles Volume,N/A,Hill,0.027,yes,179,yes,2024-06,2: Tuesday (Tu-Tu),2: Peak AM (6am-10am),1017,22,4,25.822,0.857,27.59,0.18,14.000,16.000,27.000,31.000
"Jun 01, 2024 - Jun 01, 2025",All Vehicles - StL All Vehicles Volume,N/A,Hill,0.027,yes,179,yes,2024-06,2: Tuesday (Tu-Tu),3: Mid-Day (10am-3pm),1758,22,4,25.822,0.845,47.67,0.34,13.000,16.000,27.000,31.000
