Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),5th Speed Percentile,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,Hill,0.027,yes,179,yes,2021-06,0: All Days (M-Su),0: All Day (12am-12am),4709,33,3,40.087,0.833,127.71,0.64,21.000,27.000,40.000,44.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,Hill,0.027,yes,179,yes,2021-06,0: All Days (M-Su),1: Early AM (12am-6am),103,35,3,40.087,0.878,2.78,0.01,22.000,27.000,43.000,47.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,Hill,0.027,yes,179,yes,2021-06,0: All Days (M-Su),2: Peak AM (6am-10am),812,34,3,40.087,0.842,22.03,0.10,22.000,27.000,40.000,44.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,Hill,0.027,yes,179,yes,2021-06,0: All Days (M-Su),3: Mid-Day (10am-3pm),1665,33,3,40.087,0.829,45.15,0.23,21.000,26.000,40.000,43.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,Hill,0.027,yes,179,yes,2021-06,0: All Days (M-Su),4: Peak PM (3pm-7pm),1312,33,3,40.087,0.832,35.59,0.18,21.000,27.000,40.000,44.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,Hill,0.027,yes,179,yes,2021-06,0: All Days (M-Su),5: Late PM (7pm-12am),817,33,3,40.087,0.827,22.16,0.12,21.000,26.000,40.000,44.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,Hill,0.027,yes,179,yes,2021-06,1: Monday (M-M),0: All Day (12am-12am),4648,34,3,40.087,0.836,126.07,0.62,21.000,27.000,40.000,44.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,Hill,0.027,yes,179,yes,2021-06,1: Monday (M-M),1: Early AM (12am-6am),77,36,3,40.087,0.894,2.08,0.01,23.000,27.000,45.000,47.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,Hill,0.027,yes,179,yes,2021-06,1: Monday (M-M),2: Peak AM (6am-10am),863,34,3,40.087,0.851,23.42,0.10,24.000,28.000,40.000,44.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,Hill,0.027,yes,179,yes,2021-06,1: Monday (M-M),3: Mid-Day (10am-3pm),1625,33,3,40.087,0.834,44.08,0.22,21.000,27.000,40.000,43.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,Hill,0.027,yes,179,yes,2021-06,1: Monday (M-M),4: Peak PM (3pm-7pm),1292,33,3,40.087,0.831,35.04,0.18,20.000,26.000,40.000,44.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,Hill,0.027,yes,179,yes,2021-06,1: Monday (M-M),5: Late PM (7pm-12am),791,33,3,40.087,0.825,21.45,0.11,21.000,27.000,39.000,44.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,Hill,0.027,yes,179,yes,2021-06,2: Tuesday (Tu-Tu),0: All Day (12am-12am),4882,33,3,40.087,0.826,132.43,0.70,20.000,26.000,39.000,43.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,Hill,0.027,yes,179,yes,2021-06,2: Tuesday (Tu-Tu),1: Early AM (12am-6am),89,34,3,40.087,0.852,2.42,0.01,18.000,26.000,41.000,46.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,Hill,0.027,yes,179,yes,2021-06,2: Tuesday (Tu-Tu),2: Peak AM (6am-10am),948,34,3,40.087,0.836,25.71,0.13,21.000,27.000,40.000,44.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,Hill,0.027,yes,179,yes,2021-06,2: Tuesday (Tu-Tu),3: Mid-Day (10am-3pm),1716,33,3,40.087,0.820,46.56,0.25,20.000,26.000,39.000,43.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,Hill,0.027,yes,179,yes,2021-06,2: Tuesday (Tu-Tu),4: Peak PM (3pm-7pm),1368,33,3,40.087,0.825,37.10,0.20,20.000,26.000,39.000,43.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,Hill,0.027,yes,179,yes,2021-06,2: Tuesday (Tu-Tu),5: Late PM (7pm-12am),761,33,3,40.087,0.821,20.65,0.11,20.000,26.000,40.000,44.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,Hill,0.027,yes,179,yes,2021-06,3: Wednesday (W-W),0: All Day (12am-12am),4547,33,3,40.087,0.834,123.34,0.61,21.000,27.000,40.000,44.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,Hill,0.027,yes,179,yes,2021-06,3: Wednesday (W-W),1: Early AM (12am-6am),87,35,3,40.087,0.880,2.37,0.01,20.000,25.000,43.000,49.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,Hill,0.027,yes,179,yes,2021-06,3: Wednesday (W-W),2: Peak AM (6am-10am),941,34,3,40.087,0.838,25.53,0.12,22.000,27.000,39.000,44.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,Hill,0.027,yes,179,yes,2021-06,3: Wednesday (W-W),3: Mid-Day (10am-3pm),1642,33,3,40.087,0.827,44.53,0.23,21.000,27.000,39.000,43.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,Hill,0.027,yes,179,yes,2021-06,3: Wednesday (W-W),4: Peak PM (3pm-7pm),1202,34,3,40.087,0.839,32.60,0.16,20.000,26.000,40.000,44.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,Hill,0.027,yes,179,yes,2021-06,3: Wednesday (W-W),5: Late PM (7pm-12am),675,33,3,40.087,0.829,18.31,0.09,21.000,27.000,40.000,44.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,Hill,0.027,yes,179,yes,2021-06,4: Thursday (Th-Th),0: All Day (12am-12am),5082,34,3,40.087,0.837,137.83,0.67,21.000,27.000,40.000,44.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,Hill,0.027,yes,179,yes,2021-06,4: Thursday (Th-Th),1: Early AM (12am-6am),97,35,3,40.087,0.870,2.64,0.01,23.000,26.000,42.000,48.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,Hill,0.027,yes,179,yes,2021-06,4: Thursday (Th-Th),2: Peak AM (6am-10am),916,34,3,40.087,0.847,24.83,0.11,23.000,27.000,40.000,44.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,Hill,0.027,yes,179,yes,2021-06,4: Thursday (Th-Th),3: Mid-Day (10am-3pm),1761,34,3,40.087,0.836,47.75,0.23,21.000,26.000,40.000,44.000
