Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),5th Speed Percentile,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,North Neptune Avenue / 1282320,0.201,yes,356,yes,2021-06,0: All Days (M-Su),0: All Day (12am-12am),489,21,35,26.250,0.783,98.22,1.04,9.000,13.000,27.000,32.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,North Neptune Avenue / 1282320,0.201,yes,356,yes,2021-06,0: All Days (M-Su),1: Early AM (12am-6am),27,20,36,26.250,0.773,5.43,0.06,10.000,12.000,26.000,31.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,North Neptune Avenue / 1282320,0.201,yes,356,yes,2021-06,0: All Days (M-Su),2: Peak AM (6am-10am),62,21,35,26.250,0.786,12.52,0.13,9.000,13.000,27.000,31.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,North Neptune Avenue / 1282320,0.201,yes,356,yes,2021-06,0: All Days (M-Su),3: Mid-Day (10am-3pm),139,21,35,26.250,0.793,27.82,0.28,9.000,13.000,27.000,32.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,North Neptune Avenue / 1282320,0.201,yes,356,yes,2021-06,0: All Days (M-Su),4: Peak PM (3pm-7pm),149,21,34,26.250,0.798,29.91,0.29,10.000,14.000,27.000,32.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,North Neptune Avenue / 1282320,0.201,yes,356,yes,2021-06,0: All Days (M-Su),5: Late PM (7pm-12am),112,20,37,26.250,0.751,22.55,0.28,9.000,13.000,25.000,30.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,North Neptune Avenue / 1282320,0.201,yes,356,yes,2021-06,1: Monday (M-M),0: All Day (12am-12am),527,20,36,26.250,0.776,105.73,1.17,9.000,13.000,26.000,31.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,North Neptune Avenue / 1282320,0.201,yes,356,yes,2021-06,1: Monday (M-M),1: Early AM (12am-6am),24,21,34,26.250,0.809,4.79,0.04,N/A,N/A,N/A,N/A
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,North Neptune Avenue / 1282320,0.201,yes,356,yes,2021-06,1: Monday (M-M),2: Peak AM (6am-10am),82,21,35,26.250,0.795,16.46,0.16,12.000,15.000,26.000,29.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,North Neptune Avenue / 1282320,0.201,yes,356,yes,2021-06,1: Monday (M-M),3: Mid-Day (10am-3pm),146,21,35,26.250,0.785,29.29,0.31,10.000,13.000,26.000,30.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,North Neptune Avenue / 1282320,0.201,yes,356,yes,2021-06,1: Monday (M-M),4: Peak PM (3pm-7pm),141,21,35,26.250,0.795,28.34,0.28,11.000,13.000,25.000,28.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,North Neptune Avenue / 1282320,0.201,yes,356,yes,2021-06,1: Monday (M-M),5: Late PM (7pm-12am),134,19,38,26.250,0.727,26.86,0.38,8.000,12.000,25.000,30.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,North Neptune Avenue / 1282320,0.201,yes,356,yes,2021-06,2: Tuesday (Tu-Tu),0: All Day (12am-12am),475,20,37,26.250,0.752,95.37,1.20,8.000,13.000,26.000,31.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,North Neptune Avenue / 1282320,0.201,yes,356,yes,2021-06,2: Tuesday (Tu-Tu),1: Early AM (12am-6am),22,19,37,26.250,0.739,4.37,0.06,N/A,N/A,N/A,N/A
