Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),5th Speed Percentile,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,N/A,North Neptune Avenue / 1282320,0.201,yes,356,yes,2023-06,0: All Days (M-Su),0: All Day (12am-12am),335,18,41,20.888,0.851,67.34,0.57,8.000,12.000,24.000,28.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,N/A,North Neptune Avenue / 1282320,0.201,yes,356,yes,2023-06,0: All Days (M-Su),1: Early AM (12am-6am),17,18,40,20.888,0.869,3.39,0.02,6.000,12.000,26.000,28.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,N/A,North Neptune Avenue / 1282320,0.201,yes,356,yes,2023-06,0: All Days (M-Su),2: Peak AM (6am-10am),41,18,40,20.888,0.868,8.27,0.06,9.000,12.000,25.000,29.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,N/A,North Neptune Avenue / 1282320,0.201,yes,356,yes,2023-06,0: All Days (M-Su),3: Mid-Day (10am-3pm),100,18,41,20.888,0.849,20.02,0.17,8.000,12.000,24.000,28.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,N/A,North Neptune Avenue / 1282320,0.201,yes,356,yes,2023-06,0: All Days (M-Su),4: Peak PM (3pm-7pm),106,18,40,20.888,0.860,21.35,0.17,8.000,12.000,24.000,29.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,N/A,North Neptune Avenue / 1282320,0.201,yes,356,yes,2023-06,0: All Days (M-Su),5: Late PM (7pm-12am),71,17,42,20.888,0.825,14.32,0.15,8.000,12.000,23.000,27.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,N/A,North Neptune Avenue / 1282320,0.201,yes,356,yes,2023-06,1: Monday (M-M),0: All Day (12am-12am),290,18,41,20.888,0.851,58.22,0.49,9.000,12.000,24.000,28.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,N/A,North Neptune Avenue / 1282320,0.201,yes,356,yes,2023-06,1: Monday (M-M),1: Early AM (12am-6am),18,18,40,20.888,0.873,3.65,0.03,N/A,N/A,N/A,N/A
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,N/A,North Neptune Avenue / 1282320,0.201,yes,356,yes,2023-06,1: Monday (M-M),2: Peak AM (6am-10am),42,19,39,20.888,0.898,8.42,0.05,9.000,13.000,24.000,26.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,N/A,North Neptune Avenue / 1282320,0.201,yes,356,yes,2023-06,1: Monday (M-M),3: Mid-Day (10am-3pm),76,18,41,20.888,0.840,15.28,0.14,7.000,12.000,24.000,27.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,N/A,North Neptune Avenue / 1282320,0.201,yes,356,yes,2023-06,1: Monday (M-M),4: Peak PM (3pm-7pm),99,18,40,20.888,0.858,19.89,0.16,9.000,13.000,24.000,30.000
"Jun 01, 2023 - Jun 01, 2024",All Vehicles - StL All Vehicles Volume,N/A,North Neptune Avenue / 1282320,0.201,yes,356,yes,2023-06,1: Monday (M-M),5: Late PM (7pm-12am),55,17,43,20.888,0.811,10.97,0.12,11.000,12.000,22.000,27.000
