Data Periods,Mode of Travel,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Spot Traffic (StL Volume),Avg Spot Speed (mph),Free Flow Speed (mph),Free Flow Factor,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2021-06,0: All Days (M-Su),0: All Day (12am-12am),2279,15,25.776,0.572,10.000,20.000,22.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2021-06,0: All Days (M-Su),1: Early AM (12am-6am),61,15,25.776,0.573,6.000,21.000,24.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2021-06,0: All Days (M-Su),2: Peak AM (6am-10am),146,17,25.776,0.656,11.000,21.000,24.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2021-06,0: All Days (M-Su),3: Mid-Day (10am-3pm),882,14,25.776,0.555,9.000,19.000,22.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2021-06,0: All Days (M-Su),4: Peak PM (3pm-7pm),774,15,25.776,0.574,10.000,20.000,22.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2021-06,0: All Days (M-Su),5: Late PM (7pm-12am),416,15,25.776,0.573,9.000,20.000,23.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2021-06,1: Monday (M-M),0: All Day (12am-12am),1829,16,25.776,0.606,10.000,20.000,23.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2021-06,1: Monday (M-M),1: Early AM (12am-6am),40,14,25.776,0.546,6.000,18.000,20.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2021-06,1: Monday (M-M),2: Peak AM (6am-10am),126,17,25.776,0.666,13.000,21.000,23.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2021-06,1: Monday (M-M),3: Mid-Day (10am-3pm),738,15,25.776,0.598,10.000,20.000,23.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2021-06,1: Monday (M-M),4: Peak PM (3pm-7pm),620,16,25.776,0.614,11.000,20.000,23.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2021-06,1: Monday (M-M),5: Late PM (7pm-12am),305,15,25.776,0.590,8.000,20.000,25.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2021-06,2: Tuesday (Tu-Tu),0: All Day (12am-12am),2037,15,25.776,0.599,10.000,20.000,23.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2021-06,2: Tuesday (Tu-Tu),1: Early AM (12am-6am),40,15,25.776,0.570,7.000,20.000,22.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2021-06,2: Tuesday (Tu-Tu),2: Peak AM (6am-10am),184,18,25.776,0.687,13.000,22.000,24.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2021-06,2: Tuesday (Tu-Tu),3: Mid-Day (10am-3pm),762,15,25.776,0.583,10.000,19.000,22.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2021-06,2: Tuesday (Tu-Tu),4: Peak PM (3pm-7pm),689,16,25.776,0.602,11.000,20.000,22.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2021-06,2: Tuesday (Tu-Tu),5: Late PM (7pm-12am),362,15,25.776,0.589,9.000,20.000,23.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2021-06,3: Wednesday (W-W),0: All Day (12am-12am),1929,15,25.776,0.596,11.000,20.000,23.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2021-06,3: Wednesday (W-W),1: Early AM (12am-6am),38,15,25.776,0.590,10.000,22.000,26.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2021-06,3: Wednesday (W-W),2: Peak AM (6am-10am),149,18,25.776,0.687,13.000,21.000,25.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2021-06,3: Wednesday (W-W),3: Mid-Day (10am-3pm),731,15,25.776,0.582,10.000,20.000,22.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2021-06,3: Wednesday (W-W),4: Peak PM (3pm-7pm),723,15,25.776,0.595,11.000,20.000,22.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2021-06,3: Wednesday (W-W),5: Late PM (7pm-12am),286,15,25.776,0.588,10.000,20.000,22.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2021-06,4: Thursday (Th-Th),0: All Day (12am-12am),2590,15,25.776,0.563,9.000,20.000,22.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2021-06,4: Thursday (Th-Th),1: Early AM (12am-6am),52,16,25.776,0.603,7.000,21.000,23.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2021-06,4: Thursday (Th-Th),2: Peak AM (6am-10am),209,16,25.776,0.617,8.000,21.000,24.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2021-06,4: Thursday (Th-Th),3: Mid-Day (10am-3pm),957,14,25.776,0.547,9.000,19.000,21.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2021-06,4: Thursday (Th-Th),4: Peak PM (3pm-7pm),908,14,25.776,0.561,10.000,20.000,21.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2021-06,4: Thursday (Th-Th),5: Late PM (7pm-12am),464,15,25.776,0.572,8.000,20.000,22.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2021-06,5: Friday (F-F),0: All Day (12am-12am),2988,15,25.776,0.567,9.000,19.000,22.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2021-06,5: Friday (F-F),1: Early AM (12am-6am),64,16,25.776,0.636,6.000,21.000,24.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2021-06,5: Friday (F-F),2: Peak AM (6am-10am),166,17,25.776,0.674,11.000,20.000,24.000
