Data Periods,Mode of Travel,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Spot Traffic (StL Volume),Avg Spot Speed (mph),Free Flow Speed (mph),Free Flow Factor,5th Speed Percentile,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Oxford Avenue,yes,358,yes,2022-06,0: All Days (M-Su),0: All Day (12am-12am),1541,15,19.318,0.772,6.000,10.000,20.000,23.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Oxford Avenue,yes,358,yes,2022-06,0: All Days (M-Su),1: Early AM (12am-6am),134,17,19.318,0.863,5.000,11.000,22.000,26.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Oxford Avenue,yes,358,yes,2022-06,0: All Days (M-Su),2: Peak AM (6am-10am),181,15,19.318,0.775,7.000,10.000,20.000,23.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Oxford Avenue,yes,358,yes,2022-06,0: All Days (M-Su),3: Mid-Day (10am-3pm),408,15,19.318,0.771,6.000,10.000,20.000,23.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Oxford Avenue,yes,358,yes,2022-06,0: All Days (M-Su),4: Peak PM (3pm-7pm),467,15,19.318,0.757,6.000,9.000,20.000,23.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Oxford Avenue,yes,358,yes,2022-06,0: All Days (M-Su),5: Late PM (7pm-12am),350,15,19.318,0.755,5.000,9.000,20.000,24.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Oxford Avenue,yes,358,yes,2022-06,1: Monday (M-M),0: All Day (12am-12am),1414,15,19.318,0.770,5.000,9.000,20.000,23.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Oxford Avenue,yes,358,yes,2022-06,1: Monday (M-M),1: Early AM (12am-6am),129,17,19.318,0.880,5.000,11.000,22.000,26.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Oxford Avenue,yes,358,yes,2022-06,1: Monday (M-M),2: Peak AM (6am-10am),200,15,19.318,0.760,5.000,10.000,20.000,22.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Oxford Avenue,yes,358,yes,2022-06,1: Monday (M-M),3: Mid-Day (10am-3pm),355,15,19.318,0.796,7.000,11.000,20.000,23.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Oxford Avenue,yes,358,yes,2022-06,1: Monday (M-M),4: Peak PM (3pm-7pm),431,15,19.318,0.760,6.000,10.000,20.000,23.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Oxford Avenue,yes,358,yes,2022-06,1: Monday (M-M),5: Late PM (7pm-12am),298,14,19.318,0.714,3.000,8.000,20.000,23.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Oxford Avenue,yes,358,yes,2022-06,2: Tuesday (Tu-Tu),0: All Day (12am-12am),1504,15,19.318,0.790,7.000,10.000,20.000,23.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Oxford Avenue,yes,358,yes,2022-06,2: Tuesday (Tu-Tu),1: Early AM (12am-6am),123,18,19.318,0.925,11.000,13.000,21.000,25.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Oxford Avenue,yes,358,yes,2022-06,2: Tuesday (Tu-Tu),2: Peak AM (6am-10am),171,15,19.318,0.779,7.000,11.000,19.000,23.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Oxford Avenue,yes,358,yes,2022-06,2: Tuesday (Tu-Tu),3: Mid-Day (10am-3pm),348,16,19.318,0.828,8.000,11.000,21.000,23.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Oxford Avenue,yes,358,yes,2022-06,2: Tuesday (Tu-Tu),4: Peak PM (3pm-7pm),543,15,19.318,0.768,6.000,10.000,20.000,24.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Oxford Avenue,yes,358,yes,2022-06,2: Tuesday (Tu-Tu),5: Late PM (7pm-12am),318,14,19.318,0.741,6.000,10.000,19.000,21.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Oxford Avenue,yes,358,yes,2022-06,3: Wednesday (W-W),0: All Day (12am-12am),1710,15,19.318,0.770,6.000,10.000,20.000,23.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Oxford Avenue,yes,358,yes,2022-06,3: Wednesday (W-W),1: Early AM (12am-6am),138,17,19.318,0.866,7.000,11.000,21.000,26.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Oxford Avenue,yes,358,yes,2022-06,3: Wednesday (W-W),2: Peak AM (6am-10am),234,16,19.318,0.805,8.000,11.000,20.000,24.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Oxford Avenue,yes,358,yes,2022-06,3: Wednesday (W-W),3: Mid-Day (10am-3pm),438,15,19.318,0.752,5.000,10.000,19.000,22.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Oxford Avenue,yes,358,yes,2022-06,3: Wednesday (W-W),4: Peak PM (3pm-7pm),537,14,19.318,0.746,5.000,9.000,20.000,24.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Oxford Avenue,yes,358,yes,2022-06,3: Wednesday (W-W),5: Late PM (7pm-12am),363,15,19.318,0.768,5.000,9.000,20.000,24.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Oxford Avenue,yes,358,yes,2022-06,4: Thursday (Th-Th),0: All Day (12am-12am),1500,15,19.318,0.769,6.000,10.000,20.000,23.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Oxford Avenue,yes,358,yes,2022-06,4: Thursday (Th-Th),1: Early AM (12am-6am),114,16,19.318,0.825,2.000,10.000,20.000,26.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Oxford Avenue,yes,358,yes,2022-06,4: Thursday (Th-Th),2: Peak AM (6am-10am),218,15,19.318,0.792,8.000,11.000,21.000,24.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Oxford Avenue,yes,358,yes,2022-06,4: Thursday (Th-Th),3: Mid-Day (10am-3pm),437,15,19.318,0.767,6.000,10.000,20.000,23.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Oxford Avenue,yes,358,yes,2022-06,4: Thursday (Th-Th),4: Peak PM (3pm-7pm),419,15,19.318,0.751,6.000,10.000,20.000,23.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Oxford Avenue,yes,358,yes,2022-06,4: Thursday (Th-Th),5: Late PM (7pm-12am),312,15,19.318,0.761,6.000,9.000,20.000,23.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Oxford Avenue,yes,358,yes,2022-06,5: Friday (F-F),0: All Day (12am-12am),1796,15,19.318,0.773,6.000,10.000,20.000,24.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Oxford Avenue,yes,358,yes,2022-06,5: Friday (F-F),1: Early AM (12am-6am),124,16,19.318,0.831,3.000,11.000,22.000,25.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Oxford Avenue,yes,358,yes,2022-06,5: Friday (F-F),2: Peak AM (6am-10am),228,15,19.318,0.753,5.000,9.000,19.000,22.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Oxford Avenue,yes,358,yes,2022-06,5: Friday (F-F),3: Mid-Day (10am-3pm),452,15,19.318,0.789,6.000,10.000,20.000,24.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Oxford Avenue,yes,358,yes,2022-06,5: Friday (F-F),4: Peak PM (3pm-7pm),512,15,19.318,0.765,7.000,9.000,19.000,23.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Oxford Avenue,yes,358,yes,2022-06,5: Friday (F-F),5: Late PM (7pm-12am),480,15,19.318,0.760,4.000,9.000,20.000,24.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Oxford Avenue,yes,358,yes,2022-06,6: Saturday (Sa-Sa),0: All Day (12am-12am),1570,15,19.318,0.761,6.000,10.000,20.000,23.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Oxford Avenue,yes,358,yes,2022-06,6: Saturday (Sa-Sa),1: Early AM (12am-6am),149,17,19.318,0.862,7.000,12.000,22.000,26.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Oxford Avenue,yes,358,yes,2022-06,6: Saturday (Sa-Sa),2: Peak AM (6am-10am),106,15,19.318,0.755,8.000,11.000,18.000,21.000
