Data Periods,Mode of Travel,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Spot Traffic (StL Volume),Avg Spot Speed (mph),Free Flow Speed (mph),Free Flow Factor,5th Speed Percentile,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,,North Oxford Avenue,yes,358,yes,2020-06,0: All Days (M-Su),0: All Day (12am-12am),1544,16,21.398,0.729,6.000,10.000,20.000,23.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,,North Oxford Avenue,yes,358,yes,2020-06,0: All Days (M-Su),1: Early AM (12am-6am),63,17,21.398,0.779,7.000,10.000,22.000,25.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,,North Oxford Avenue,yes,358,yes,2020-06,0: All Days (M-Su),2: Peak AM (6am-10am),116,16,21.398,0.744,6.000,9.000,21.000,23.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,,North Oxford Avenue,yes,358,yes,2020-06,0: All Days (M-Su),3: Mid-Day (10am-3pm),495,16,21.398,0.741,7.000,11.000,20.000,23.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,,North Oxford Avenue,yes,358,yes,2020-06,0: All Days (M-Su),4: Peak PM (3pm-7pm),540,15,21.398,0.712,7.000,10.000,20.000,22.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,,North Oxford Avenue,yes,358,yes,2020-06,0: All Days (M-Su),5: Late PM (7pm-12am),330,15,21.398,0.724,6.000,10.000,20.000,23.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,,North Oxford Avenue,yes,358,yes,2020-06,1: Monday (M-M),0: All Day (12am-12am),1499,16,21.398,0.738,6.000,10.000,20.000,23.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,,North Oxford Avenue,yes,358,yes,2020-06,1: Monday (M-M),1: Early AM (12am-6am),58,18,21.398,0.850,7.000,8.000,28.000,44.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,,North Oxford Avenue,yes,358,yes,2020-06,1: Monday (M-M),2: Peak AM (6am-10am),152,16,21.398,0.768,8.000,11.000,22.000,24.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,,North Oxford Avenue,yes,358,yes,2020-06,1: Monday (M-M),3: Mid-Day (10am-3pm),510,16,21.398,0.743,5.000,11.000,20.000,23.000
