Data Periods,Mode of Travel,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Spot Traffic (StL Volume),Avg Spot Speed (mph),Free Flow Speed (mph),Free Flow Factor,5th Speed Percentile,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jan 01, 2022 - Feb 01, 2022",All Vehicles - StL All Vehicles Volume,,North Serrano Avenue,yes,359,no,2022-01,0: All Days (M-Su),0: All Day (12am-12am),381,17,19.880,0.841,3.000,9.000,24.000,31.000
"Jan 01, 2022 - Feb 01, 2022",All Vehicles - StL All Vehicles Volume,,North Serrano Avenue,yes,359,no,2022-01,0: All Days (M-Su),1: Early AM (12am-6am),23,16,19.880,0.809,4.000,9.000,25.000,31.000
"Jan 01, 2022 - Feb 01, 2022",All Vehicles - StL All Vehicles Volume,,North Serrano Avenue,yes,359,no,2022-01,0: All Days (M-Su),2: Peak AM (6am-10am),55,16,19.880,0.811,4.000,9.000,22.000,31.000
"Jan 01, 2022 - Feb 01, 2022",All Vehicles - StL All Vehicles Volume,,North Serrano Avenue,yes,359,no,2022-01,0: All Days (M-Su),3: Mid-Day (10am-3pm),101,18,19.880,0.882,3.000,9.000,26.000,32.000
"Jan 01, 2022 - Feb 01, 2022",All Vehicles - StL All Vehicles Volume,,North Serrano Avenue,yes,359,no,2022-01,0: All Days (M-Su),4: Peak PM (3pm-7pm),118,16,19.880,0.826,4.000,9.000,23.000,30.000
"Jan 01, 2022 - Feb 01, 2022",All Vehicles - StL All Vehicles Volume,,North Serrano Avenue,yes,359,no,2022-01,0: All Days (M-Su),5: Late PM (7pm-12am),84,17,19.880,0.840,3.000,9.000,23.000,31.000
"Jan 01, 2022 - Feb 01, 2022",All Vehicles - StL All Vehicles Volume,,North Serrano Avenue,yes,359,no,2022-01,1: Monday (M-M),0: All Day (12am-12am),324,16,19.880,0.818,3.000,9.000,23.000,30.000
"Jan 01, 2022 - Feb 01, 2022",All Vehicles - StL All Vehicles Volume,,North Serrano Avenue,yes,359,no,2022-01,1: Monday (M-M),1: Early AM (12am-6am),27,16,19.880,0.820,N/A,N/A,N/A,N/A
"Jan 01, 2022 - Feb 01, 2022",All Vehicles - StL All Vehicles Volume,,North Serrano Avenue,yes,359,no,2022-01,1: Monday (M-M),2: Peak AM (6am-10am),65,16,19.880,0.826,4.000,11.000,20.000,30.000
"Jan 01, 2022 - Feb 01, 2022",All Vehicles - StL All Vehicles Volume,,North Serrano Avenue,yes,359,no,2022-01,1: Monday (M-M),3: Mid-Day (10am-3pm),88,16,19.880,0.817,3.000,10.000,24.000,30.000
